hold_funding_periods,entry_percentile,symbol,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade
21,0.75,BNBUSDT,40,-0.0007726782704088255,-0.0009989911312651488,0.125,0.09819289998025957,25,-0.00122498050853114,0.0003694410745013772,-0.0014644917134860522,0.0009893288201797937
21,0.75,BTCUSDT,14,0.00024983388085308636,-9.460623226431966e-05,0.42857142857142855,2.399148506993103,4,-0.0003521167670822181,0.0009618369903502317,-0.000820084238052737,0.0032330740386289415
21,0.75,ETHUSDT,13,0.00045526895455696217,0.0002089808003670553,0.5384615384615384,5.922321524061722,4,-0.0001947469061069374,0.0009562741635463515,-0.0005516554632154736,0.003379177881544964
21,0.75,SOLUSDT,14,0.0003706416497417515,-0.00018606906235521395,0.42857142857142855,2.415486771090663,4,-0.0005702028938377095,0.0015624726225575535,-0.0011899122586634923,0.004472160720094001
21,0.9,BNBUSDT,30,-0.0006994824462751584,-0.0009648186819342702,0.2,0.1453332903518194,18,-0.0012803036337530956,0.0004218566298217908,-0.0014984508312715348,0.001506694216210712
21,0.9,BTCUSDT,9,0.00038338457793216454,-4.098099923343919e-05,0.4444444444444444,3.6825816402941305,2,-0.0003428916153238541,0.0014417072887269564,-0.00035765185813723646,0.0032330740386289415
21,0.9,ETHUSDT,11,0.0005999497718143376,0.0003524337028737701,0.7272727272727273,14.364824767430427,2,-0.00014561163304321304,0.0009003010499317897,-0.00020703072437286852,0.003379177881544964
21,0.9,SOLUSDT,8,0.0007891315856019274,0.00024184070702953074,0.625,5.996172438058533,2,-0.00048723704421851596,0.0023482156861987053,-0.0005956514109674797,0.004472160720094001
42,0.75,BNBUSDT,25,-0.0004877632999681393,-0.0008260858640711047,0.2,0.38591043145376336,15,-0.0011825260350737479,0.0013218459730451088,-0.0022083977063230347,0.003198476594282427
42,0.75,BTCUSDT,7,0.002051163566080515,0.0015651752391795883,1.0,inf,0,0.0008301012698784861,0.003621177367696629,0.000691854163787834,0.005477791954724278
42,0.75,ETHUSDT,8,0.0019566635799834913,0.0016545606395769797,1.0,inf,0,0.0005196848963583858,0.003794611373748956,3.751558638298352e-06,0.005652626850158991
42,0.75,SOLUSDT,8,0.0020747712964222856,0.0012194610215195438,1.0,inf,0,0.00033488936533399667,0.004424657690549867,0.000313661849665852,0.007124806675907154
42,0.9,BNBUSDT,21,-0.0004656965707347855,-0.0008288893620383858,0.23809523809523808,0.418492390247606,13,-0.001317162608568344,0.0011571583826895594,-0.0022083977063230347,0.003931165112321689
42,0.9,BTCUSDT,5,0.002479673890877159,0.002383434309678194,1.0,inf,0,0.000784018901181602,0.00445588438040386,0.000691854163787834,0.005477791954724278
42,0.9,ETHUSDT,7,0.002202026339629714,0.0014677179442734493,1.0,inf,0,0.0008287174633827764,0.004168601145633033,0.0007407991839527089,0.005652626850158991
42,0.9,SOLUSDT,6,0.0024408789603331846,0.0016712711954425092,1.0,inf,0,0.0005340059997217428,0.005117359685835303,0.0004664806317861577,0.007124806675907154
