symbol,experiment,cost,windows,samples,positive_windows,mean_return,median_profit_factor
BNBUSDT,ATR_CONTRACTING,0.0,6,147,5,0.0005724802852385412,1.2509288696037122
BNBUSDT,ATR_CONTRACTING,0.0002,6,147,4,0.0003724802852385413,1.0947483551975825
BNBUSDT,ATR_CONTRACTING,0.0004,6,147,2,0.00017248028523854126,0.961625928377394
BNBUSDT,ATR_CONTRACTING,0.0006,6,147,2,-2.75197147614586e-05,0.847538154412119
BNBUSDT,ATR_CONTRACTING,0.0008,6,147,2,-0.0002275197147614588,0.7507282117969338
BNBUSDT,ATR_CONTRACTING,0.001,6,147,2,-0.0004275197147614589,0.667523948887497
BNBUSDT,ATR_EXPANDING,0.0,6,424,2,-0.0002241915059980068,0.8266252497809403
BNBUSDT,ATR_EXPANDING,0.0002,6,424,2,-0.0004241915059980067,0.7459069706401023
BNBUSDT,ATR_EXPANDING,0.0004,6,424,0,-0.0006241915059980067,0.6742545992156309
BNBUSDT,ATR_EXPANDING,0.0006,6,424,0,-0.0008241915059980068,0.610952724944168
BNBUSDT,ATR_EXPANDING,0.0008,6,424,0,-0.0010241915059980068,0.5550809185509512
BNBUSDT,ATR_EXPANDING,0.001,6,424,0,-0.001224191505998007,0.505642036600369
BNBUSDT,BASE_SHORT,0.0,6,517,3,-7.271405320273984e-05,0.9927156151458814
BNBUSDT,BASE_SHORT,0.0002,6,517,1,-0.00027271405320273987,0.8831039113397265
BNBUSDT,BASE_SHORT,0.0004,6,517,1,-0.00047271405320273985,0.7723160038000563
BNBUSDT,BASE_SHORT,0.0006,6,517,0,-0.0006727140532027399,0.677540808240009
BNBUSDT,BASE_SHORT,0.0008,6,517,0,-0.0008727140532027398,0.5961845118140556
BNBUSDT,BASE_SHORT,0.001,6,517,0,-0.0010727140532027404,0.5260011921695271
BTCUSDT,ATR_CONTRACTING,0.0,6,133,4,0.00023489408898720284,1.330233347954137
BTCUSDT,ATR_CONTRACTING,0.0002,6,133,4,3.4894088987202964e-05,1.1946404300783247
BTCUSDT,ATR_CONTRACTING,0.0004,6,133,4,-0.00016510591101279724,1.0739727222070676
BTCUSDT,ATR_CONTRACTING,0.0006,6,133,2,-0.000365105911012797,0.9662749275971402
BTCUSDT,ATR_CONTRACTING,0.0008,6,133,1,-0.0005651059110127972,0.8707481304138294
BTCUSDT,ATR_CONTRACTING,0.001,6,133,1,-0.0007651059110127975,0.7745025201800069
BTCUSDT,ATR_EXPANDING,0.0,6,442,1,-0.0003806897253347541,0.8295581578100399
BTCUSDT,ATR_EXPANDING,0.0002,6,442,0,-0.0005806897253347542,0.7533237876993358
BTCUSDT,ATR_EXPANDING,0.0004,6,442,0,-0.0007806897253347542,0.6858984523497169
BTCUSDT,ATR_EXPANDING,0.0006,6,442,0,-0.0009806897253347541,0.6184753974415095
BTCUSDT,ATR_EXPANDING,0.0008,6,442,0,-0.001180689725334754,0.5492240465640152
BTCUSDT,ATR_EXPANDING,0.001,6,442,0,-0.0013806897253347548,0.4890767005513015
BTCUSDT,BASE_SHORT,0.0,6,520,1,-0.0002617180722822579,0.8533754531912455
BTCUSDT,BASE_SHORT,0.0002,6,520,0,-0.0004617180722822579,0.7427647806637918
BTCUSDT,BASE_SHORT,0.0004,6,520,0,-0.0006617180722822578,0.6483481804429352
BTCUSDT,BASE_SHORT,0.0006,6,520,0,-0.000861718072282258,0.5727397383382415
BTCUSDT,BASE_SHORT,0.0008,6,520,0,-0.001061718072282258,0.5100397162498655
BTCUSDT,BASE_SHORT,0.001,6,520,0,-0.0012617180722822583,0.4553731907599883
ETHUSDT,ATR_CONTRACTING,0.0,6,147,5,0.0011081492364598893,1.6684265125195337
ETHUSDT,ATR_CONTRACTING,0.0002,6,147,5,0.0009081492364598895,1.5386726699495301
ETHUSDT,ATR_CONTRACTING,0.0004,6,147,5,0.0007081492364598893,1.4207696826348335
ETHUSDT,ATR_CONTRACTING,0.0006,6,147,5,0.0005081492364598894,1.3023547181372248
ETHUSDT,ATR_CONTRACTING,0.0008,6,147,5,0.000308149236459889,1.1867988729944947
ETHUSDT,ATR_CONTRACTING,0.001,6,147,5,0.0001081492364598888,1.0838961781821412
ETHUSDT,ATR_EXPANDING,0.0,6,479,3,-0.0005119273754898464,1.0121759955996756
ETHUSDT,ATR_EXPANDING,0.0002,6,479,0,-0.0007119273754898464,0.9327744833093595
ETHUSDT,ATR_EXPANDING,0.0004,6,479,0,-0.0009119273754898466,0.8612052855666277
ETHUSDT,ATR_EXPANDING,0.0006,6,479,0,-0.0011119273754898464,0.7964609986470965
ETHUSDT,ATR_EXPANDING,0.0008,6,479,0,-0.001311927375489846,0.7376611403091979
ETHUSDT,ATR_EXPANDING,0.001,6,479,0,-0.001511927375489847,0.6767086127834704
ETHUSDT,BASE_SHORT,0.0,6,554,4,-0.00015937968062539837,1.0619300262401956
ETHUSDT,BASE_SHORT,0.0002,6,554,3,-0.00035937968062539817,0.9822217414831234
ETHUSDT,BASE_SHORT,0.0004,6,554,1,-0.0005593796806253984,0.8926354744934595
ETHUSDT,BASE_SHORT,0.0006,6,554,0,-0.0007593796806253985,0.8122755877078132
ETHUSDT,BASE_SHORT,0.0008,6,554,0,-0.0009593796806253984,0.7443801096970695
ETHUSDT,BASE_SHORT,0.001,6,554,0,-0.001159379680625399,0.6930952105862459
SOLUSDT,ATR_CONTRACTING,0.0,6,147,5,0.0003854277369990105,1.3126860654024097
SOLUSDT,ATR_CONTRACTING,0.0002,6,147,5,0.0001854277369990106,1.2269852009085715
SOLUSDT,ATR_CONTRACTING,0.0004,6,147,4,-1.4572263000989282e-05,1.150164839524472
SOLUSDT,ATR_CONTRACTING,0.0006,6,147,3,-0.00021457226300098945,1.0781803026013956
SOLUSDT,ATR_CONTRACTING,0.0008,6,147,3,-0.00041457226300098946,1.0108342041893672
SOLUSDT,ATR_CONTRACTING,0.001,6,147,2,-0.0006145722630009898,0.9117020030548248
SOLUSDT,ATR_EXPANDING,0.0,6,423,3,-0.00037394783949559507,0.8995124488829586
SOLUSDT,ATR_EXPANDING,0.0002,6,423,2,-0.000573947839495595,0.8571616049250955
SOLUSDT,ATR_EXPANDING,0.0004,6,423,1,-0.000773947839495595,0.8168378852340843
SOLUSDT,ATR_EXPANDING,0.0006,6,423,0,-0.0009739478394955952,0.7785115355778358
SOLUSDT,ATR_EXPANDING,0.0008,6,423,0,-0.001173947839495595,0.7321083155786663
SOLUSDT,ATR_EXPANDING,0.001,6,423,0,-0.0013739478394955956,0.6875673641366742
SOLUSDT,BASE_SHORT,0.0,6,506,3,-0.00013440700392495117,1.0218527006145872
SOLUSDT,BASE_SHORT,0.0002,6,506,2,-0.000334407003924951,0.9486511710043943
SOLUSDT,BASE_SHORT,0.0004,6,506,1,-0.000534407003924951,0.8813487980718551
SOLUSDT,BASE_SHORT,0.0006,6,506,0,-0.0007344070039249514,0.8193768611747831
SOLUSDT,BASE_SHORT,0.0008,6,506,0,-0.0009344070039249515,0.762447273722942
SOLUSDT,BASE_SHORT,0.001,6,506,0,-0.0011344070039249518,0.710153824523081
