period,experiment,cost,assets,samples,positive_assets,mean_return,median_profit_factor
2026-02,ATR_CONTRACTING,0.0,4,96,4,0.001461944836270975,1.5828549522054907
2026-02,ATR_CONTRACTING,0.0002,4,96,4,0.0012619448362709753,1.4918678737705708
2026-02,ATR_CONTRACTING,0.0004,4,96,4,0.0010619448362709752,1.4072669045050743
2026-02,ATR_CONTRACTING,0.0006,4,96,4,0.0008619448362709749,1.3282387397179307
2026-02,ATR_CONTRACTING,0.0008,4,96,4,0.0006619448362709749,1.2443270413015814
2026-02,ATR_CONTRACTING,0.001,4,96,4,0.0004619448362709745,1.1639984177024707
2026-02,ATR_EXPANDING,0.0,4,307,1,-0.000754501665097666,0.8093126233158947
2026-02,ATR_EXPANDING,0.0002,4,307,1,-0.0009545016650976661,0.7705495977938217
2026-02,ATR_EXPANDING,0.0004,4,307,0,-0.0011545016650976658,0.7337597641153373
2026-02,ATR_EXPANDING,0.0006,4,307,0,-0.001354501665097666,0.6988332405126865
2026-02,ATR_EXPANDING,0.0008,4,307,0,-0.0015545016650976658,0.6658515337788006
2026-02,ATR_EXPANDING,0.001,4,307,0,-0.001754501665097667,0.6349060948275165
2026-02,BASE_SHORT,0.0,4,357,2,6.992745632258066e-05,1.0328602563804203
2026-02,BASE_SHORT,0.0002,4,357,2,-0.0001300725436774193,0.9835574810684478
2026-02,BASE_SHORT,0.0004,4,357,1,-0.00033007254367741883,0.9366752325373687
2026-02,BASE_SHORT,0.0006,4,357,0,-0.0005300725436774197,0.8921288923478122
2026-02,BASE_SHORT,0.0008,4,357,0,-0.0007300725436774195,0.8476605206600976
2026-02,BASE_SHORT,0.001,4,357,0,-0.0009300725436774201,0.7971262986761228
2026-03,ATR_CONTRACTING,0.0,4,93,4,0.0013390418497430591,1.3850164726780383
2026-03,ATR_CONTRACTING,0.0002,4,93,4,0.0011390418497430593,1.2739049899276051
2026-03,ATR_CONTRACTING,0.0004,4,93,3,0.0009390418497430592,1.1743378605480501
2026-03,ATR_CONTRACTING,0.0006,4,93,2,0.0007390418497430593,1.0844162568241063
2026-03,ATR_CONTRACTING,0.0008,4,93,2,0.0005390418497430589,1.002932410102585
2026-03,ATR_CONTRACTING,0.001,4,93,2,0.0003390418497430588,0.9288623285693196
2026-03,ATR_EXPANDING,0.0,4,308,1,-0.000515002215250322,0.7047593117345011
2026-03,ATR_EXPANDING,0.0002,4,308,0,-0.0007150022152503219,0.6367202631176576
2026-03,ATR_EXPANDING,0.0004,4,308,0,-0.0009150022152503221,0.5759299501016788
2026-03,ATR_EXPANDING,0.0006,4,308,0,-0.0011150022152503218,0.521551592841649
2026-03,ATR_EXPANDING,0.0008,4,308,0,-0.001315002215250322,0.4746467814740501
2026-03,ATR_EXPANDING,0.001,4,308,0,-0.0015150022152503224,0.43560422398448434
2026-03,BASE_SHORT,0.0,4,356,1,-0.00027394942257296414,0.7856671237958122
2026-03,BASE_SHORT,0.0002,4,356,1,-0.00047394942257296407,0.7235526185278068
2026-03,BASE_SHORT,0.0004,4,356,1,-0.0006739494225729641,0.667273745260662
2026-03,BASE_SHORT,0.0006,4,356,0,-0.0008739494225729642,0.6160372662699194
2026-03,BASE_SHORT,0.0008,4,356,0,-0.0010739494225729643,0.5691115896824435
2026-03,BASE_SHORT,0.001,4,356,0,-0.0012739494225729648,0.5262995117031808
2026-04,ATR_CONTRACTING,0.0,4,84,2,0.00044860602108560434,1.3665139512581275
2026-04,ATR_CONTRACTING,0.0002,4,84,2,0.00024860602108560436,1.1799025968375916
2026-04,ATR_CONTRACTING,0.0004,4,84,2,4.860602108560432e-05,1.0130245419008574
2026-04,ATR_CONTRACTING,0.0006,4,84,2,-0.00015139397891439545,0.8598342109647431
2026-04,ATR_CONTRACTING,0.0008,4,84,2,-0.0003513939789143957,0.7342506321974973
2026-04,ATR_CONTRACTING,0.001,4,84,1,-0.0005513939789143958,0.6314898230686119
2026-04,ATR_EXPANDING,0.0,4,248,3,0.00016480394489001504,1.1201573883025338
2026-04,ATR_EXPANDING,0.0002,4,248,2,-3.519605510998489e-05,1.0105578019349233
2026-04,ATR_EXPANDING,0.0004,4,248,1,-0.00023519605510998498,0.9124156633713109
2026-04,ATR_EXPANDING,0.0006,4,248,0,-0.00043519605510998493,0.8250792008969233
2026-04,ATR_EXPANDING,0.0008,4,248,0,-0.000635196055109985,0.747092393390903
2026-04,ATR_EXPANDING,0.001,4,248,0,-0.0008351960551099854,0.6772404804925504
2026-04,BASE_SHORT,0.0,4,301,3,0.0001526233686486135,1.0604877851252108
2026-04,BASE_SHORT,0.0002,4,301,1,-4.7376631351386415e-05,0.9470319638361325
2026-04,BASE_SHORT,0.0004,4,301,1,-0.0002473766313513866,0.8472188315708153
2026-04,BASE_SHORT,0.0006,4,301,0,-0.00044737663135138646,0.7593146336099587
2026-04,BASE_SHORT,0.0008,4,301,0,-0.0006473766313513866,0.6818190654391106
2026-04,BASE_SHORT,0.001,4,301,0,-0.0008473766313513868,0.6132634914384311
2026-05,ATR_CONTRACTING,0.0,4,97,4,0.0006233190759379146,1.4066360206346866
2026-05,ATR_CONTRACTING,0.0002,4,97,4,0.0004233190759379147,1.2682246477082375
2026-05,ATR_CONTRACTING,0.0004,4,97,2,0.00022331907593791457,1.1041049313174285
2026-05,ATR_CONTRACTING,0.0006,4,97,2,2.331907593791478e-05,0.966837696345771
2026-05,ATR_CONTRACTING,0.0008,4,97,1,-0.00017668092406208553,0.851927908269561
2026-05,ATR_CONTRACTING,0.001,4,97,1,-0.00037668092406208554,0.7547622174571154
2026-05,ATR_EXPANDING,0.0,4,305,2,-0.00020410462599937168,0.8878048526908509
2026-05,ATR_EXPANDING,0.0002,4,305,1,-0.00040410462599937155,0.7916172626236648
2026-05,ATR_EXPANDING,0.0004,4,305,0,-0.0006041046259993718,0.707131420515412
2026-05,ATR_EXPANDING,0.0006,4,305,0,-0.0008041046259993716,0.6326004867869678
2026-05,ATR_EXPANDING,0.0008,4,305,0,-0.0010041046259993717,0.5663752684857962
2026-05,ATR_EXPANDING,0.001,4,305,0,-0.001204104625999372,0.5083419831278096
2026-05,BASE_SHORT,0.0,4,371,2,-0.0001393712687646483,0.9184936025880122
2026-05,BASE_SHORT,0.0002,4,371,1,-0.0003393712687646482,0.8237070745957984
2026-05,BASE_SHORT,0.0004,4,371,0,-0.0005393712687646483,0.740075406799908
2026-05,BASE_SHORT,0.0006,4,371,0,-0.0007393712687646482,0.665897066584122
2026-05,BASE_SHORT,0.0008,4,371,0,-0.0009393712687646484,0.5999661357095981
2026-05,BASE_SHORT,0.001,4,371,0,-0.0011393712687646487,0.5431176005335567
2026-06,ATR_CONTRACTING,0.0,4,98,4,0.0009419937133838532,1.5382879693480342
2026-06,ATR_CONTRACTING,0.0002,4,98,4,0.0007419937133838531,1.3996410547558011
2026-06,ATR_CONTRACTING,0.0004,4,98,4,0.0005419937133838531,1.2740650577955073
2026-06,ATR_CONTRACTING,0.0006,4,98,2,0.0003419937133838532,1.178147397346153
2026-06,ATR_CONTRACTING,0.0008,4,98,2,0.00014199371338385292,1.09777320509771
2026-06,ATR_CONTRACTING,0.001,4,98,2,-5.800628661614721e-05,1.0226308836436977
2026-06,ATR_EXPANDING,0.0,4,356,2,-0.00010424630950972687,0.9808252427286507
2026-06,ATR_EXPANDING,0.0002,4,356,0,-0.0003042463095097266,0.9167212947683442
2026-06,ATR_EXPANDING,0.0004,4,356,0,-0.0005042463095097266,0.8522494203257197
2026-06,ATR_EXPANDING,0.0006,4,356,0,-0.0007042463095097273,0.7933049253812839
2026-06,ATR_EXPANDING,0.0008,4,356,0,-0.000904246309509727,0.7393489071400507
2026-06,ATR_EXPANDING,0.001,4,356,0,-0.0011042463095097274,0.6898175494915042
2026-06,BASE_SHORT,0.0,4,403,3,0.0001310707862146125,1.0663910642049883
2026-06,BASE_SHORT,0.0002,4,403,1,-6.89292137853872e-05,0.9725328906749351
2026-06,BASE_SHORT,0.0004,4,403,0,-0.0002689292137853873,0.8911762439268252
2026-06,BASE_SHORT,0.0006,4,403,0,-0.0004689292137853878,0.8274766224693075
2026-06,BASE_SHORT,0.0008,4,403,0,-0.0006689292137853877,0.7690639246368991
2026-06,BASE_SHORT,0.001,4,403,0,-0.0008689292137853882,0.7153289502481611
2026-07,ATR_CONTRACTING,0.0,4,106,1,-0.0013634784748944406,0.3262240873305209
2026-07,ATR_CONTRACTING,0.0002,4,106,0,-0.0015634784748944403,0.28275486826453017
2026-07,ATR_CONTRACTING,0.0004,4,106,0,-0.0017634784748944404,0.24729230589629828
2026-07,ATR_CONTRACTING,0.0006,4,106,0,-0.0019634784748944405,0.2196786652135068
2026-07,ATR_CONTRACTING,0.0008,4,106,0,-0.0021634784748944405,0.19697212267439712
2026-07,ATR_CONTRACTING,0.001,4,106,0,-0.002363478474894441,0.17704145173206615
