experiment,cost,windows,total_samples,positive_windows,positive_window_rate,pf_above_1_rate,median_profit_factor,median_mean_return,median_win_rate
ATR_CONTRACTING,0.0,24,574,19,0.7916666666666666,0.7916666666666666,1.3523515101090504,0.0006329456334668969,0.4583333333333333
ATR_CONTRACTING,0.0002,24,574,18,0.75,0.75,1.2471176296133764,0.000432945633466897,0.4564393939393939
ATR_CONTRACTING,0.0004,24,574,15,0.625,0.625,1.1576772341535486,0.00023294563346689675,0.42833333333333334
ATR_CONTRACTING,0.0006,24,574,12,0.5,0.5,1.0280849762377777,3.294563346689705e-05,0.4090909090909091
ATR_CONTRACTING,0.0008,24,574,11,0.4583333333333333,0.4583333333333333,0.9199918080145577,-0.00016705436653310338,0.3956521739130435
ATR_CONTRACTING,0.001,24,574,10,0.4166666666666667,0.4166666666666667,0.8434074653713086,-0.00036705436653310325,0.3717105263157895
ATR_EXPANDING,0.0,24,1768,9,0.375,0.375,0.8569458797115657,-0.0002885403306489548,0.4330845771144278
ATR_EXPANDING,0.0002,24,1768,4,0.16666666666666666,0.16666666666666666,0.7949012366908625,-0.0004885403306489548,0.4102751756440281
ATR_EXPANDING,0.0004,24,1768,1,0.041666666666666664,0.041666666666666664,0.7414417650072931,-0.0006885403306489547,0.40794427710843373
ATR_EXPANDING,0.0006,24,1768,0,0.0,0.0,0.6917259807380829,-0.000888540330648955,0.37303620218579236
ATR_EXPANDING,0.0008,24,1768,0,0.0,0.0,0.6457994762792015,-0.001088540330648955,0.3614872891423141
ATR_EXPANDING,0.001,24,1768,0,0.0,0.0,0.6036840417355802,-0.0012885403306489552,0.34604419101924444
BASE_SHORT,0.0,24,2097,11,0.4583333333333333,0.4583333333333333,0.9907495174881928,-3.3805880912800176e-05,0.4352130865260439
BASE_SHORT,0.0002,24,2097,6,0.25,0.25,0.9366911995232301,-0.00023380588091279975,0.4167120008704167
BASE_SHORT,0.0004,24,2097,3,0.125,0.125,0.8472188315708153,-0.00043380588091279957,0.4093535572408812
BASE_SHORT,0.0006,24,2097,0,0.0,0.0,0.7730639068551011,-0.0006338058809128007,0.3919845485272815
BASE_SHORT,0.0008,24,2097,0,0.0,0.0,0.7214567001396597,-0.0008338058809128006,0.3710826210826211
BASE_SHORT,0.001,24,2097,0,0.0,0.0,0.6633336007395785,-0.001033805880912801,0.34973721930243673
