symbol,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,max_losing_streak,q05,q10,q90,q95,worst_trade,best_trade
BNBUSDT,0.0004,283,0.0016710532351537364,0.000569688863625029,0.0012895557329085892,0.0014580055619435493,0.558303886925795,1.9280272763185047,5,-0.008260876574652196,-0.005671599851608122,0.010274317485986553,0.014242340077422954,-0.021648422725219208,0.06017076295864894
BNBUSDT,0.0006,283,0.001471053235153736,0.000369688863625029,0.001089555732908587,0.0012580055619435492,0.5335689045936396,1.7778686497846528,5,-0.008460876574652196,-0.005871599851608122,0.010074317485986552,0.014042340077422954,-0.021848422725219207,0.059970762958648935
BNBUSDT,0.0008,283,0.0012710532351537362,0.0001696888636250289,0.0008895557329085863,0.0010580055619435489,0.5159010600706714,1.639869640374447,6,-0.008660876574652197,-0.006071599851608122,0.009874317485986552,0.013842340077422953,-0.022048422725219206,0.059770762958648936
BTCUSDT,0.0004,334,0.0005389389315415053,-3.3963058715213653e-05,0.0005305555084926448,0.0006360455316715381,0.4940119760479042,1.2209866200011397,10,-0.008866870798160323,-0.006643473326359284,0.009487741370213396,0.012132199714032187,-0.04226517612634566,0.04535216973615626
BTCUSDT,0.0006,334,0.0003389389315415044,-0.00023396305871521358,0.00033055550849264226,0.0004360455316715378,0.47604790419161674,1.1333519696017857,10,-0.009066870798160324,-0.0068434733263592834,0.009287741370213395,0.011932199714032187,-0.04246517612634566,0.04515216973615625
BTCUSDT,0.0008,334,0.00013893893154150446,-0.00043396305871521367,0.00013055550849264296,0.0002360455316715374,0.46107784431137727,1.0524755711878613,10,-0.009266870798160324,-0.007043473326359284,0.009087741370213395,0.011732199714032186,-0.04266517612634566,0.044952169736156254
ETHUSDT,0.0004,344,0.000727291502996718,-0.0006130308057531338,0.0003232629685425882,0.0005543493211117812,0.4680232558139535,1.2338306568153228,9,-0.01168371573886177,-0.00926639806422944,0.011618323381337003,0.017007147633185934,-0.036531680317139756,0.06003985126569718
ETHUSDT,0.0006,344,0.0005272915029967175,-0.0008130308057531338,0.00012326296854258553,0.0003543493211117809,0.45348837209302323,1.1638556310562103,9,-0.01188371573886177,-0.00946639806422944,0.011418323381337003,0.016807147633185936,-0.03673168031713976,0.05983985126569717
ETHUSDT,0.0008,344,0.0003272915029967176,-0.0010130308057531338,-7.673703145741322e-05,0.0001543493211117808,0.4418604651162791,1.0983395005361989,9,-0.01208371573886177,-0.009666398064229441,0.011218323381337002,0.016607147633185937,-0.03693168031713976,0.05963985126569717
SOLUSDT,0.0004,298,0.0003895494433557464,-0.0005841807147843766,-7.057277210974982e-05,4.2334158636194545e-05,0.47315436241610737,1.1009740442551386,9,-0.015056877639103837,-0.011888840093943209,0.011521787449081482,0.017345226718212488,-0.061875176767198156,0.09909622166246841
SOLUSDT,0.0006,298,0.0001895494433557457,-0.0007841807147843765,-0.0002705727721097537,-0.00015766584136380578,0.44966442953020136,1.0477990416613365,9,-0.015256877639103838,-0.012088840093943209,0.011321787449081482,0.01714522671821249,-0.06207517676719816,0.0988962216624684
SOLUSDT,0.0008,298,-1.0450556644254023e-05,-0.0009841807147843765,-0.000470572772109751,-0.0003576658413638059,0.4429530201342282,0.9974364094990353,9,-0.015456877639103838,-0.01228884009394321,0.011121787449081481,0.01694522671821249,-0.06227517676719816,0.09869622166246841
