hypothesis,minutes,samples,mean_return,trimmed_mean_5,winsorized_mean_5,profit_factor,mean_relative_return,years_pf_gt_1,total_years,worst_year_pf,median_year_pf,assets_pf_gt_1,total_assets,worst_asset_pf,median_asset_pf
POS_CONTINUATION_LONG,5,12020,-0.0005958943052121893,-0.0006371090966847589,-0.0006098149632822051,0.6419574040858005,-8.665703456470095e-05,0,3,0.5307711042793478,0.6367163648046434,0,4,0.5642903013486027,0.6156751195997214
POS_CONTINUATION_LONG,15,12020,-0.0005333938310932543,-0.0006210349435096488,-0.00056790792055156,0.7776556525951082,-3.037553979085246e-05,0,3,0.6442470766865641,0.7839024126613757,0,4,0.7280428648337932,0.7695294627378229
POS_CONTINUATION_LONG,30,12020,-0.00036821154133594576,-0.0005313675345601064,-0.0004411445301864474,0.8777617785272023,2.5789196607242544e-06,0,3,0.742618996711662,0.8560477829915341,0,4,0.8124285463266446,0.8553010431487145
POS_CONTINUATION_LONG,60,12020,-0.0003106888223816221,-0.0004957466369462461,-0.00038785224480529127,0.9198857715071685,-1.0028535087218518e-05,0,3,0.7896283891487967,0.9277261642092036,1,4,0.8346365747608547,0.909784755338184
POS_REVERSION_SHORT,5,12020,-0.0006041056947878105,-0.0005628909033152411,-0.0005901850367177947,0.634655765922088,8.665703456470095e-05,0,3,0.5983258805799662,0.6394189166847337,0,4,0.5405567679437913,0.6371777231812055
POS_REVERSION_SHORT,15,12020,-0.0006666061689067455,-0.0005789650564903519,-0.0006320920794484402,0.7283894024078139,3.037553979085246e-05,0,3,0.6957757875758168,0.7373044377396895,0,4,0.6229348871738029,0.7196264576674798
POS_REVERSION_SHORT,30,12020,-0.0008317884586640544,-0.0006686324654398946,-0.0007588554698135555,0.7430993912209075,-2.5789196607242544e-06,0,3,0.6946300095523831,0.7709243598469135,0,4,0.6728899592835237,0.7252176126175942
POS_REVERSION_SHORT,60,12020,-0.0008893111776183784,-0.0007042533630537549,-0.0008121477551947099,0.7864970967738093,1.0028535087218518e-05,0,3,0.76008429099911,0.78470800877553,0,4,0.7244952725569465,0.7630655020372299
NEG_CONTINUATION_SHORT,5,12039,-0.0007907133248180274,-0.0007310551950372362,-0.0007435890881261004,0.5468920577006362,-0.00017384899306177983,0,3,0.5104475153451841,0.5645368446306337,0,4,0.4650496273478661,0.548810398355267
NEG_CONTINUATION_SHORT,15,12039,-0.0009073983415587426,-0.0008757193618102534,-0.0008916032313460122,0.6497306797664726,-0.0001841297439882933,0,3,0.6327337111386367,0.6532600045920595,0,4,0.5696251127630697,0.6625833664630709
NEG_CONTINUATION_SHORT,30,12039,-0.001038995319666857,-0.0009667269144786224,-0.000982892655946555,0.6897522118583271,-0.0002383847280157695,0,3,0.6623098622330119,0.6848092074079969,0,4,0.6220478663190733,0.6798916695851678
NEG_CONTINUATION_SHORT,60,12039,-0.0011888194444165169,-0.001085757391330624,-0.00112750544557413,0.7206551247225571,-0.000360522531962001,0,3,0.7022296688688096,0.708321181743364,0,4,0.6915096786532504,0.7098576538498467
NEG_REVERSION_LONG,5,12039,-0.00040928667518197237,-0.00046894480496276376,-0.00045641091187389906,0.7327456996888576,0.00017384899306177983,0,3,0.5811368636602878,0.7560650209383465,0,4,0.57671988059541,0.6704516730409842
NEG_REVERSION_LONG,15,12039,-0.0002926016584412573,-0.00032428063818974745,-0.0003083967686539875,0.8703095929495258,0.0001841297439882933,0,3,0.7772753443399696,0.8879621003808064,1,4,0.7427996501419193,0.8176943858928839
NEG_REVERSION_LONG,30,12039,-0.0001610046803331431,-0.0002332730855213791,-0.00021710734405344355,0.9439720813360485,0.0002383847280157695,0,3,0.8782421812055493,0.9460033401235386,1,4,0.8616504055518228,0.8750771909504764
NEG_REVERSION_LONG,60,12039,-1.1180555583483829e-05,-0.00011424260866937728,-7.249455442586899e-05,0.9969317454786976,0.000360522531962001,1,3,0.9425164400201212,0.9761332838305932,1,4,0.9003295850634697,0.9629208110790524
