trailing_funding_records,rebalance_funding_periods,observation_time,entry_time,exit_time,gross_return,price_component,funding_component,turnover,long_count,short_count
3,1,2024-04-01 00:00:00+00:00,2024-04-01 04:00:00+00:00,2024-04-01 12:00:00+00:00,0.00016281683435658204,9.054433435658205e-05,7.22725e-05,1.0,4,4
3,1,2024-04-01 08:00:00+00:00,2024-04-01 12:00:00+00:00,2024-04-01 20:00:00+00:00,0.005931876811804134,0.005844763061804134,8.711375e-05,0.75,4,4
3,1,2024-04-01 16:00:00+00:00,2024-04-01 20:00:00+00:00,2024-04-02 04:00:00+00:00,0.008189524043177278,0.008125469043177277,6.4055e-05,0.5,4,4
3,1,2024-04-02 00:00:00.007000+00:00,2024-04-02 04:00:00+00:00,2024-04-02 12:00:00+00:00,-0.0012983215069507685,-0.0012939365069507686,-4.385000000000006e-06,0.25,4,4
3,1,2024-04-02 08:00:00.015000+00:00,2024-04-02 12:00:00+00:00,2024-04-02 20:00:00+00:00,-0.0034563978474994633,-0.0034504053474994634,-5.9925000000000074e-06,0.25,4,4
3,1,2024-04-02 16:00:00+00:00,2024-04-02 20:00:00+00:00,2024-04-03 04:00:00+00:00,0.0043357925930607236,0.004310561343060723,2.5231249999999993e-05,0.75,4,4
3,1,2024-04-03 00:00:00+00:00,2024-04-03 04:00:00+00:00,2024-04-03 12:00:00+00:00,0.0021114808457050353,0.0020981083457050353,1.3372500000000001e-05,0.75,4,4
3,1,2024-04-03 08:00:00+00:00,2024-04-03 12:00:00+00:00,2024-04-03 20:00:00+00:00,-0.0037705948668840506,-0.0037935898668840506,2.2995e-05,0.0,4,4
3,1,2024-04-03 16:00:00+00:00,2024-04-03 20:00:00+00:00,2024-04-04 04:00:00+00:00,-0.005385190335828545,-0.005418802835828546,3.36125e-05,1.0,4,4
3,1,2024-04-04 00:00:00+00:00,2024-04-04 04:00:00+00:00,2024-04-04 12:00:00+00:00,-0.0040151108922563995,-0.0040517921422564,3.668124999999999e-05,0.25,4,4
3,1,2024-04-04 08:00:00+00:00,2024-04-04 12:00:00+00:00,2024-04-04 20:00:00+00:00,0.003957866405451917,0.003936396405451917,2.146999999999999e-05,0.5,4,4
3,1,2024-04-04 16:00:00+00:00,2024-04-04 20:00:00+00:00,2024-04-05 04:00:00+00:00,-0.0005337630645247467,-0.0006480843145247467,0.00011432124999999998,0.75,4,4
3,1,2024-04-05 00:00:00+00:00,2024-04-05 04:00:00+00:00,2024-04-05 12:00:00+00:00,0.008076516156332541,0.008015283656332542,6.12325e-05,0.0,4,4
3,1,2024-04-05 08:00:00+00:00,2024-04-05 12:00:00+00:00,2024-04-05 20:00:00+00:00,-0.016315865648142067,-0.016405151898142067,8.928625e-05,0.0,4,4
3,1,2024-04-05 16:00:00+00:00,2024-04-05 20:00:00+00:00,2024-04-06 04:00:00+00:00,0.0008885502479416972,0.0007520802479416971,0.00013647000000000003,0.5,4,4
3,1,2024-04-06 00:00:00+00:00,2024-04-06 04:00:00+00:00,2024-04-06 12:00:00+00:00,-0.0006098348655737096,-0.0006808586155737095,7.102375e-05,0.75,4,4
3,1,2024-04-06 08:00:00+00:00,2024-04-06 12:00:00+00:00,2024-04-06 20:00:00+00:00,0.004652662012183784,0.004599034512183783,5.362749999999999e-05,0.0,4,4
3,1,2024-04-06 16:00:00+00:00,2024-04-06 20:00:00+00:00,2024-04-07 04:00:00+00:00,-0.003376812871210759,-0.003454705371210759,7.789249999999999e-05,0.25,4,4
3,1,2024-04-07 00:00:00+00:00,2024-04-07 04:00:00+00:00,2024-04-07 12:00:00+00:00,-0.0014788926779207,-0.0015865201779207,0.00010762750000000001,0.5,4,4
3,1,2024-04-07 08:00:00+00:00,2024-04-07 12:00:00+00:00,2024-04-07 20:00:00+00:00,0.0014670480857634312,0.0013861680857634312,8.088000000000001e-05,0.0,4,4
3,1,2024-04-07 16:00:00+00:00,2024-04-07 20:00:00+00:00,2024-04-08 04:00:00+00:00,0.0004173863739954373,0.00034300887399543734,7.43775e-05,0.25,4,4
