lookback_days,rebalance_days,split,cost,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade,max_compounded_drawdown,mean_turnover
7,1,development,0.0006,275,-0.0012089116840421769,-0.002280672382381386,0.43636363636363634,0.7487222692626323,8,-0.013780763732117679,0.01212086829473344,-0.0420273708400895,0.037830244114187395,0.37880475715595585,0.6911163395086561
7,1,development,0.0014,275,-0.001485358219845639,-0.0024811519265099616,0.4218181818181818,0.7010483891295041,8,-0.014003589147509633,0.011831492616421618,-0.042135758615216685,0.03760320462142213,0.4150302139485603,0.6911163395086561
7,1,validation,0.0006,365,-0.00016261945974806275,2.4949433978320912e-05,0.5013698630136987,0.9558489079101781,6,-0.01104532565495234,0.010577284230777936,-0.03566714277929871,0.0832218079548227,0.29290649572398453,0.6632597215491887
7,1,validation,0.0014,365,-0.00042792334836773806,-0.00031760778883728127,0.4794520547945205,0.8880891529259124,9,-0.01120064403545381,0.010264021270186113,-0.035963764421910974,0.08288700338058817,0.3304038612710709,0.6632597215491887
7,1,confirmation,0.0006,211,0.0003057712480034844,0.0007742222739068409,0.5497630331753555,1.1120164870257083,7,-0.008658656538297982,0.01010903546705891,-0.026864928303087992,0.028297987947743495,0.07344360225146485,0.6423040758796358
7,1,confirmation,0.0014,211,4.884961765162997e-05,0.0005524652428410766,0.5355450236966824,1.0171243171970932,7,-0.008973141505658071,0.009728302514708605,-0.02706137265342554,0.028177916585735138,0.07562618016829081,0.6423040758796358
7,7,development,0.0006,40,-0.0009940470152974743,-0.008512620766002923,0.4,0.9295230237600912,9,-0.03688081303928181,0.032892715333651554,-0.05828973496077695,0.12765664984570033,0.3333186082455749,1.582956407542375
7,7,development,0.0014,40,-0.001627229578314424,-0.00916536172422474,0.4,0.8877856974379019,9,-0.0375577249231909,0.03223044350293441,-0.05893303711856907,0.12704536772249445,0.3456111156805164,1.582956407542375
7,7,validation,0.0006,52,0.0038283265724225373,0.0032280835940415187,0.5192307692307693,1.4270049135552738,5,-0.02681221177872106,0.03894621983659993,-0.07924913528121307,0.09601754910376749,0.1849859330813033,1.4480325817665696
7,7,validation,0.0014,52,0.003249113539715908,0.002496214318990731,0.5192307692307693,1.351744567030211,5,-0.02734886248754293,0.03838981778307599,-0.07992913528121307,0.0952947348487092,0.1919142684832944,1.4480325817665696
7,7,confirmation,0.0006,29,0.0007792890504663888,0.0004513799933390893,0.5172413793103449,1.1472512388642293,5,-0.01865944370230615,0.015790471706640566,-0.03393643389847844,0.043437647113469396,0.07312821011732062,1.5199753247966632
7,7,confirmation,0.0014,29,0.0001712989205477243,-0.0002618616654180494,0.4482758620689655,1.0307974028030598,5,-0.019377373672121053,0.015185303704150646,-0.034336790980787756,0.0428842261484903,0.08008827309053879,1.5199753247966632
28,1,development,0.0006,275,0.000423170388798233,-1.659085196864692e-06,0.49818181818181817,1.1082132451746391,8,-0.012919591752601113,0.01284558432173014,-0.04466830116515498,0.038485939777192675,0.17743408917281445,0.38782153010412324
28,1,development,0.0014,275,0.0002680417767565838,-0.00010294895648102286,0.4909090909090909,1.0672321307906096,8,-0.012995438021479724,0.012766264441655859,-0.04476184533804803,0.03847962552131909,0.18795111571835088,0.38782153010412324
28,1,validation,0.0006,365,0.0003357849398716372,0.00029342221507620185,0.5232876712328767,1.093235880473287,10,-0.011832123578489563,0.011993470536714122,-0.032931326967246065,0.05566500763087446,0.12837522384005096,0.30962068496587947
28,1,validation,0.0014,365,0.0002119366658852853,0.00013367691745773343,0.5123287671232877,1.057877046799671,10,-0.012012909308058345,0.011882254861372404,-0.033009564322685696,0.05545364011721992,0.1480054011979982,0.30962068496587947
28,1,confirmation,0.0006,211,0.00014385361064635083,-8.806411837553468e-05,0.4881516587677725,1.0517418434313774,7,-0.007865192303838673,0.008949146904306204,-0.0360860448779664,0.035561168685584774,0.09427752167613102,0.4239542683061311
28,1,confirmation,0.0014,211,-2.572809667610167e-05,-0.00022469912087227267,0.47393364928909953,0.991049689968937,7,-0.008104204235141474,0.008834587836709366,-0.03617199501772701,0.03545843076471249,0.10288879163760423,0.4239542683061311
28,7,development,0.0006,40,-0.0006394404819858493,0.0015766206613888867,0.575,0.9437024930254626,4,-0.029523219789671602,0.03564347301460649,-0.07593921142778023,0.09092279597413762,0.1506601245196797,0.8503630229574204
28,7,development,0.0014,40,-0.0009795856911688175,0.0012875226110736142,0.525,0.9149520947459953,4,-0.029803266944847442,0.0354625864333074,-0.07636724280635765,0.09089920867933099,0.1551083946443348,0.8503630229574204
28,7,validation,0.0006,52,0.0044083001355902885,-0.0002810220419797231,0.5,1.601077828667474,6,-0.022048157568620847,0.0390070399422176,-0.047096417541625815,0.0840963103732453,0.1287133775240893,0.720477665461775
28,7,validation,0.0014,52,0.00412010906940558,-0.00044922608318838906,0.4807692307692308,1.5508933651019285,6,-0.022202097132876436,0.03877517710618054,-0.047379143874132966,0.08376828973211443,0.13115087861813968,0.720477665461775
28,7,confirmation,0.0006,29,-0.002530816426883576,-0.0055889553269137075,0.3793103448275862,0.7306532991588783,6,-0.030073589538569076,0.016331550793318154,-0.038738818871365314,0.08285779379458506,0.11941301836208429,0.9686647710781794
28,7,confirmation,0.0014,29,-0.002918282335314848,-0.0061051675125155,0.3793103448275862,0.6966149325017066,6,-0.03048880778990912,0.015923102601259644,-0.03895256969067731,0.08240498134953098,0.12484073181948863,0.9686647710781794
