symbol,complete_days,coverage,median_daily_quote_volume,selected
BTCUSDT,91,1.0,15454464441.79797,True
ETHUSDT,91,1.0,7309579149.43542,True
SOLUSDT,91,1.0,2881555378.066,True
XRPUSDT,91,1.0,567668657.56521,True
DOGEUSDT,91,1.0,527965536.14527,True
BNBUSDT,91,1.0,468761186.48953,True
AVAXUSDT,91,1.0,465450747.539,True
ARBUSDT,91,1.0,409169873.01691,True
FILUSDT,91,1.0,391008577.57670003,True
LINKUSDT,91,1.0,390353542.15985,True
ADAUSDT,91,1.0,321346460.4397,True
OPUSDT,91,1.0,313071859.26354,True
LTCUSDT,91,1.0,269819276.25437,True
INJUSDT,91,1.0,257634484.57,True
ETCUSDT,91,1.0,237387009.91683,True
NEARUSDT,91,1.0,231748024.04500002,True
BCHUSDT,91,1.0,225079644.49322,False
DOTUSDT,91,1.0,216754481.2124,False
APTUSDT,91,1.0,212964075.39249998,False
ATOMUSDT,91,1.0,136136426.20135,False
UNIUSDT,91,1.0,82025770.748,False
AAVEUSDT,91,1.0,62959227.321,False
TRXUSDT,91,1.0,61075187.75608,False
XLMUSDT,91,1.0,38169105.91511,False
