hypothesis,horizon,minutes,feature,samples,pearson,spearman
DOWN_REVERSAL_LONG,6,30,abs_return_z,16416,0.032130254933458356,0.02071131359470522
DOWN_REVERSAL_LONG,6,30,range_ratio,16416,0.04594920959175875,0.02718533037503064
DOWN_REVERSAL_LONG,6,30,volume_ratio_7d,16416,0.01063561072288742,0.015276650071318428
DOWN_REVERSAL_LONG,6,30,directional_close_extremity,16416,-0.01104813770039182,-0.01747238582515083
DOWN_REVERSAL_LONG,12,60,abs_return_z,16416,0.042503467079039785,0.026389376700411773
DOWN_REVERSAL_LONG,12,60,range_ratio,16416,0.06260788886997624,0.033558269815121534
DOWN_REVERSAL_LONG,12,60,volume_ratio_7d,16416,0.02489197718212289,0.015285722828014114
DOWN_REVERSAL_LONG,12,60,directional_close_extremity,16416,-0.024208272222405233,-0.03284103580314823
UP_CONTINUATION_LONG,6,30,abs_return_z,16638,0.04970522449410594,0.018653031627966738
UP_CONTINUATION_LONG,6,30,range_ratio,16638,0.04451162888964589,0.015193694180273679
UP_CONTINUATION_LONG,6,30,volume_ratio_7d,16638,0.028540127274396893,0.003751275319339877
UP_CONTINUATION_LONG,6,30,directional_close_extremity,16638,0.004585050804367782,0.010380900370039694
UP_CONTINUATION_LONG,12,60,abs_return_z,16638,0.022520138976698485,0.01747107484600554
UP_CONTINUATION_LONG,12,60,range_ratio,16638,0.012857339472637732,0.01223476579607313
UP_CONTINUATION_LONG,12,60,volume_ratio_7d,16638,0.008473464173226607,0.0057848463533316935
UP_CONTINUATION_LONG,12,60,directional_close_extremity,16638,0.0019381081600924285,0.007467753652430912
