hypothesis,event,horizon,minutes,feature,bucket,cost,feature_min,feature_median,feature_max,samples,mean_return,median_return,win_rate,profit_factor,q10,q90,baseline_mean_return,baseline_profit_factor,mean_return_delta,pf_delta,years,years_pf_gt_1,years_mean_gt_0,worst_year_pf,median_year_pf,assets,assets_pf_gt_1,assets_mean_gt_0,worst_asset_pf,median_asset_pf
UP_CONTINUATION_LONG,EXTREME_UP,6,30,abs_return_z,Q4,0.0004,3.0771545497813717,3.7938174854248325,44.57690099584785,4160,0.00022576519602145295,-0.00044187634928382035,0.46923076923076923,1.0800712444137979,-0.008420216993317669,0.009345577656963746,-0.0002452036758708659,0.9011441638679514,0.00047096887189231886,0.1789270805458465,3,3,3,1.0253248581706635,1.0875506032282898,4,3,3,0.9116528271744115,1.094598504380393
UP_CONTINUATION_LONG,EXTREME_UP,12,60,abs_return_z,Q4,0.0004,3.0771545497813717,3.7938174854248325,44.57690099584785,4160,0.0002780607678694752,-0.00033503806650740897,0.48028846153846155,1.0727063464762292,-0.011104651769093499,0.01258950226232742,-0.0002512156238426971,0.9244393083709865,0.0005292763917121723,0.14826703810524267,3,3,3,1.018479784270835,1.0438988762792714,4,2,2,0.9421299084522137,1.0501601454854137
UP_CONTINUATION_LONG,EXTREME_UP,12,60,range_ratio,Q4,0.0004,3.879761757316088,4.852312868870605,93.2301505053964,4160,0.00023599053984396111,-0.0003856904073387565,0.4798076923076923,1.0590528455153028,-0.011725736734018418,0.012649844346069446,-0.0002512156238426971,0.9244393083709865,0.0004872061636866582,0.13461353714431623,3,2,2,0.9238634818470953,1.0355918954831236,4,2,2,0.9138231820025244,1.0747422232481643
DOWN_REVERSAL_LONG,EXTREME_DOWN,12,60,range_ratio,Q4,0.0004,3.769637459450457,4.643362865211549,61.70495934537982,4104,0.0001710489618920614,0.00031153417061514997,0.5185185185185185,1.0435926461589116,-0.01196700753697862,0.011744444441561223,-0.00028583403750970205,0.9151818581872299,0.0004568829994017634,0.1284107879716817,3,2,2,0.9065641530845333,1.0095373229273799,4,3,3,0.8476306501469029,1.0597410827372504
UP_CONTINUATION_LONG,EXTREME_UP,6,30,range_ratio,Q4,0.0004,3.879761757316088,4.852312868870605,93.2301505053964,4160,0.0001188036495848309,-0.0004562457089413604,0.4675480769230769,1.0398993371167542,-0.00877623070188097,0.00957257947217065,-0.0002452036758708659,0.9011441638679514,0.0003640073254556968,0.13875517324880282,3,2,2,0.9302590315143958,1.041397873865868,4,2,2,0.9014786597409176,1.0416649225292898
DOWN_REVERSAL_LONG,EXTREME_DOWN,12,60,abs_return_z,Q4,0.0004,2.987367488520792,3.5795825993612658,32.165912659492854,4104,5.034903706619138e-05,0.00041096997152879997,0.526803118908382,1.0133383784984535,-0.011496479561961618,0.01144622823450043,-0.00028583403750970205,0.9151818581872299,0.0003361830745758934,0.09815652031122368,3,1,1,0.7637654486719873,0.956200465051687,4,2,2,0.8581945297400613,1.0185576760349484
UP_CONTINUATION_LONG,EXTREME_UP,6,30,volume_ratio_7d,Q4,0.0004,6.411575087969685,9.295461972083668,225.0678050100324,4160,2.6703997412516544e-05,-0.0005477846152821,0.45913461538461536,1.0093882836695505,-0.008335730443487718,0.008845435465259958,-0.0002452036758708659,0.9011441638679514,0.00027190767328338244,0.10824411980159909,3,1,1,0.9534909839165273,0.9648978820182439,4,3,3,0.8983546096372121,1.036571248739524
DOWN_REVERSAL_LONG,EXTREME_DOWN,12,60,directional_close_extremity,Q1,0.0004,0.1913822048125352,0.715404166656886,0.7984496124031066,4104,1.3062668803129763e-05,0.00023810392248259994,0.5148635477582846,1.003830255699205,-0.010691162143129618,0.010085167895937032,-0.00028583403750970205,0.9151818581872299,0.00029889670631283184,0.08864839751197506,3,2,2,0.9853451324264392,1.0123606782052064,4,2,2,0.9134644689272161,0.9807784511230588
UP_CONTINUATION_LONG,EXTREME_UP,12,60,volume_ratio_7d,Q4,0.0004,6.411575087969685,9.295461972083668,225.0678050100324,4160,5.324510947516702e-06,-0.00051670313888025,0.46610576923076924,1.0013883188198915,-0.011109552457102179,0.01203641834808728,-0.0002512156238426971,0.9244393083709865,0.0002565401347902138,0.07694901044890501,3,1,1,0.9103527742623108,0.9550789078204569,4,2,2,0.9263817617016137,1.0196478356517287
DOWN_REVERSAL_LONG,EXTREME_DOWN,12,60,directional_close_extremity,Q2,0.0004,0.7984496124031081,0.8507658044854227,0.891741071428569,4104,-3.274727018763225e-05,0.00020533301298344996,0.51364522417154,0.98985404288297,-0.010024431530387169,0.009578426699075942,-0.00028583403750970205,0.9151818581872299,0.0002530867673220698,0.07467218469574011,3,1,1,0.9175667964541127,0.9469055868898297,4,1,1,0.851420523726325,0.9661929900515438
