state,symbol,samples
ABSORPTION_DOWN,BNBUSDT,1129
ABSORPTION_DOWN,BTCUSDT,916
ABSORPTION_DOWN,ETHUSDT,927
ABSORPTION_DOWN,SOLUSDT,1027
ABSORPTION_UP,BNBUSDT,1116
ABSORPTION_UP,BTCUSDT,885
ABSORPTION_UP,ETHUSDT,889
ABSORPTION_UP,SOLUSDT,1045
EFFICIENT_DOWN,BNBUSDT,6806
EFFICIENT_DOWN,BTCUSDT,7059
EFFICIENT_DOWN,ETHUSDT,7487
EFFICIENT_DOWN,SOLUSDT,6816
EFFICIENT_UP,BNBUSDT,6230
EFFICIENT_UP,BTCUSDT,6852
EFFICIENT_UP,ETHUSDT,7121
EFFICIENT_UP,SOLUSDT,6563
FRAGILE_DOWN,BNBUSDT,102
FRAGILE_DOWN,BTCUSDT,23
FRAGILE_DOWN,ETHUSDT,32
FRAGILE_DOWN,SOLUSDT,50
FRAGILE_UP,BNBUSDT,122
FRAGILE_UP,BTCUSDT,32
FRAGILE_UP,ETHUSDT,42
FRAGILE_UP,SOLUSDT,67
