hypothesis,event,side,horizon,minutes,cost,samples,mean_return,median_return,win_rate,profit_factor,q10,q90
DOWN_CONTINUATION_SHORT,EXTREME_DOWN,SHORT,1,5,0.0,16416,4.3277872855523387e-05,-0.0001590400046251883,0.46765350877192985,1.0403334723503674,-0.003036025584675417,0.003383125901991413
DOWN_CONTINUATION_SHORT,EXTREME_DOWN,SHORT,1,5,0.0002,16416,-0.00015672212714447662,-0.0003590400046251883,0.43110380116959063,0.8675204110949092,-0.003236025584675417,0.0031831259019914127
DOWN_CONTINUATION_SHORT,EXTREME_DOWN,SHORT,1,5,0.0004,16416,-0.0003567221271444767,-0.0005590400046251883,0.3947977582846004,0.7257131419885001,-0.003436025584675417,0.0029831259019914126
DOWN_CONTINUATION_SHORT,EXTREME_DOWN,SHORT,3,15,0.0,16416,2.3434449089490353e-05,-0.00022264457665538417,0.47112573099415206,1.0132161658991954,-0.005202660591628883,0.0055429894365433
DOWN_CONTINUATION_SHORT,EXTREME_DOWN,SHORT,3,15,0.0002,16416,-0.00017656555091050951,-0.00042264457665538416,0.44639376218323584,0.9061474409632659,-0.005402660591628882,0.0053429894365433
DOWN_CONTINUATION_SHORT,EXTREME_DOWN,SHORT,3,15,0.0004,16416,-0.0003765655509105097,-0.0006226445766553841,0.42269736842105265,0.8111971986398279,-0.005602660591628883,0.0051429894365432995
DOWN_CONTINUATION_SHORT,EXTREME_DOWN,SHORT,6,30,0.0,16416,4.154431447720146e-05,-0.00032230782164216487,0.46844541910331383,1.0172331603187341,-0.007101234990214811,0.007411294165912019
DOWN_CONTINUATION_SHORT,EXTREME_DOWN,SHORT,6,30,0.0002,16416,-0.00015845568552279836,-0.0005223078216421649,0.4521807992202729,0.9370840424949943,-0.0073012349902148105,0.007211294165912019
DOWN_CONTINUATION_SHORT,EXTREME_DOWN,SHORT,6,30,0.0004,16416,-0.0003584556855227985,-0.0007223078216421648,0.43433235867446396,0.8636977179675087,-0.007501234990214811,0.007011294165912019
DOWN_CONTINUATION_SHORT,EXTREME_DOWN,SHORT,12,60,0.0,16416,-1.3256957457542413e-05,-0.0004384914171493004,0.47076023391812866,0.9959132815591893,-0.009523251866326021,0.00987626408567377
DOWN_CONTINUATION_SHORT,EXTREME_DOWN,SHORT,12,60,0.0002,16416,-0.00021325695745754225,-0.0006384914171493004,0.4567495126705653,0.9363633851896395,-0.009723251866326022,0.009676264085673769
DOWN_CONTINUATION_SHORT,EXTREME_DOWN,SHORT,12,60,0.0004,16416,-0.00041325695745754226,-0.0008384914171493004,0.44389619883040937,0.8805968553353367,-0.00992325186632602,0.00947626408567377
DOWN_REVERSAL_LONG,EXTREME_DOWN,LONG,1,5,0.0,16416,-3.099160764325439e-05,0.00015906530239506722,0.5283869395711501,0.9720603855715187,-0.0033717189519832935,0.003045271105810765
DOWN_REVERSAL_LONG,EXTREME_DOWN,LONG,1,5,0.0002,16416,-0.0002309916076432544,-4.093469760493279e-05,0.4920199805068226,0.8086149759520236,-0.0035717189519832936,0.002845271105810765
DOWN_REVERSAL_LONG,EXTREME_DOWN,LONG,1,5,0.0004,16416,-0.00043099160764325443,-0.0002409346976049328,0.4496832358674464,0.6717143945564935,-0.0037717189519832937,0.002645271105810765
DOWN_REVERSAL_LONG,EXTREME_DOWN,LONG,3,15,0.0,16416,7.429402792743812e-06,0.00022269415831011052,0.5264376218323586,1.004175062479896,-0.0055124340694758245,0.005229869829644351
DOWN_REVERSAL_LONG,EXTREME_DOWN,LONG,3,15,0.0002,16416,-0.00019257059720725607,2.2694158310110514e-05,0.5031067251461988,0.8973729000476628,-0.005712434069475824,0.005029869829644352
DOWN_REVERSAL_LONG,EXTREME_DOWN,LONG,3,15,0.0004,16416,-0.00039257059720725616,-0.0001773058416898895,0.47782651072124754,0.8015602798344479,-0.005912434069475825,0.004829869829644351
DOWN_REVERSAL_LONG,EXTREME_DOWN,LONG,6,30,0.0,16416,1.6413163231541358e-05,0.0003224117374958091,0.5301535087719298,1.0067840312693703,-0.007356770972075988,0.007152023187600887
DOWN_REVERSAL_LONG,EXTREME_DOWN,LONG,6,30,0.0002,16416,-0.0001835868367684585,0.00012241173749580908,0.5114522417153996,0.9270103762098145,-0.007556770972075987,0.006952023187600887
DOWN_REVERSAL_LONG,EXTREME_DOWN,LONG,6,30,0.0004,16416,-0.0003835868367684586,-7.758826250419093e-05,0.4928728070175439,0.8533030159057109,-0.007756770972075988,0.0067520231876008864
