threshold,year,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q05,q10,q90,q95
2.5,2024,0.0004,2884,0.00017991453650502816,-0.0001702741934397,0.00010803286841410179,0.00019353757661281191,0.48613037447988905,1.0661449405377932,-0.01122214718162881,-0.00787978244153484,0.009204560036807632,0.0131506861380492
2.5,2024,0.0006,2884,-2.008546349497172e-05,-0.00037027419343969994,-9.196713158589808e-05,-6.462423387187978e-06,0.4684466019417476,0.9928887966177352,-0.01142214718162881,-0.00807978244153484,0.009004560036807632,0.0129506861380492
2.5,2025,0.0004,3085,-0.00017174053354670262,-0.0005059910159996,-0.00036595152103416156,-0.0002933428437023377,0.4564019448946515,0.9365032079664424,-0.011385682106088419,-0.008215178695858059,0.00761544830081606,0.012108331182510732
2.5,2025,0.0006,3085,-0.0003717405335467026,-0.0007059910159996,-0.0005659515210341618,-0.0004933428437023377,0.4376012965964344,0.8679450896412381,-0.01158568210608842,-0.00841517869585806,0.00741544830081606,0.011908331182510732
2.5,2026,0.0004,2004,-5.877961582176768e-05,-0.0005413122871496499,-0.0003319458119999584,-0.0002506954346746869,0.43962075848303395,0.9739469896487181,-0.009523668915834765,-0.00702407611563202,0.0067751899274126,0.010488062463557322
2.5,2026,0.0006,2004,-0.00025877961582176755,-0.00074131228714965,-0.0005319458119999585,-0.00045069543467468685,0.4216566866267465,0.8908172171868368,-0.009723668915834765,-0.00722407611563202,0.0065751899274126,0.010288062463557322
3.0,2024,0.0004,1591,0.0003137052653946964,-4.80442011789e-05,0.0003155082258252389,0.0003672031037031448,0.49591451917033313,1.1070488024746248,-0.0125961813980776,-0.0082003405782506,0.010088031665881,0.0142649775683369
3.0,2024,0.0006,1591,0.00011370526539469656,-0.0002480442011788999,0.00011550822582523925,0.00016720310370314505,0.48145820238843495,1.0374955969532356,-0.012796181398077599,-0.008400340578250601,0.009888031665881,0.014064977568336901
3.0,2025,0.0004,1742,-1.6596811176833788e-05,-0.000593642575631,-0.0003490632655144798,-0.00022113866097664016,0.45579793340987373,0.9943906017360207,-0.01209191588147103,-0.008837264977529818,0.008725406685323005,0.013955219175396327
3.0,2025,0.0006,1742,-0.0002165968111768337,-0.000793642575631,-0.0005490632655144796,-0.00042113866097664017,0.43742824339839265,0.9294266156029459,-0.01229191588147103,-0.009037264977529819,0.008525406685323004,0.013755219175396327
3.0,2026,0.0004,1182,0.00018995335156304357,-0.0005413122871496499,-0.0001839960656417301,-4.921299854547177e-05,0.4407783417935702,1.0784181155886359,-0.01014948991955411,-0.0075307341868418995,0.007938685408400993,0.01248169605743841
3.0,2026,0.0006,1182,-1.0046648436956316e-05,-0.00074131228714965,-0.00038399606564173044,-0.0002492129985454717,0.42216582064297803,0.9960383911726529,-0.01034948991955411,-0.007730734186841899,0.007738685408400992,0.01228169605743841
3.5,2024,0.0004,929,0.0006594938231223922,0.00016723029549989998,0.0006544617210013481,0.0006980890735795152,0.5091496232508074,1.213833221782808,-0.014222544015028617,-0.008738988451735919,0.011217648950240862,0.01641161809458694
3.5,2024,0.0006,929,0.0004594938231223923,-3.276970450009995e-05,0.00045446172100134833,0.0004980890735795154,0.4940796555435953,1.1443317139552023,-0.014422544015028618,-0.00893898845173592,0.011017648950240861,0.01621161809458694
3.5,2025,0.0004,1028,0.00046074091636576616,-0.00053680956762245,2.4767902735935255e-05,0.00018837600929098793,0.46400778210116733,1.1521274430447637,-0.012515469152500134,-0.008812338493793119,0.010592759033599984,0.01586325556586459
3.5,2025,0.0006,1028,0.00026074091636576607,-0.00073680956762245,-0.00017523209726406477,-1.1623990709011966e-05,0.44455252918287935,1.0831066510870078,-0.012715469152500134,-0.00901233849379312,0.010392759033599984,0.015663255565864592
3.5,2026,0.0004,771,0.0002697874768966395,-0.0006333722287047,-0.0001941341037684752,1.0587587787465404e-05,0.4396887159533074,1.103607911859783,-0.010992538793899649,-0.0080513163127335,0.0088103480969796,0.0147589046007757
3.5,2026,0.0006,771,6.978747689663957e-05,-0.0008333722287046999,-0.0003941341037684749,-0.00018941241221253447,0.42153047989623865,1.0256770605603847,-0.01119253879389965,-0.0082513163127335,0.0086103480969796,0.014558904600775701
4.0,2024,0.0004,558,0.001006340964247195,0.0008710827571532001,0.0010928750336130046,0.0010445105098303984,0.53584229390681,1.315540850177519,-0.015421115161515338,-0.008506577447982788,0.01141996707082366,0.01658136864242517
4.0,2024,0.0006,558,0.0008063409642471952,0.0006710827571532001,0.0008928750336130041,0.0008445105098303985,0.525089605734767,1.2455864941634416,-0.015621115161515339,-0.008706577447982788,0.01121996707082366,0.016381368642425172
4.0,2025,0.0004,635,0.0008219573124565396,-0.00042475799064149966,0.00036811691817188085,0.000511447374974598,0.47716535433070867,1.266699082665256,-0.01277777244441347,-0.00881595013305494,0.011330682004454641,0.01645362945024546
4.0,2025,0.0006,635,0.0006219573124565395,-0.0006247579906414996,0.00016811691817188116,0.00031144737497459815,0.45354330708661417,1.1950583890018207,-0.01297777244441347,-0.00901595013305494,0.011130682004454641,0.01625362945024546
4.0,2026,0.0004,484,0.00032246147292562473,-0.0007546190011391001,-0.00021280068397344236,-1.0478392131092048e-05,0.4462809917355372,1.1121132806467515,-0.0118950520374843,-0.009283524071818799,0.00959626563934778,0.015549767907282509
4.0,2026,0.0006,484,0.00012246147292562496,-0.0009546190011391,-0.0004128006839734417,-0.00021047839213109195,0.4318181818181818,1.040982803026949,-0.0120950520374843,-0.0094835240718188,0.009396265639347779,0.015349767907282508
