symbol,event,side,horizon,minutes,cost,samples,mean_return,median_return,win_rate,profit_factor
BNBUSDT,REJECT_DOWN_1H,LONG,1,5,0.0,15247,1.0841519031388202e-05,5.9353345303048144e-05,0.5194464484816685,1.0176631544940011
BNBUSDT,REJECT_DOWN_1H,LONG,1,5,0.0002,15247,-0.00018915848096861184,-0.00014064665469695187,0.44710434839640584,0.7361274950376014
BNBUSDT,REJECT_DOWN_1H,LONG,1,5,0.0004,15247,-0.0003891584809686118,-0.0003406466546969519,0.37364727487374566,0.5337677916615665
BNBUSDT,REJECT_DOWN_1H,LONG,3,15,0.0,15247,2.568685528514618e-05,0.0001539740707663384,0.5318423296386174,1.0241217361488928
BNBUSDT,REJECT_DOWN_1H,LONG,3,15,0.0002,15247,-0.0001743131447148538,-4.602592923366161e-05,0.4903915524365449,0.8500331383539638
BNBUSDT,REJECT_DOWN_1H,LONG,3,15,0.0004,15247,-0.0003743131447148539,-0.0002460259292336616,0.4469731750508297,0.7049277145459443
BNBUSDT,REJECT_DOWN_1H,LONG,6,30,0.0,15247,6.488607331274539e-05,0.00021302120121546864,0.5317767429658293,1.0445937721271454
BNBUSDT,REJECT_DOWN_1H,LONG,6,30,0.0002,15247,-0.00013511392668725457,1.3021201215468627e-05,0.5020659801928248,0.9129144369376231
BNBUSDT,REJECT_DOWN_1H,LONG,6,30,0.0004,15247,-0.0003351139266872547,-0.00018697879878453138,0.4711746573096347,0.7974214216429848
BNBUSDT,REJECT_DOWN_1H,LONG,12,60,0.0,15247,0.00012089450036492464,0.00031614999560902746,0.5346625565685053,1.0610337733380912
BNBUSDT,REJECT_DOWN_1H,LONG,12,60,0.0002,15247,-7.910549963507517e-05,0.00011614999560902745,0.5121007411294025,0.9618984773858272
BNBUSDT,REJECT_DOWN_1H,LONG,12,60,0.0004,15247,-0.00027910549963507537,-8.385000439097256e-05,0.4915065258739424,0.8717282750342242
BNBUSDT,REJECT_DOWN_4H,LONG,1,5,0.0,6477,7.776454271841802e-06,8.304958059968115e-05,0.528176624980701,1.010498172078997
BNBUSDT,REJECT_DOWN_4H,LONG,1,5,0.0002,6477,-0.00019222354572815819,-0.00011695041940031886,0.46024394009572334,0.7716261306184041
BNBUSDT,REJECT_DOWN_4H,LONG,1,5,0.0004,6477,-0.0003922235457281582,-0.00031695041940031887,0.39431835726416553,0.5897761308014452
BNBUSDT,REJECT_DOWN_4H,LONG,3,15,0.0,6477,1.9932038279063293e-06,0.00023131319807023765,0.5423807318202871,1.001539318882839
BNBUSDT,REJECT_DOWN_4H,LONG,3,15,0.0002,6477,-0.00019800679617209364,3.131319807023764e-05,0.5059441099274355,0.8575481461843425
BNBUSDT,REJECT_DOWN_4H,LONG,3,15,0.0004,6477,-0.0003980067961720937,-0.00016868680192976237,0.4684267407750502,0.7333097257514691
BNBUSDT,REJECT_DOWN_4H,LONG,6,30,0.0,6477,8.957519427922449e-05,0.0003038949198901353,0.5392928825073336,1.0529609791542183
BNBUSDT,REJECT_DOWN_4H,LONG,6,30,0.0002,6477,-0.00011042480572077543,0.00010389491989013527,0.5141269106067624,0.9381718859388818
BNBUSDT,REJECT_DOWN_4H,LONG,6,30,0.0004,6477,-0.0003104248057207756,-9.610508010986473e-05,0.4889609387061911,0.8353964232248364
BNBUSDT,REJECT_DOWN_4H,LONG,12,60,0.0,6477,0.00021838996539736802,0.00047937155934940634,0.5473212907210128,1.0989810103299908
