year,event,side,horizon,minutes,cost,samples,mean_return,median_return,win_rate,profit_factor
2024,REJECT_DOWN_1H,LONG,1,5,0.0,23698,4.260574540277251e-05,0.00011235566686240706,0.5318592286268884,1.0572614573900125
2024,REJECT_DOWN_1H,LONG,1,5,0.0002,23698,-0.00015739425459722751,-8.764433313759295e-05,0.4724871297155878,0.8133903087556069
2024,REJECT_DOWN_1H,LONG,1,5,0.0004,23698,-0.00035739425459722744,-0.00028764433313759296,0.4130728331504768,0.6257224154828535
2024,REJECT_DOWN_1H,LONG,3,15,0.0,23698,8.410009154208822e-05,0.0001905158016647368,0.5315216473964047,1.0661517307359984
2024,REJECT_DOWN_1H,LONG,3,15,0.0002,23698,-0.00011589990845791176,-9.484198335263204e-06,0.49848088446282385,0.9152934498454215
2024,REJECT_DOWN_1H,LONG,3,15,0.0004,23698,-0.00031589990845791183,-0.0002094841983352632,0.4621065068782176,0.7854268604662403
2024,REJECT_DOWN_1H,LONG,6,30,0.0,23698,0.0001519963186137177,0.0002701008544579997,0.5319436239345092,1.0883935204673971
2024,REJECT_DOWN_1H,LONG,6,30,0.0002,23698,-4.80036813862822e-05,7.010085445799969e-05,0.5085239260697105,0.9735576736079593
2024,REJECT_DOWN_1H,LONG,6,30,0.0004,23698,-0.0002480036813862823,-0.00012989914554200032,0.48375390328297746,0.8705770740035241
2024,REJECT_DOWN_1H,LONG,12,60,0.0,23698,0.00025740195414243307,0.0004349070464446658,0.5397501898894421,1.1093699726282606
2024,REJECT_DOWN_1H,LONG,12,60,0.0002,23698,5.740195414243327e-05,0.00023490704644466581,0.5201282808675838,1.0234533203593033
2024,REJECT_DOWN_1H,LONG,12,60,0.0004,23698,-0.00014259804585756687,3.4907046444665804e-05,0.5032492193434045,0.9439734531995736
2024,REJECT_DOWN_4H,LONG,1,5,0.0,9723,1.4911212197864127e-05,0.00015610906820229253,0.5376941273269567,1.0159242806380278
2024,REJECT_DOWN_4H,LONG,1,5,0.0002,9723,-0.0001850887878021359,-4.3890931797707476e-05,0.48781240357914224,0.8209321857980404
2024,REJECT_DOWN_4H,LONG,1,5,0.0004,9723,-0.00038508878780213593,-0.00024389093179770749,0.4361822482772807,0.6625318476850728
2024,REJECT_DOWN_4H,LONG,3,15,0.0,9723,7.54808470538646e-05,0.000308325488941108,0.5411909904350509,1.049232807685279
2024,REJECT_DOWN_4H,LONG,3,15,0.0002,9723,-0.00012451915294613538,0.000108325488941108,0.5149645171243443,0.9234889325176523
2024,REJECT_DOWN_4H,LONG,3,15,0.0004,9723,-0.00032451915294613547,-9.167451105889201e-05,0.48596112311015116,0.8121242927797342
2024,REJECT_DOWN_4H,LONG,6,30,0.0,9723,0.00020448091987579201,0.0004107083567634895,0.5444821557132572,1.102095662591936
2024,REJECT_DOWN_4H,LONG,6,30,0.0002,9723,4.480919875792128e-06,0.00021070835676348948,0.5220610922554767,1.0021377405821705
2024,REJECT_DOWN_4H,LONG,6,30,0.0004,9723,-0.00019551908012420803,1.0708356763489471e-05,0.5008742157770235,0.9108799491059959
2024,REJECT_DOWN_4H,LONG,12,60,0.0,9723,0.000374215312075437,0.0007350587204502101,0.5596009462100174,1.1404803459947404
2024,REJECT_DOWN_4H,LONG,12,60,0.0002,9723,0.0001742153120754372,0.0005350587204502102,0.5434536665638178,1.0632705432931484
2024,REJECT_DOWN_4H,LONG,12,60,0.0004,9723,-2.5784687924562956e-05,0.0003350587204502101,0.5289519695567212,0.990940625077015
2024,REJECT_UP_1H,SHORT,1,5,0.0,24706,2.986552292260514e-06,4.910297242888273e-05,0.5141665992066704,1.0043635951309038
2024,REJECT_UP_1H,SHORT,1,5,0.0002,24706,-0.0001970134477077395,-0.00015089702757111728,0.4502954747834534,0.7499327630732188
2024,REJECT_UP_1H,SHORT,1,5,0.0004,24706,-0.0003970134477077396,-0.0003508970275711173,0.3933862219703716,0.5604861369880514
2024,REJECT_UP_1H,SHORT,3,15,0.0,24706,1.262973424859197e-05,9.369811826653862e-05,0.5165142070752045,1.0110051656543206
2024,REJECT_UP_1H,SHORT,3,15,0.0002,24706,-0.000187370265751408,-0.00010630188173346139,0.4794786691491945,0.8498493235181269
2024,REJECT_UP_1H,SHORT,3,15,0.0004,24706,-0.0003873702657514081,-0.0003063018817334614,0.4431312231846515,0.7142536760487691
2024,REJECT_UP_1H,SHORT,6,30,0.0,24706,1.000683659019604e-05,0.0001082264082856721,0.5147737391726706,1.0062167338628047
