event,side,horizon,minutes,cost,samples,mean_return,median_return,win_rate,profit_factor
REJECT_DOWN_1H,LONG,1,5,0.0,60903,6.5318804166665745e-06,6.158196682948258e-05,0.5175278721902041,1.009280127041032
REJECT_DOWN_1H,LONG,1,5,0.0002,60903,-0.00019346811958333347,-0.00013841803317051743,0.4541648194670213,0.7600983803737071
REJECT_DOWN_1H,LONG,1,5,0.0004,60903,-0.0003934681195833335,-0.00033841803317051744,0.3906704103246145,0.5732703051148361
REJECT_DOWN_1H,LONG,3,15,0.0,60902,2.0536885020812395e-05,0.00014860529263971411,0.5271912252471184,1.0170804414168497
REJECT_DOWN_1H,LONG,3,15,0.0002,60902,-0.00017946311497918756,-5.1394707360285895e-05,0.49075564020886014,0.8619966342060591
REJECT_DOWN_1H,LONG,3,15,0.0004,60902,-0.00037946311497918765,-0.0002513947073602859,0.4508883123706939,0.7301790789485976
REJECT_DOWN_1H,LONG,6,30,0.0,60901,5.687020600201665e-05,0.0002040516651189428,0.5262803566443901,1.03434232620023
REJECT_DOWN_1H,LONG,6,30,0.0002,60901,-0.00014312979399798325,4.051665118942784e-06,0.5005664931610319,0.9183633497746725
REJECT_DOWN_1H,LONG,6,30,0.0004,60901,-0.0003431297939979834,-0.00019594833488105723,0.4731120999655178,0.8151167674985466
REJECT_DOWN_1H,LONG,12,60,0.0,60901,8.144421097964576e-05,0.00027396702689408414,0.5275282836078226,1.0355571661055787
REJECT_DOWN_1H,LONG,12,60,0.0002,60901,-0.00011855578902035412,7.396702689408413e-05,0.5075450321012791,0.950332314701908
REJECT_DOWN_1H,LONG,12,60,0.0004,60901,-0.0003185557890203542,-0.00012603297310591588,0.4877916618774733,0.871935231595282
REJECT_DOWN_4H,LONG,1,5,0.0,25603,1.438121332446795e-06,0.00010524100189446273,0.5259149318439246,1.0016725749533963
REJECT_DOWN_4H,LONG,1,5,0.0002,25603,-0.00019856187866755323,-9.475899810553728e-05,0.47193688239659415,0.7931234355396564
REJECT_DOWN_4H,LONG,1,5,0.0004,25603,-0.0003985618786675532,-0.0002947589981055373,0.4174901378744678,0.6278374098373694
REJECT_DOWN_4H,LONG,3,15,0.0,25603,2.0301984508719558e-06,0.00023427433524658703,0.5375151349451236,1.0014100396413568
REJECT_DOWN_4H,LONG,3,15,0.0002,25603,-0.00019796980154912798,3.427433524658702e-05,0.5064250283169941,0.8710629508070385
REJECT_DOWN_4H,LONG,3,15,0.0004,25603,-0.0003979698015491281,-0.000165725664753413,0.47232746162559075,0.7569744775491495
REJECT_DOWN_4H,LONG,6,30,0.0,25603,6.569479516693583e-05,0.00033116237995356457,0.5369683240245283,1.0341049696834488
REJECT_DOWN_4H,LONG,6,30,0.0002,25603,-0.00013430520483306404,0.00013116237995356456,0.5159551615045112,0.9335427714080787
REJECT_DOWN_4H,LONG,6,30,0.0004,25603,-0.00033430520483306416,-6.883762004643545e-05,0.49189548099832053,0.8423241624279229
REJECT_DOWN_4H,LONG,12,60,0.0,25603,0.00013319862440265215,0.0004827253292878364,0.5432957075342734,1.0517005954254144
REJECT_DOWN_4H,LONG,12,60,0.0002,25603,-6.680137559734767e-05,0.0002827253292878364,0.5261102214584228,0.9749749667105815
REJECT_DOWN_4H,LONG,12,60,0.0004,25603,-0.00026680137559734776,8.272532928783638e-05,0.5076358239268836,0.9035427377649888
REJECT_UP_1H,SHORT,1,5,0.0,62242,4.23443859973761e-06,3.423267732183266e-05,0.5107323029465635,1.006714919250815
REJECT_UP_1H,SHORT,1,5,0.0002,62242,-0.00019576556140026244,-0.00016576732267816735,0.44026541563574434,0.7337841439872865
REJECT_UP_1H,SHORT,1,5,0.0004,62242,-0.0003957655614002624,-0.00036576732267816736,0.3742970984222872,0.536557345924122
REJECT_UP_1H,SHORT,3,15,0.0,62242,1.827130980541193e-05,8.336342534343011e-05,0.5161145207416215,1.0171291783880323
REJECT_UP_1H,SHORT,3,15,0.0002,62242,-0.00018172869019458804,-0.0001166365746565699,0.4759487163008901,0.8443205904958675
REJECT_UP_1H,SHORT,3,15,0.0004,62242,-0.00038172869019458813,-0.0003166365746565699,0.43399955014299024,0.7009297412883023
REJECT_UP_1H,SHORT,6,30,0.0,62242,3.197362421481126e-05,0.0001082222457291504,0.5148131486777417,1.0214713491744385
REJECT_UP_1H,SHORT,6,30,0.0002,62242,-0.00016802637578518866,-9.177775427084961e-05,0.4857652389062048,0.8942545512000032
REJECT_UP_1H,SHORT,6,30,0.0004,62242,-0.0003680263757851888,-0.0002917777542708496,0.45568908454098517,0.7828625743782159
REJECT_UP_1H,SHORT,12,60,0.0,62239,6.867170536285769e-05,0.00012258824651145694,0.5122993621362811,1.0324947247850524
REJECT_UP_1H,SHORT,12,60,0.0002,62239,-0.00013132829463714216,-7.741175348854307e-05,0.4920226867398255,0.940650527250485
REJECT_UP_1H,SHORT,12,60,0.0004,62239,-0.0003313282946371423,-0.0002774117534885431,0.4694323494914764,0.8569831932655979
REJECT_UP_4H,SHORT,1,5,0.0,26817,2.7004353621642474e-05,9.847251747885366e-05,0.5277622403699146,1.0381044729601256
REJECT_UP_4H,SHORT,1,5,0.0002,26817,-0.00017299564637835756,-0.00010152748252114635,0.46548830965432375,0.7861732076234814
REJECT_UP_4H,SHORT,1,5,0.0004,26817,-0.00037299564637835757,-0.00030152748252114636,0.40291606070776,0.5955605085863703
REJECT_UP_4H,SHORT,3,15,0.0,26817,2.5728758613087948e-05,0.00019002807045076509,0.535108326807622,1.021733932550617
REJECT_UP_4H,SHORT,3,15,0.0002,26817,-0.00017427124138691202,-9.971929549234924e-06,0.4983406048402133,0.86388851931685
REJECT_UP_4H,SHORT,3,15,0.0004,26817,-0.00037427124138691205,-0.00020997192954923493,0.4606033486221427,0.7296766448389732
REJECT_UP_4H,SHORT,6,30,0.0,26817,2.5770538296091894e-05,0.0002487662461059248,0.5356676734906962,1.0157478026995082
REJECT_UP_4H,SHORT,6,30,0.0002,26817,-0.00017422946170390804,4.8766246105924784e-05,0.5076630495581161,0.8994095049654215
REJECT_UP_4H,SHORT,6,30,0.0004,26817,-0.00037422946170390814,-0.00015123375389407523,0.47865160159600256,0.7958865375817141
REJECT_UP_4H,SHORT,12,60,0.0,26817,8.951340563892387e-05,0.00034163148243138153,0.5352947757019801,1.0399724166794309
REJECT_UP_4H,SHORT,12,60,0.0002,26817,-0.00011048659436107593,0.00014163148243138152,0.5154566133422829,0.9526675606776897
REJECT_UP_4H,SHORT,12,60,0.0004,26817,-0.00031048659436107615,-5.836851756861849e-05,0.49435059850095087,0.8724026355890322
