strategy,side,horizon,samples,win_rate,mean_return,median_return,profit_factor,best_trade,worst_trade
SHORT_SCORE_4_ADX_VOLUME,SHORT,1,277,27.436823104693143,-0.06383009454533344,-0.0817808328955482,0.44241031344267256,0.9725866432487429,-0.6625093301527363
SHORT_EMA_MACD_ADX_VOLUME,SHORT,1,280,27.142857142857142,-0.06445096312461732,-0.08271173733241703,0.4373712573200636,0.9725866432487429,-0.6625093301527363
SHORT_EMA_MACD_ADX,SHORT,1,1017,21.92723697148476,-0.07152402339266069,-0.08652846243643923,0.31398275384432217,0.9725866432487429,-1.2006888529766702
SHORT_EMA_MACD_VOLUME,SHORT,1,584,22.26027397260274,-0.07935368200917184,-0.09102558331280701,0.297301355240785,0.9725866432487429,-0.6677409865366446
SHORT_SCORE_4,SHORT,1,2126,17.826904985888994,-0.07876041185778793,-0.08556472046430723,0.21184771055960921,0.9725866432487429,-1.2006888529766702
SHORT_EMA_MACD,SHORT,1,2262,17.771883289124666,-0.07946481456427186,-0.08503768442374209,0.20421039386491366,0.9725866432487429,-1.2006888529766702
LONG_EMA_MACD_VOLUME,LONG,1,495,17.77777777777778,-0.0848681693980455,-0.09161864479680697,0.1974908227269017,0.8034881196478239,-0.6751703626355776
SHORT_EMA,SHORT,1,3746,16.978109983982915,-0.07892302259308426,-0.08260911173425305,0.19134943329389092,1.4091365616483298,-1.2006888529766702
LONG_EMA_MACD_ADX,LONG,1,831,19.253910950661854,-0.08434847985369816,-0.08703530251801032,0.17052135286886824,0.559613310596454,-0.9360750715474686
LONG_SCORE_4,LONG,1,1992,16.365461847389557,-0.08270286778902905,-0.08687159261733017,0.15865179240608793,0.8034881196478239,-0.9360750715474686
LONG_SCORE_4_ADX_VOLUME,LONG,1,212,20.754716981132077,-0.08500359151363936,-0.08779826269169393,0.1577423768749487,0.27182098714501285,-0.4971134439375557
LONG_EMA_MACD_ADX_VOLUME,LONG,1,214,20.5607476635514,-0.08519788533916728,-0.08779826269169393,0.1561977145855444,0.27182098714501285,-0.4971134439375557
LONG_EMA_MACD,LONG,1,2137,15.86335985025737,-0.08260194158888003,-0.08602228903922031,0.1557604537909407,0.8034881196478239,-0.9360750715474686
LONG_EMA,LONG,1,3546,15.172024816694869,-0.08144386281837415,-0.08427240796782025,0.14298512419348783,0.8569640337611117,-0.9360750715474686
SHORT_SCORE_4_ADX_VOLUME,SHORT,3,277,30.324909747292416,-0.04390111192612743,-0.11607442901436552,0.7140314429918533,1.8867976145676837,-1.282871156143437
SHORT_EMA_MACD_ADX_VOLUME,SHORT,3,280,30.0,-0.04413403940008995,-0.11523030478352339,0.7107401212932627,1.8867976145676837,-1.282871156143437
SHORT_EMA_MACD_ADX,SHORT,3,1017,30.678466076696164,-0.04797143163169096,-0.09524851931619109,0.6235003768034664,2.04810333156479,-1.282871156143437
SHORT_EMA_MACD_VOLUME,SHORT,3,584,27.22602739726027,-0.07067895410195346,-0.10295927664465179,0.5153954331684742,1.8867976145676837,-1.3923596406801497
SHORT_SCORE_4,SHORT,3,2126,25.305738476011292,-0.0742992196131552,-0.09136549855439983,0.40851395886790476,2.04810333156479,-1.7809889442873736
SHORT_EMA_MACD,SHORT,3,2262,25.59681697612732,-0.07418521011235744,-0.08922606191332554,0.4043067555358611,2.04810333156479,-1.7809889442873736
SHORT_EMA,SHORT,3,3746,24.959957287773626,-0.07598069868867655,-0.08870849851578037,0.38028315282637665,2.04810333156479,-1.7809889442873736
LONG_EMA_MACD_ADX,LONG,3,829,25.934861278648974,-0.08870860039918461,-0.09951086159743819,0.33379189458925645,0.7834017474319799,-1.2315225511210093
LONG_SCORE_4,LONG,3,1990,23.71859296482412,-0.08848580018473742,-0.09459642379441628,0.29847507782631955,1.3275664136879106,-1.2315225511210093
LONG_EMA_MACD,LONG,3,2135,23.278688524590162,-0.08883221633878549,-0.09303012166599116,0.2921381780730465,1.3275664136879106,-1.2315225511210093
LONG_EMA,LONG,3,3544,23.702031602708804,-0.08454857943205024,-0.08974313481297284,0.29133975035316184,1.3275664136879106,-1.2315225511210093
LONG_EMA_MACD_VOLUME,LONG,3,495,20.80808080808081,-0.10814611012086293,-0.10788393174547597,0.2593404487758997,1.050706154635619,-1.1400659373293909
LONG_EMA_MACD_ADX_VOLUME,LONG,3,214,21.02803738317757,-0.10990323964209453,-0.11677201708916499,0.2486021561212359,0.589555028274793,-0.7174629020176493
LONG_SCORE_4_ADX_VOLUME,LONG,3,212,20.754716981132077,-0.11144085198567633,-0.11677201708916499,0.24120357143628843,0.589555028274793,-0.7174629020176493
SHORT_SCORE_4_ADX_VOLUME,SHORT,6,277,32.12996389891697,-0.00022226147541035986,-0.12604643313376176,0.9987365006721933,2.6666234315852932,-1.2516944976121858
SHORT_EMA_MACD_ADX_VOLUME,SHORT,6,280,31.785714285714285,-0.0030340856820853684,-0.12653261294325083,0.982842658277404,2.6666234315852932,-1.2516944976121858
