hypothesis,minutes,year,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
BUY_CONTINUE_LONG,5,2024,0.0,94931,1.6440909436101919e-06,-2.0183508459004074e-05,-1.4702214670583702e-05,-8.233486652368403e-06,0.490924987622589,1.002538676439449,-0.001973556622822503,0.001961869309321518
BUY_CONTINUE_LONG,5,2024,0.0004,94931,-0.0003983559090563899,-0.0004201835084590041,-0.00041470221467058375,-0.0004082334866523684,0.3639064162391632,0.5456127195096249,-0.0023735566228225034,0.0015618693093215179
BUY_CONTINUE_LONG,5,2024,0.0006,94931,-0.0005983559090563896,-0.000620183508459004,-0.0006147022146705835,-0.0006082334866523683,0.3083186735629036,0.4073639145491155,-0.002573556622822503,0.001361869309321518
BUY_CONTINUE_LONG,5,2025,0.0,97262,-6.201039152847076e-06,-2.977918996677209e-05,-2.714468380120035e-05,-2.5088396889936925e-05,0.48511237687894554,0.9898839446735078,-0.0018685558098816336,0.0018213882166268976
BUY_CONTINUE_LONG,5,2025,0.0004,97262,-0.0004062010391528471,-0.0004297791899667721,-0.00042714468380120036,-0.00042508839688993694,0.34808044251609055,0.5202489479210115,-0.0022685558098816338,0.0014213882166268976
BUY_CONTINUE_LONG,5,2025,0.0006,97262,-0.0006062010391528469,-0.000629779189966772,-0.0006271446838012003,-0.0006250883968899367,0.29175834344348256,0.38325099416975444,-0.0024685558098816334,0.0012213882166268977
BUY_CONTINUE_LONG,5,2026,0.0,57270,-2.134530414027772e-05,-3.169501668282004e-05,-3.8460221528506606e-05,-3.629894979209999e-05,0.4760258425004365,0.9590998028737705,-0.0015487803393384402,0.001485155061637644
BUY_CONTINUE_LONG,5,2026,0.0004,57270,-0.00042134530414027774,-0.00043169501668282006,-0.00043846022152850664,-0.00043629894979210006,0.31162912519643793,0.44929769759037025,-0.0019487803393384402,0.001085155061637644
BUY_CONTINUE_LONG,5,2026,0.0006,57270,-0.0006213453041402776,-0.00063169501668282,-0.0006384602215285066,-0.0006362989497920999,0.251265933298411,0.31635283284998394,-0.00214878033933844,0.0008851550616376441
BUY_CONTINUE_LONG,15,2024,0.0,94931,3.758636824785004e-07,-3.9143539358743595e-05,-3.573007840978299e-05,-2.7371331683511815e-05,0.4911356669581064,1.0003378208934495,-0.0034081626904769458,0.0033140443360748506
