hypothesis,minutes,year,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
BUY_ABSORPTION_SHORT,5,2024,0.0,144,4.879138794661829e-05,-2.7478865180841083e-05,1.903176800905327e-05,3.8923889161249335e-05,0.4791666666666667,1.106774384351123,-0.0013452461116985799,0.0016894302008625402
BUY_ABSORPTION_SHORT,5,2024,0.0004,144,-0.0003512086120533817,-0.0004274788651808411,-0.00038096823199094666,-0.00036107611083875066,0.3125,0.5014344258262606,-0.0017452461116985798,0.0012894302008625402
BUY_ABSORPTION_SHORT,5,2024,0.0006,144,-0.0005512086120533816,-0.000627478865180841,-0.0005809682319909466,-0.0005610761108387507,0.2916666666666667,0.3478244746689309,-0.00194524611169858,0.00108943020086254
BUY_ABSORPTION_SHORT,5,2025,0.0,159,-0.00026110277226332304,-0.0002007840452389,-0.0002252095293268564,-0.0002358425951197129,0.4025157232704403,0.5718884516246575,-0.00195687486642942,0.0011951346150140606
BUY_ABSORPTION_SHORT,5,2025,0.0004,159,-0.0006611027722633231,-0.0006007840452389,-0.0006252095293268563,-0.0006358425951197129,0.2893081761006289,0.24271787373689818,-0.00235687486642942,0.0007951346150140607
BUY_ABSORPTION_SHORT,5,2025,0.0006,159,-0.000861102772263323,-0.0008007840452389,-0.0008252095293268563,-0.0008358425951197129,0.22641509433962265,0.15713486011155448,-0.00255687486642942,0.0005951346150140607
BUY_ABSORPTION_SHORT,5,2026,0.0,146,0.0001343263974212141,0.0,2.609150822037779e-05,3.447074973300177e-05,0.4931506849315068,1.353024967216102,-0.0011965583315638,0.00136917205407785
BUY_ABSORPTION_SHORT,5,2026,0.0004,146,-0.0002656736025787859,-0.0004,-0.0003739084917796223,-0.0003655292502669982,0.3424657534246575,0.568347977998974,-0.0015965583315638,0.00096917205407785
BUY_ABSORPTION_SHORT,5,2026,0.0006,146,-0.00046567360257878586,-0.0006,-0.0005739084917796223,-0.0005655292502669983,0.273972602739726,0.3809179521434513,-0.0017965583315638,0.00076917205407785
BUY_ABSORPTION_SHORT,15,2024,0.0,144,-0.00010087036116615882,-0.00027288147658675,-0.00010912934407064282,-0.00011200881453796312,0.4375,0.881976641401275,-0.00244008127585413,0.002204372435489931
BUY_ABSORPTION_SHORT,15,2024,0.0004,144,-0.0005008703611661588,-0.0006728814765867501,-0.0005091293440706429,-0.0005120088145379631,0.3680555555555556,0.5428313570295709,-0.0028400812758541303,0.001804372435489931
BUY_ABSORPTION_SHORT,15,2024,0.0006,144,-0.0007008703611661588,-0.0008728814765867499,-0.0007091293440706427,-0.000712008814537963,0.3333333333333333,0.42789410531859673,-0.00304008127585413,0.0016043724354899312
BUY_ABSORPTION_SHORT,15,2025,0.0,159,-0.00025228096688533917,-0.0001632573268224,-0.0003015831120971328,-0.00027475473037817883,0.4339622641509434,0.737610930691174,-0.00262196436747404,0.0022317035235858607
BUY_ABSORPTION_SHORT,15,2025,0.0004,159,-0.0006522809668853392,-0.0005632573268224,-0.0007015831120971326,-0.0006747547303781789,0.36477987421383645,0.45668545209612504,-0.00302196436747404,0.0018317035235858605
BUY_ABSORPTION_SHORT,15,2025,0.0006,159,-0.0008522809668853392,-0.0007632573268223999,-0.0009015831120971325,-0.0008747547303781786,0.3333333333333333,0.3592621921966278,-0.00322196436747404,0.0016317035235858606
BUY_ABSORPTION_SHORT,15,2026,0.0,146,0.00015091341607281005,-3.8104169879704664e-05,2.1465684684578526e-05,6.998222105275593e-05,0.4794520547945205,1.2396800874986251,-0.0017633675634227,0.0021701027755899
BUY_ABSORPTION_SHORT,15,2026,0.0004,146,-0.00024908658392719006,-0.0004381041698797047,-0.00037853431531542154,-0.0003300177789472441,0.3561643835616438,0.7120548276312645,-0.0021633675634227002,0.0017701027755899002
BUY_ABSORPTION_SHORT,15,2026,0.0006,146,-0.0004490865839271899,-0.0006381041698797046,-0.0005785343153154212,-0.000530017778947244,0.3150684931506849,0.5496503953572728,-0.0023633675634227,0.0015701027755899003
BUY_ABSORPTION_SHORT,30,2024,0.0,144,-0.00035038678902581826,-0.00014773296699475,-0.00014023720035976947,-0.00016586945631422476,0.4513888888888889,0.7568825665649311,-0.00402193670378206,0.00366625684870135
BUY_ABSORPTION_SHORT,30,2024,0.0004,144,-0.0007503867890258183,-0.00054773296699475,-0.0005402372003597696,-0.0005658694563142248,0.3888888888888889,0.5510350840350273,-0.00442193670378206,0.00326625684870135
BUY_ABSORPTION_SHORT,30,2024,0.0006,144,-0.0009503867890258181,-0.00074773296699475,-0.0007402372003597695,-0.0007658694563142247,0.3680555555555556,0.4707291204388364,-0.00462193670378206,0.0030662568487013504
BUY_ABSORPTION_SHORT,30,2025,0.0,159,-0.00018307721376509967,-0.000256020754749,-0.0001212943003120786,-9.085012943981062e-05,0.4591194968553459,0.8682729200580925,-0.00362923566362558,0.004856634428212201
BUY_ABSORPTION_SHORT,30,2025,0.0004,159,-0.0005830772137650997,-0.0006560207547490001,-0.0005212943003120789,-0.0004908501294398108,0.41509433962264153,0.6383741312040454,-0.00402923566362558,0.004456634428212201
BUY_ABSORPTION_SHORT,30,2025,0.0006,159,-0.0007830772137650996,-0.0008560207547489999,-0.0007212943003120787,-0.0006908501294398106,0.34591194968553457,0.5488494105673052,-0.00422923566362558,0.004256634428212201
BUY_ABSORPTION_SHORT,30,2026,0.0,146,0.0005407860656850777,-0.00016722165207299998,0.0002157238661057951,0.00032821157263597777,0.4657534246575342,1.650509250211619,-0.00260718085216055,0.00355097008042305
BUY_ABSORPTION_SHORT,30,2026,0.0004,146,0.00014078606568507777,-0.0005672216520730001,-0.000184276133894205,-7.178842736402227e-05,0.3904109589041096,1.132496156401959,-0.0030071808521605504,0.0031509700804230496
BUY_ABSORPTION_SHORT,30,2026,0.0006,146,-5.921393431492214e-05,-0.000767221652073,-0.0003842761338942049,-0.0002717884273640222,0.3561643835616438,0.9501957709148874,-0.00320718085216055,0.00295097008042305
BUY_ABSORPTION_SHORT,60,2024,0.0,144,-0.0007051422360040654,-0.00029035777273525,-0.0005946485731622516,-0.0005393214369810571,0.4652777777777778,0.6768276435469128,-0.00685254916024152,0.004833809216786832
BUY_ABSORPTION_SHORT,60,2024,0.0004,144,-0.0011051422360040654,-0.0006903577727352501,-0.0009946485731622515,-0.0009393214369810571,0.4027777777777778,0.5409844153836418,-0.00725254916024152,0.004433809216786832
BUY_ABSORPTION_SHORT,60,2024,0.0006,144,-0.0013051422360040655,-0.00089035777273525,-0.001194648573162252,-0.001139321436981057,0.3888888888888889,0.4840506039063257,-0.00745254916024152,0.004233809216786832
BUY_ABSORPTION_SHORT,60,2025,0.0,159,-6.750433384155471e-05,-4.694316189013392e-05,4.2810860027528524e-06,2.2931673461432774e-05,0.48427672955974843,0.9564949531323758,-0.004579171255089141,0.004278183725529161
BUY_ABSORPTION_SHORT,60,2025,0.0004,159,-0.000467504333841555,-0.00044694316189013394,-0.00039571891399724733,-0.0003770683265385672,0.4339622641509434,0.7349966565045783,-0.00497917125508914,0.00387818372552916
BUY_ABSORPTION_SHORT,60,2025,0.0006,159,-0.0006675043338415547,-0.0006469431618901339,-0.0005957189139972469,-0.000577068326538567,0.389937106918239,0.6451436355001707,-0.0051791712550891406,0.0036781837255291604
BUY_ABSORPTION_SHORT,60,2026,0.0,146,0.0006291066038447899,0.00019261609007545,0.00019595439299373443,0.00033522803793469,0.5205479452054794,1.440549123260536,-0.00442554998704185,0.0055105103207897
BUY_ABSORPTION_SHORT,60,2026,0.0004,146,0.00022910660384478984,-0.00020738390992455002,-0.0002040456070062659,-6.47719620653102e-05,0.4246575342465753,1.1404738103804757,-0.00482554998704185,0.0051105103207897
BUY_ABSORPTION_SHORT,60,2026,0.0006,146,2.9106603844790012e-05,-0.00040738390992454997,-0.0004040456070062655,-0.00026477196206531,0.3972602739726027,1.016645603654315,-0.00502554998704185,0.0049105103207897
SELL_ABSORPTION_LONG,5,2024,0.0,139,-0.00011298865205257801,8.759635599164817e-05,2.3473091196023285e-05,-5.801982199020568e-06,0.5251798561151079,0.7967203780983233,-0.00152037727023654,0.0013179535308321202
SELL_ABSORPTION_LONG,5,2024,0.0004,139,-0.000512988652052578,-0.00031240364400835185,-0.0003765269088039767,-0.00040580198219902053,0.4028776978417266,0.33338134436762173,-0.00192037727023654,0.0009179535308321203
SELL_ABSORPTION_LONG,5,2024,0.0006,139,-0.0007129886520525779,-0.0005124036440083518,-0.0005765269088039766,-0.0006058019821990205,0.302158273381295,0.20941128233393722,-0.00212037727023654,0.0007179535308321204
SELL_ABSORPTION_LONG,5,2025,0.0,167,1.7589414194903992e-05,3.016800225252858e-05,2.323127038072699e-05,1.2446145310820318e-05,0.5029940119760479,1.0452405165145284,-0.00134766055363608,0.0012986565760023407
SELL_ABSORPTION_LONG,5,2025,0.0004,167,-0.0003824105858050961,-0.00036983199774747144,-0.0003767687296192731,-0.0003875538546891798,0.2874251497005988,0.398483244372146,-0.00174766055363608,0.0008986565760023408
SELL_ABSORPTION_LONG,5,2025,0.0006,167,-0.000582410585805096,-0.0005698319977474714,-0.000576768729619273,-0.0005875538546891797,0.25748502994011974,0.2541814234286811,-0.00194766055363608,0.0006986565760023408
SELL_ABSORPTION_LONG,5,2026,0.0,169,7.276272586888925e-05,6.221217825097547e-05,3.4071912481878305e-05,5.255325285692807e-05,0.5443786982248521,1.2078256272498265,-0.00123726808779326,0.0010201753207006213
SELL_ABSORPTION_LONG,5,2026,0.0004,169,-0.00032723727413111074,-0.00033778782174902455,-0.00036592808751812167,-0.00034744674714307186,0.30177514792899407,0.43791690677607614,-0.00163726808779326,0.0006201753207006213
SELL_ABSORPTION_LONG,5,2026,0.0006,169,-0.0005272372741311108,-0.0005377878217490245,-0.0005659280875181216,-0.0005474467471430718,0.21893491124260356,0.27738072528462077,-0.0018372680877932598,0.0004201753207006213
SELL_ABSORPTION_LONG,15,2024,0.0,139,-0.00011964161489642057,6.367398917528355e-05,-2.4382102496380684e-05,-3.5662560636049925e-05,0.5323741007194245,0.8465254283143258,-0.0020853195767722597,0.00202520858681886
SELL_ABSORPTION_LONG,15,2024,0.0004,139,-0.0005196416148964205,-0.00033632601082471647,-0.00042438210249638085,-0.00043566256063605,0.41007194244604317,0.47674130595731246,-0.00248531957677226,0.0016252085868188602
SELL_ABSORPTION_LONG,15,2024,0.0006,139,-0.0007196416148964205,-0.0005363260108247164,-0.0006243821024963805,-0.0006356625606360498,0.35251798561151076,0.35519673609886143,-0.0026853195767722595,0.0014252085868188603
SELL_ABSORPTION_LONG,15,2025,0.0,167,0.00025076759205815846,0.0001918141047305,0.00022783414809941755,0.0002309280317134928,0.5688622754491018,1.384120220091659,-0.00215370889239556,0.0027937588936600005
SELL_ABSORPTION_LONG,15,2025,0.0004,167,-0.0001492324079418416,-0.00020818589526950003,-0.00017216585190058241,-0.00016907196828650728,0.4311377245508982,0.8247442122478167,-0.0025537088923955602,0.0023937588936600003
SELL_ABSORPTION_LONG,15,2025,0.0006,167,-0.00034923240794184143,-0.00040818589526949996,-0.00037216585190058234,-0.0003690719682865072,0.3772455089820359,0.6404285700646549,-0.00275370889239556,0.0021937588936600007
SELL_ABSORPTION_LONG,15,2026,0.0,169,1.6987758129019427e-05,-1.7312120215384752e-05,3.665701809072376e-06,1.7231923729088525e-05,0.48520710059171596,1.0273236363027016,-0.00165141692863682,0.0018578755511047002
SELL_ABSORPTION_LONG,15,2026,0.0004,169,-0.0003830122418709806,-0.00041731212021538477,-0.00039633429819092755,-0.0003827680762709115,0.3668639053254438,0.5516302557664668,-0.00205141692863682,0.0014578755511047003
SELL_ABSORPTION_LONG,15,2026,0.0006,169,-0.0005830122418709805,-0.0006173121202153847,-0.0005963342981909275,-0.0005827680762709115,0.3076923076923077,0.40833745942144045,-0.00225141692863682,0.0012578755511047004
SELL_ABSORPTION_LONG,30,2024,0.0,139,7.385175355312655e-05,-5.091353427211232e-05,0.00011688020716647387,0.00018853404619070832,0.48201438848920863,1.0777512950026298,-0.0030429885740997802,0.0031173570240925
SELL_ABSORPTION_LONG,30,2024,0.0004,139,-0.00032614824644687355,-0.00045091353427211233,-0.0002831197928335261,-0.00021146595380929178,0.4172661870503597,0.7220424556850523,-0.0034429885740997804,0.0027173570240925
SELL_ABSORPTION_LONG,30,2024,0.0006,139,-0.0005261482464468734,-0.0006509135342721123,-0.0004831197928335261,-0.0004114659538092917,0.3669064748201439,0.5938067568780013,-0.00364298857409978,0.0025173570240925
SELL_ABSORPTION_LONG,30,2025,0.0,167,0.0003465294726717784,0.0001405846157174,0.0002672529817123742,0.00025923157125037167,0.5389221556886228,1.3944778552727493,-0.003214185833663579,0.0032422626726984604
SELL_ABSORPTION_LONG,30,2025,0.0004,167,-5.347052732822181e-05,-0.0002594153842826,-0.00013274701828762576,-0.00014076842874962843,0.4431137724550898,0.9506368587365694,-0.0036141858336635794,0.0028422626726984602
SELL_ABSORPTION_LONG,30,2025,0.0006,167,-0.0002534705273282216,-0.00045941538428259995,-0.00033274701828762607,-0.0003407684287496282,0.40718562874251496,0.7887072143631342,-0.0038141858336635795,0.0026422626726984606
SELL_ABSORPTION_LONG,30,2026,0.0,169,-5.3972057599504624e-05,0.0001602055127558,1.2553018257074707e-05,4.0085778275299485e-05,0.5207100591715976,0.9446396295864954,-0.0027631428236332,0.0027312853772139822
SELL_ABSORPTION_LONG,30,2026,0.0004,169,-0.00045397205759950467,-0.00023979448724420003,-0.0003874469817429254,-0.0003599142217247006,0.44970414201183434,0.6151623170623624,-0.0031631428236332,0.002331285377213982
SELL_ABSORPTION_LONG,30,2026,0.0006,169,-0.0006539720575995045,-0.00043979448724419993,-0.0005874469817429252,-0.0005599142217247006,0.39644970414201186,0.49545519012506045,-0.0033631428236332,0.0021312853772139824
SELL_ABSORPTION_LONG,60,2024,0.0,139,-6.47410388685208e-05,-0.0003094038594767,-0.00014847862347743633,-0.00013513098450145105,0.4244604316546763,0.9547495090055899,-0.00462641293743608,0.0047394243167057405
SELL_ABSORPTION_LONG,60,2024,0.0004,139,-0.00046474103886852105,-0.0007094038594767,-0.0005484786234774365,-0.0005351309845014514,0.381294964028777,0.721208033800727,-0.00502641293743608,0.00433942431670574
SELL_ABSORPTION_LONG,60,2024,0.0006,139,-0.0006647410388685208,-0.0009094038594766999,-0.0007484786234774361,-0.000735130984501451,0.3597122302158273,0.6292252546308886,-0.00522641293743608,0.004139424316705741
SELL_ABSORPTION_LONG,60,2025,0.0,167,0.00039414328975563887,0.0003100481121718,0.0003029616100485235,0.0003861917837430985,0.5389221556886228,1.2945668830787147,-0.0044908523028395,0.005487817838050941
SELL_ABSORPTION_LONG,60,2025,0.0004,167,-5.856710244360979e-06,-8.995188782820002e-05,-9.703838995147691e-05,-1.380821625690168e-05,0.48502994011976047,0.9961806238659641,-0.0048908523028395,0.005087817838050941
SELL_ABSORPTION_LONG,60,2025,0.0006,167,-0.00020585671024436089,-0.00028995188782819994,-0.0002970383899514768,-0.0002138082162569014,0.46706586826347307,0.8743818322517112,-0.0050908523028395,0.004887817838050941
SELL_ABSORPTION_LONG,60,2026,0.0,169,-0.00014894961816664298,0.0001641092967916,-0.00016963683198285232,-0.00015869158663198884,0.514792899408284,0.8813227287667623,-0.0036680062973115197,0.003244197418954741
SELL_ABSORPTION_LONG,60,2026,0.0004,169,-0.0005489496181666431,-0.00023589070320840003,-0.0005696368319828523,-0.0005586915866319889,0.42011834319526625,0.6248653182514895,-0.00406800629731152,0.002844197418954741
SELL_ABSORPTION_LONG,60,2026,0.0006,169,-0.0007489496181666428,-0.00043589070320839996,-0.0007696368319828519,-0.0007586915866319889,0.3727810650887574,0.527161206541747,-0.0042680062973115196,0.002644197418954741
