hypothesis,state,side,horizon_bars,minutes,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
BUY_ABSORPTION_SHORT,BUY_ABSORPTION,SHORT,1,5,0.0,449,-3.313524922507364e-05,-6.475425759244757e-05,-5.969033061391056e-05,-5.795776474494865e-05,0.45657015590200445,0.9318561602354616,-0.0014886654902773599,0.0014303195311208
BUY_ABSORPTION_SHORT,BUY_ABSORPTION,SHORT,1,5,0.0004,449,-0.00043313524922507376,-0.0004647542575924476,-0.00045969033061391056,-0.0004579577647449487,0.31403118040089084,0.41086165932012914,-0.0018886654902773598,0.0010303195311208
BUY_ABSORPTION_SHORT,BUY_ABSORPTION,SHORT,1,5,0.0006,449,-0.0006331352492250736,-0.0006647542575924475,-0.0006596903306139105,-0.0006579577647449487,0.26280623608017817,0.2784246319654533,-0.00208866549027736,0.0008303195311207999
BUY_ABSORPTION_SHORT,BUY_ABSORPTION,SHORT,3,15,0.0,449,-7.26161403030413e-05,-0.0001572458460887,-0.00013349642306740198,-0.00011561156963865835,0.44988864142538976,0.9113702286058109,-0.00235248958723248,0.00222716072968814
BUY_ABSORPTION_SHORT,BUY_ABSORPTION,SHORT,3,15,0.0004,449,-0.00047261614030304135,-0.0005572458460887,-0.000533496423067402,-0.0005156115696386584,0.36302895322939865,0.5532074631005888,-0.00275248958723248,0.00182716072968814
BUY_ABSORPTION_SHORT,BUY_ABSORPTION,SHORT,3,15,0.0006,449,-0.0006726161403030412,-0.0007572458460886999,-0.0007334964230674021,-0.0007156115696386583,0.3273942093541203,0.43391341641938724,-0.0029524895872324796,0.00162716072968814
BUY_ABSORPTION_SHORT,BUY_ABSORPTION,SHORT,6,30,0.0,449,-1.359040129949466e-06,-0.000188294904055,-7.490300584183726e-06,3.26650488621701e-05,0.45879732739420936,0.9988903107943485,-0.0034864842593025397,0.003990059306607939
BUY_ABSORPTION_SHORT,BUY_ABSORPTION,SHORT,6,30,0.0004,449,-0.0004013590401299496,-0.000588294904055,-0.00040749030058418367,-0.00036733495113783,0.3986636971046771,0.7236803077539359,-0.00388648425930254,0.0035900593066079396
BUY_ABSORPTION_SHORT,BUY_ABSORPTION,SHORT,6,30,0.0006,449,-0.0006013590401299494,-0.000788294904055,-0.0006074903005841838,-0.0005673349511378298,0.35634743875278396,0.6187050430103926,-0.00408648425930254,0.00339005930660794
BUY_ABSORPTION_SHORT,BUY_ABSORPTION,SHORT,12,60,0.0,449,-4.548798865045282e-05,-4.694316189013392e-05,-0.00012463777742376377,-8.912051772542982e-05,0.48997772828507796,0.9734544777931995,-0.0050500425867594,0.005070959345233038
BUY_ABSORPTION_SHORT,BUY_ABSORPTION,SHORT,12,60,0.0004,449,-0.00044548798865045284,-0.00044694316189013394,-0.0005246377774237635,-0.0004891205177254299,0.4209354120267261,0.768843279577886,-0.0054500425867594,0.004670959345233038
BUY_ABSORPTION_SHORT,BUY_ABSORPTION,SHORT,12,60,0.0006,449,-0.0006454879886504527,-0.0006469431618901339,-0.0007246377774237633,-0.0006891205177254297,0.39198218262806234,0.684509372187681,-0.0056500425867594,0.004470959345233038
SELL_ABSORPTION_LONG,SELL_ABSORPTION,LONG,1,5,0.0,475,-9.917679850886227e-07,6.221217825097547e-05,2.9072499351120768e-05,1.7146879947928445e-05,0.5242105263157895,0.9976604453408316,-0.00140098204614332,0.001203121162087
SELL_ABSORPTION_LONG,SELL_ABSORPTION,LONG,1,5,0.0004,475,-0.0004009917679850886,-0.00033778782174902455,-0.00037092750064887935,-0.00038285312005207153,0.3263157894736842,0.38858412530458825,-0.0018009820461433199,0.000803121162087
SELL_ABSORPTION_LONG,SELL_ABSORPTION,LONG,1,5,0.0006,475,-0.0006009917679850885,-0.0005377878217490245,-0.0005709275006488793,-0.0005828531200520715,0.25684210526315787,0.2469226033633092,-0.00200098204614332,0.000603121162087
SELL_ABSORPTION_LONG,SELL_ABSORPTION,LONG,3,15,0.0,475,5.9197756898766925e-05,7.17463050652345e-05,7.337541540209989e-05,6.926760972810493e-05,0.5284210526315789,1.0872032292091756,-0.00208213706814964,0.0023458984461122412
SELL_ABSORPTION_LONG,SELL_ABSORPTION,LONG,3,15,0.0004,475,-0.0003408022431012331,-0.0003282536949347655,-0.0003266245845979,-0.0003307323902718951,0.40210526315789474,0.618750863128359,-0.00248213706814964,0.0019458984461122413
SELL_ABSORPTION_LONG,SELL_ABSORPTION,LONG,3,15,0.0006,475,-0.0005408022431012329,-0.0005282536949347655,-0.0005266245845979001,-0.000530732390271895,0.3452631578947368,0.46910061381216966,-0.00268213706814964,0.0017458984461122414
SELL_ABSORPTION_LONG,SELL_ABSORPTION,LONG,6,30,0.0,475,0.00012424113251737948,7.129127448934902e-05,0.00012945693927573704,0.00014816985238289893,0.5157894736842106,1.133067943632069,-0.0029290699395097797,0.003134609744137901
SELL_ABSORPTION_LONG,SELL_ABSORPTION,LONG,6,30,0.0004,475,-0.00027575886748262043,-0.000328708725510651,-0.0002705430607242633,-0.0002518301476171011,0.4378947368421053,0.758931982079759,-0.00332906993950978,0.002734609744137901
SELL_ABSORPTION_LONG,SELL_ABSORPTION,LONG,6,30,0.0006,475,-0.0004757588674826204,-0.0005287087255106509,-0.00047054306072426315,-0.00045183014761710096,0.391578947368421,0.6230034298414291,-0.0035290699395097796,0.002534609744137901
SELL_ABSORPTION_LONG,SELL_ABSORPTION,LONG,12,60,0.0,475,6.66325042448519e-05,0.0,-1.00355011561723e-05,3.373750378433272e-05,0.4968421052631579,1.0498877686026389,-0.00424629869985946,0.004373985076042401
SELL_ABSORPTION_LONG,SELL_ABSORPTION,LONG,12,60,0.0004,475,-0.00033336749575514825,-0.0004,-0.0004100355011561726,-0.0003662624962156674,0.43157894736842106,0.7845865997641744,-0.00464629869985946,0.003973985076042401
SELL_ABSORPTION_LONG,SELL_ABSORPTION,LONG,12,60,0.0006,475,-0.0005333674957551481,-0.0006,-0.0006100355011561723,-0.0005662624962156671,0.40210526315789474,0.6795326290923692,-0.00484629869985946,0.003773985076042401
BUY_CONFIRMED_LONG,BUY_CONFIRMED,LONG,1,5,0.0,11431,3.852595685231378e-05,0.0,1.0636797218776606e-05,1.397450375111064e-05,0.49278278365847256,1.0836369951358427,-0.0014179092849685,0.0014733490695504
BUY_CONFIRMED_LONG,BUY_CONFIRMED,LONG,1,5,0.0004,11431,-0.0003614740431476862,-0.0004,-0.00038936320278122345,-0.0003860254962488894,0.3251684017146356,0.481473552014692,-0.0018179092849685,0.0010733490695504
BUY_CONFIRMED_LONG,BUY_CONFIRMED,LONG,1,5,0.0006,11431,-0.0005614740431476861,-0.0006,-0.0005893632027812232,-0.0005860254962488893,0.25807016009098066,0.3310098270184389,-0.0020179092849684998,0.0008733490695504001
BUY_CONFIRMED_LONG,BUY_CONFIRMED,LONG,3,15,0.0,11431,3.409241239551873e-05,-3.5397603582176806e-05,-9.873964188513256e-06,-9.388534544358441e-07,0.486571603534249,1.0418280104176405,-0.002446631633879,0.0024855245551067
BUY_CONFIRMED_LONG,BUY_CONFIRMED,LONG,3,15,0.0004,11431,-0.0003659075876044813,-0.0004353976035821768,-0.0004098739641885133,-0.0004009388534544359,0.387630128597673,0.6481568338585302,-0.002846631633879,0.0020855245551067
BUY_CONFIRMED_LONG,BUY_CONFIRMED,LONG,3,15,0.0006,11431,-0.0005659075876044812,-0.0006353976035821768,-0.0006098739641885134,-0.0006009388534544358,0.34196483247309944,0.5151121766963892,-0.003046631633879,0.0018855245551067002
BUY_CONFIRMED_LONG,BUY_CONFIRMED,LONG,6,30,0.0,11431,7.051840293410217e-05,0.0,3.418812840192464e-05,4.991851823763493e-05,0.4966319657072872,1.0613530393515724,-0.0034447187120068,0.0036538166595996
BUY_CONFIRMED_LONG,BUY_CONFIRMED,LONG,6,30,0.0004,11431,-0.0003294815970658979,-0.0004,-0.00036581187159807525,-0.0003500814817623651,0.420785583063599,0.7587816312067207,-0.0038447187120068003,0.0032538166595996
BUY_CONFIRMED_LONG,BUY_CONFIRMED,LONG,6,30,0.0006,11431,-0.0005294815970658977,-0.0006,-0.0005658118715980752,-0.0005500814817623649,0.38640538885486836,0.6434952884601866,-0.0040447187120068,0.0030538166595996
BUY_CONFIRMED_LONG,BUY_CONFIRMED,LONG,12,60,0.0,11431,6.893678436054157e-05,2.737349235237829e-05,1.883739846279658e-05,1.9919828346104173e-05,0.5037179599335141,1.0420374357227615,-0.0050631403383368,0.0051429334758215
BUY_CONFIRMED_LONG,BUY_CONFIRMED,LONG,12,60,0.0004,11431,-0.00033106321563945853,-0.0003726265076476217,-0.00038116260153720345,-0.00038008017165389583,0.449479485609308,0.8209701157465426,-0.0054631403383368,0.0047429334758215
BUY_CONFIRMED_LONG,BUY_CONFIRMED,LONG,12,60,0.0006,11431,-0.0005310632156394582,-0.0005726265076476217,-0.0005811626015372034,-0.0005800801716538957,0.42034817601259733,0.7293756495052248,-0.0056631403383368,0.0045429334758215
