regime_group,horizon,minutes,samples,mean_return,median_return,win_rate,profit_factor,q10,q25,q75,q90
FEB_JUN,1,5,433,0.0002696294210665042,0.0,0.49884526558891457,1.4592593657649982,-0.0018676320253561804,-0.0007793422351534129,0.0009117885976690498,0.002543868853259569
FEB_JUN,2,10,433,0.0003653136839139068,-9.496225250471557e-05,0.47344110854503463,1.4558826053606633,-0.0025087692863678735,-0.0011500613942547755,0.0014197707649092894,0.003768335451808414
FEB_JUN,3,15,433,0.0002980012917548501,-4.2525718394692547e-05,0.4942263279445728,1.2941226224530655,-0.0032737101300880363,-0.0015621889023325064,0.0013760597241554429,0.003384389533779955
FEB_JUN,4,20,433,0.00044546703815831755,-0.00011436413540699686,0.4780600461893764,1.403146112453417,-0.0032723661392863646,-0.0017053513700450162,0.001837114834595699,0.004460811104014751
FEB_JUN,6,30,433,0.0007093185489573364,-0.00017628487636023316,0.47575057736720555,1.5376009292896529,-0.004077776504986308,-0.0018637195919434246,0.0023574725238237892,0.006414700127485553
FEB_JUN,8,40,433,0.000556801810310608,-0.00036392405063290223,0.4665127020785219,1.3436310776724476,-0.004954466655302925,-0.0023054433798306295,0.0026219963206706165,0.006501583419589663
FEB_JUN,10,50,433,0.0008308246496139001,-3.52102049233638e-05,0.4942263279445728,1.5182910310292532,-0.004369551001132188,-0.0022878059940518725,0.002761009740705145,0.007362279216568047
FEB_JUN,12,60,433,0.0011310907620843153,-3.1588091289558307e-05,0.4942263279445728,1.6249830450359963,-0.005091341177712793,-0.0026978746793696606,0.004124951207418626,0.009726498190200905
JULY,1,5,103,-0.0003115635776542477,-0.00019670656999937197,0.36893203883495146,0.4651324872908966,-0.0016320117948203094,-0.00088795371410616,0.0003045646630766008,0.0008294254780639497
JULY,2,10,103,-0.0004195290100519549,-0.000492368291482026,0.3883495145631068,0.46781194055561054,-0.0021978896158654005,-0.001303523912584259,0.00047208558225508845,0.0015067716921639545
JULY,3,15,103,-0.00035267763226479957,-0.00038010789953657476,0.34951456310679613,0.6062525923321989,-0.0025959509089480636,-0.0013197967876784067,0.0004230060565337812,0.0022994221173664006
JULY,4,20,103,-0.0005211093214475969,-0.00047668649917897987,0.33980582524271846,0.5404849735620839,-0.003481981579527349,-0.001753559860140863,0.0005241966472561144,0.0022141435212727598
JULY,6,30,103,-0.0006702520617486451,-0.0007434944237918462,0.3786407766990291,0.5700186216782234,-0.00482088272221759,-0.0022671001212510866,0.0010781420107296436,0.0027623533211325476
JULY,8,40,103,-0.0007361509036926721,-0.0007478854887085218,0.3883495145631068,0.5930472034898576,-0.005409226361303454,-0.003151874069405425,0.0011466410001349514,0.003743597027049894
JULY,10,50,103,-0.001111048273060866,-0.001271571298819274,0.36893203883495146,0.45829742530044365,-0.00624566621622884,-0.003157018283929003,0.0010344129509033406,0.0032081755597469287
JULY,12,60,103,-0.0013046635556400387,-0.001131498957620436,0.34951456310679613,0.4297014456038138,-0.006545356447474359,-0.003702971600579641,0.001062663021732413,0.003328292260189647
