variant,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
CANONICAL_ALL,0.0004,2969,0.00028891187172906403,-0.0004541805039424581,-1.2547219243892701e-05,0.00012331875087429563,0.47457056247894913,1.0874686851608097,-0.009958768577023313,0.011050255604716171
CANONICAL_ALL,0.0006,2969,8.891187172906349e-05,-0.000654180503942458,-0.00021254721924389376,-7.668124912570449e-05,0.4597507578309195,1.026078884170674,-0.010158768577023313,0.01085025560471617
CANONICAL_ALL,0.0008,2969,-0.00011108812827093645,-0.0008541805039424581,-0.0004125472192438928,-0.00027668124912570474,0.44728864937689455,0.9684271428300284,-0.010358768577023314,0.01065025560471617
FRESH_60,0.0004,1259,0.0008095215884307016,-5.020953467687017e-05,0.0005121531854371432,0.0006307400384964829,0.4964257347100874,1.2876012445464673,-0.0084966779961815,0.010656619974650733
FRESH_60,0.0006,1259,0.0006095215884307012,-0.0002502095346768701,0.00031215318543714206,0.0004307400384964826,0.4765687053216839,1.2089353080114598,-0.0086966779961815,0.010456619974650732
FRESH_60,0.0008,1259,0.00040952158843070145,-0.0004502095346768702,0.00011215318543714299,0.00023074003849648237,0.46386020651310567,1.135460448955736,-0.0088966779961815,0.010256619974650731
LEGACY_REFERENCE,0.0004,1677,0.0007391487801764122,-0.0002184046851592566,0.00045024433578883416,0.0005847277783630115,0.4877757901013715,1.2416875420668783,-0.008829497038174948,0.01117281558797348
LEGACY_REFERENCE,0.0006,1677,0.0005391487801764114,-0.0004184046851592565,0.0002502443357888336,0.00038472777836301127,0.4710793082886106,1.1704954685760278,-0.009029497038174948,0.01097281558797348
LEGACY_REFERENCE,0.0008,1677,0.0003391487801764118,-0.0006184046851592566,5.024433578883472e-05,0.0001847277783630112,0.4561717352415027,1.1037394147470672,-0.009229497038174949,0.010772815587973479
NOT_FRESH_60,0.0004,1710,-9.439083781910092e-05,-0.0007338044799828243,-0.0004103874034509697,-0.00028237318204234847,0.4584795321637427,0.974228064261275,-0.010725940892907647,0.011324059639458863
NOT_FRESH_60,0.0006,1710,-0.0002943908378191015,-0.0009338044799828243,-0.0006103874034509704,-0.00048237318204234856,0.4473684210526316,0.9219460528400344,-0.010925940892907647,0.011124059639458863
NOT_FRESH_60,0.0008,1710,-0.0004943908378191011,-0.0011338044799828243,-0.0008103874034509694,-0.0006823731820423489,0.43508771929824563,0.8726823287916449,-0.011125940892907648,0.010924059639458862
