symbol,cost,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak
BNBUSDT,0.0004,386,0.0014215895403419828,0.00040527449576724996,0.538860103626943,1.694878021590113,6
BTCUSDT,0.0004,447,0.0004277947017828078,-0.000179325665692,0.4854586129753915,1.1671330024479687,7
ETHUSDT,0.0004,453,0.0006735701339199921,-0.0007560345990676,0.45695364238410596,1.2008639198211306,6
SOLUSDT,0.0004,391,0.0004973591801052763,-0.0006333722287047,0.47570332480818417,1.1160419191702458,10
BNBUSDT,0.0006,386,0.0012215895403419829,0.00020527449576725003,0.5207253886010362,1.5709400777940659,6
BTCUSDT,0.0006,447,0.00022779470178280789,-0.0003793256656919999,0.4697986577181208,1.0855088452144566,7
ETHUSDT,0.0006,453,0.0004735701339199926,-0.0009560345990675999,0.445916114790287,1.1367530539772939,6
SOLUSDT,0.0006,391,0.0002973591801052762,-0.0008333722287046999,0.45268542199488493,1.067688855023737,10
BNBUSDT,0.0008,386,0.0010215895403419828,5.274495767249943e-06,0.5025906735751295,1.4566302674674931,6
BTCUSDT,0.0008,447,2.7794701782807636e-05,-0.000579325665692,0.4541387024608501,1.0100303260560515,7
ETHUSDT,0.0008,453,0.00027357013391999217,-0.0011560345990676,0.4282560706401766,1.0765218461082235,9
SOLUSDT,0.0008,391,9.735918010527629e-05,-0.0010333722287047,0.44501278772378516,1.0216197731582448,10
