symbol,period,year,open_time,event,ret_5m,return_z,range_ratio,volume_ratio_7d,close_position,future_long_1,future_short_1,future_long_3,future_short_3,future_long_6,future_short_6,future_long_12,future_short_12,entry_time,exit_time,gross_return,net_return_4bps,net_return_5bps,net_return_8bps
BNBUSDT,2024-01,2024,2024-01-09 21:10:00+00:00,EXTREME_UP,0.015343293604163,5.031773885305235,6.747701174192969,8.184720043940628,0.9916142557652068,-0.0114741088552344,0.0116072921893293,-0.0140863699490774,0.0142876308022537,-0.0079029164737782,0.0079658700796587,-0.0098538456451293,0.0099519102324339,2024-01-09 21:15:00+00:00,2024-01-09 21:45:00+00:00,-0.0079029164737782,-0.0083029164737782,-0.0085029164737782,-0.0087029164737782
BTCUSDT,2024-01,2024,2024-01-09 21:10:00+00:00,EXTREME_UP,0.0270065493771671,11.332817139481628,14.898189978108835,48.73356001318754,0.9762379273340488,-0.0299858698778305,0.0309128176040631,-0.0434136541162838,0.0453839366441899,-0.0418651761263456,0.043694452057476,-0.0500097952174329,0.052642432485795,2024-01-09 21:15:00+00:00,2024-01-09 21:45:00+00:00,-0.0418651761263456,-0.042265176126345595,-0.0424651761263456,-0.0426651761263456
SOLUSDT,2024-01,2024,2024-01-09 21:10:00+00:00,EXTREME_UP,0.0746399397013588,13.189724528534931,19.213967131436704,19.97635862152578,0.7463384865744507,-0.0544044888442363,0.0575346310366255,-0.0648873049873941,0.0693898236367323,-0.0614751767671981,0.065501918804282,-0.0824028965177335,0.089802916993761,2024-01-09 21:15:00+00:00,2024-01-09 21:45:00+00:00,-0.0614751767671981,-0.0618751767671981,-0.062075176767198106,-0.062275176767198105
BTCUSDT,2024-01,2024,2024-01-10 20:55:00+00:00,EXTREME_UP,0.0092863269557301,4.62059599031994,8.157404715745658,14.58359870769465,0.8515930687534974,-0.0041473535418355,0.0041646257170537,-0.0023154069956511,0.0023207805471654,-0.0073711458663047,0.0074258831340721,-0.0035945176018628,0.0036074847693647,2024-01-10 21:00:00+00:00,2024-01-10 21:30:00+00:00,-0.0073711458663047,-0.0077711458663047,-0.0079711458663047,-0.0081711458663047
ETHUSDT,2024-01,2024,2024-01-10 21:20:00+00:00,EXTREME_UP,0.0085703450891163,4.457013262941121,6.486295363191152,13.558714728652964,0.9694391934467472,-0.0010369543621344,0.0010380307526514,-0.0089288894693722,0.0090093328061915,-0.0025805123821057,0.0025871886544635,0.004599011331299,-0.0045779572540135,2024-01-10 21:25:00+00:00,2024-01-10 21:55:00+00:00,-0.0025805123821057,-0.0029805123821057,-0.0031805123821057,-0.0033805123821057
BNBUSDT,2024-01,2024,2024-01-11 08:45:00+00:00,EXTREME_UP,0.0124421296296295,5.937498409289188,5.625630963949641,11.507920927779248,0.963054187192124,0.0023817084788821,-0.002376049421828,-0.0027310257224514,0.002738504649089,-0.0060971737059383,0.0061345772892835,-0.0013655128612256,0.0013673800362512,2024-01-11 08:50:00+00:00,2024-01-11 09:20:00+00:00,-0.0060971737059383,-0.0064971737059383,-0.0066971737059383,-0.0068971737059383
ETHUSDT,2024-01,2024,2024-01-12 14:25:00+00:00,EXTREME_UP,0.0099995505819963,4.578959802238864,4.886406503647763,5.676408313271372,0.9250601581299476,-0.0076275020208987,0.0076861279775806,-0.002766220956534,0.0027738941606925,0.0035671642897932,-0.0035544848583378,-0.0064928322987816,0.0065352646763532,2024-01-12 14:30:00+00:00,2024-01-12 15:00:00+00:00,0.0035671642897932,0.0031671642897932,0.0029671642897932003,0.0027671642897932
BNBUSDT,2024-01,2024,2024-01-12 22:30:00+00:00,EXTREME_UP,0.0134054724653662,6.183463005544957,5.619412306728041,3.202143161387226,0.9974358974358998,0.0005101346755542,-0.0005098745708554,0.0043191402530267,-0.0043005655074328,0.0059175622364302,-0.0058827506930825,0.0104407563596788,-0.0103328733465719,2024-01-12 22:35:00+00:00,2024-01-12 23:05:00+00:00,0.0059175622364302,0.0055175622364302,0.005317562236430201,0.0051175622364302
BTCUSDT,2024-01,2024,2024-01-12 22:30:00+00:00,EXTREME_UP,0.0105998382104837,4.595812698250505,5.729086757678216,6.751743974978357,0.9193284193284166,-0.0013671782762691,0.0013690500117042,0.0029846517119245,-0.0029757700746767,0.0076151121605667,-0.0075575604897767,0.0127579693034238,-0.0125972539245471,2024-01-12 22:35:00+00:00,2024-01-12 23:05:00+00:00,0.0076151121605667,0.0072151121605667,0.0070151121605667,0.0068151121605667
SOLUSDT,2024-01,2024,2024-01-12 22:30:00+00:00,EXTREME_UP,0.0227608799508611,4.970843526945549,4.522885419528907,3.382598004106384,0.9595430747263236,-0.0028807865993371,0.0028891095072896,0.0054278913531911,-0.0053985884018851,0.0069850732987786,-0.0069366204961671,0.0161724467777455,-0.0159150612959718,2024-01-12 22:35:00+00:00,2024-01-12 23:05:00+00:00,0.0069850732987786,0.006585073298778599,0.0063850732987786,0.006185073298778599
BNBUSDT,2024-01,2024,2024-01-15 12:20:00+00:00,EXTREME_UP,0.0202158916709247,10.0509548795886,10.381488368304169,19.469630444925645,0.925474254742546,-0.0048215403882277,0.0048449002705592,-0.0097370068879146,0.0098327484270763,-0.005729492798998,0.0057625090531221,-0.0017845961177207,0.0017877865947368,2024-01-15 12:25:00+00:00,2024-01-15 12:55:00+00:00,-0.005729492798998,-0.006129492798998,-0.006329492798998,-0.006529492798998
BNBUSDT,2024-01,2024,2024-01-17 11:35:00+00:00,EXTREME_UP,0.0147975077881619,7.722781015636249,11.607851367834172,49.88082494782718,0.6474622770919086,0.0002877881878935,-0.0002877053896809,0.002334281968471,-0.0023288457857461,0.0018226585233267,-0.0018193424832428,0.0022383525725067,-0.0022333535398653,2024-01-17 11:40:00+00:00,2024-01-17 12:10:00+00:00,0.0018226585233267,0.0014226585233267,0.0012226585233266998,0.0010226585233266998
SOLUSDT,2024-01,2024,2024-01-19 16:45:00+00:00,EXTREME_UP,0.0194767208451382,6.427421403660152,7.00784529721839,10.98615203299941,0.774713619007216,-0.0072473553905019,0.0073002629908407,-0.004366419086203,0.0043855683153992,0.0094868332207969,-0.009397679007391,0.0223947783029483,-0.0219042377545404,2024-01-19 16:50:00+00:00,2024-01-19 17:20:00+00:00,0.0094868332207969,0.0090868332207969,0.0088868332207969,0.0086868332207969
