variant,period,symbol,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,max_losing_streak,q10,q90
CANDIDATE_FIRST_30M,2024-01,BNBUSDT,0.0004,13,0.000202768489457856,-0.0007668011604255339,0.00020276848945785593,0.0002004808371282047,0.46153846153846156,1.0964403094741322,2,-0.006423637524550263,0.005940775026595802
CANDIDATE_FIRST_30M,2024-01,BNBUSDT,0.0006,13,2.7684894578561293e-06,-0.0009668011604255338,2.7684894578561377e-06,4.808371282049735e-07,0.46153846153846156,1.0012525850697767,2,-0.0066236375245502625,0.005740775026595802
CANDIDATE_FIRST_30M,2024-01,BNBUSDT,0.0008,13,-0.00019723151054214436,-0.0011668011604255338,-0.00019723151054214426,-0.00019951916287179564,0.46153846153846156,0.9149098739531316,2,-0.006823637524550263,0.0055407750265958015
CANDIDATE_FIRST_30M,2024-01,BTCUSDT,0.0004,14,-0.0012805122529288037,0.002641759256191767,-0.0012805122529288035,8.705178415314397e-05,0.6428571428571429,0.7285482471917193,3,-0.009916912240716934,0.008361743163565463
CANDIDATE_FIRST_30M,2024-01,BTCUSDT,0.0006,14,-0.0014805122529288057,0.0024417592561917674,-0.0014805122529288068,-0.00011294821584685564,0.5714285714285714,0.6913626714035273,3,-0.010116912240716935,0.008161743163565462
CANDIDATE_FIRST_30M,2024-01,BTCUSDT,0.0008,14,-0.0016805122529288063,0.0022417592561917673,-0.001680512252928806,-0.0003129482158468559,0.5714285714285714,0.6558193687435401,3,-0.010316912240716935,0.007961743163565462
CANDIDATE_FIRST_30M,2024-01,ETHUSDT,0.0004,17,-0.00128097348066157,-0.0005597144305979236,-0.00128097348066157,-0.001634031157601496,0.35294117647058826,0.5629069371718407,6,-0.009345931203683587,0.0034960750543568068
CANDIDATE_FIRST_30M,2024-01,ETHUSDT,0.0006,17,-0.0014809734806615698,-0.0007597144305979236,-0.0014809734806615698,-0.0018340311576014957,0.35294117647058826,0.5160339299083787,6,-0.009545931203683588,0.003296075054356807
CANDIDATE_FIRST_30M,2024-01,ETHUSDT,0.0008,17,-0.0016809734806615701,-0.0009597144305979237,-0.0016809734806615697,-0.0020340311576014965,0.35294117647058826,0.47296461588494476,6,-0.009745931203683588,0.003096075054356807
CANDIDATE_FIRST_30M,2024-01,SOLUSDT,0.0004,9,-0.004532926351231907,0.0021631497203404406,-0.004532926351231905,-0.0037936388664853854,0.5555555555555556,0.5793539033661199,3,-0.030478158965578747,0.013609293989842414
CANDIDATE_FIRST_30M,2024-01,SOLUSDT,0.0006,9,-0.004732926351231907,0.001963149720340441,-0.004732926351231909,-0.003993638866485387,0.5555555555555556,0.5643875588845111,3,-0.030678158965578746,0.013409293989842412
CANDIDATE_FIRST_30M,2024-01,SOLUSDT,0.0008,9,-0.004932926351231908,0.0017631497203404408,-0.00493292635123191,-0.0041936388664853864,0.5555555555555556,0.5496641130723757,3,-0.030878158965578745,0.013209293989842413
CANDIDATE_FIRST_30M,2024-02,BNBUSDT,0.0004,31,-0.0003726699789682151,-0.0013423040680612837,0.00024049493747552582,0.00022565214512005759,0.4838709677419355,0.8984917493498756,4,-0.007956981095397818,0.00954050570153715
CANDIDATE_FIRST_30M,2024-02,BNBUSDT,0.0006,31,-0.000572669978968215,-0.0015423040680612836,4.0494937475525366e-05,2.5652145120057546e-05,0.4838709677419355,0.8482813695105174,4,-0.008156981095397819,0.00934050570153715
CANDIDATE_FIRST_30M,2024-02,BNBUSDT,0.0008,31,-0.0007726699789682154,-0.0017423040680612837,-0.0001595050625244749,-0.0001743478548799428,0.4838709677419355,0.800744173212413,4,-0.00835698109539782,0.00914050570153715
CANDIDATE_FIRST_30M,2024-02,BTCUSDT,0.0004,30,0.0002026857772619689,-0.0016529362699223447,-0.0002336600946609584,-5.922811041740823e-05,0.4,1.0671180490321122,4,-0.008356156331576192,0.008785683498473824
CANDIDATE_FIRST_30M,2024-02,BTCUSDT,0.0006,30,2.685777261968979e-06,-0.0018529362699223444,-0.0004336600946609589,-0.0002592281104174081,0.4,1.000855386630874,4,-0.008556156331576192,0.008585683498473823
