hypothesis,minutes,year,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
HIGH_FUNDING_SHORT,30,2024,0.0,691,-7.520528013676934e-05,3.532889236068648e-05,-7.313408278217992e-05,-0.00011914245530955478,0.5036179450072359,0.963145981503623,-0.006808182664825413,0.006015987918780108
HIGH_FUNDING_SHORT,30,2024,0.0004,691,-0.00047520528013676933,-0.00036467110763931354,-0.0004731340827821799,-0.0005191424553095547,0.4717800289435601,0.7883524131669017,-0.007208182664825413,0.005615987918780108
HIGH_FUNDING_SHORT,30,2024,0.0006,691,-0.0006752052801367693,-0.0005646711076393135,-0.0006731340827821799,-0.0007191424553095547,0.4515195369030391,0.7130416077461426,-0.007408182664825413,0.005415987918780108
HIGH_FUNDING_SHORT,30,2025,0.0,752,8.334251242669578e-05,0.00010987247342697515,9.689592157914435e-05,0.00010198870502884071,0.5159574468085106,1.0513177188942038,-0.004867869031797145,0.005182996079233736
HIGH_FUNDING_SHORT,30,2025,0.0004,752,-0.00031665748757330424,-0.00029012752657302487,-0.0003031040784208558,-0.0002980112949711593,0.46808510638297873,0.8268060282033088,-0.005267869031797145,0.004782996079233736
HIGH_FUNDING_SHORT,30,2025,0.0006,752,-0.0005166574875733041,-0.0004901275265730248,-0.0005031040784208557,-0.0004980112949711591,0.44148936170212766,0.7332462024924179,-0.005467869031797145,0.0045829960792337365
HIGH_FUNDING_SHORT,30,2026,0.0,193,0.00020601234114269823,0.0003928779092609025,0.0003933426733548164,0.00033364959246067757,0.5699481865284974,1.159362509119858,-0.0034985108863451846,0.004577072973528252
HIGH_FUNDING_SHORT,30,2026,0.0004,193,-0.00019398765885730187,-7.122090739097528e-06,-6.657326645184306e-06,-6.635040753932252e-05,0.49740932642487046,0.8686748074246254,-0.0038985108863451847,0.0041770729735282515
HIGH_FUNDING_SHORT,30,2026,0.0006,193,-0.0003939876588573017,-0.00020712209073909746,-0.00020665732664518322,-0.00026635040753932227,0.44041450777202074,0.751113753870319,-0.004098510886345184,0.003977072973528252
HIGH_FUNDING_SHORT,60,2024,0.0,691,-0.00025876202032889254,-0.00022003624126321064,-0.0002849237516012835,-0.0002763253876849185,0.47756874095513746,0.9075402888979646,-0.008566027803699194,0.007605284888521968
