hypothesis,minutes,samples,mean_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,years_pf_gt_1,total_years,worst_year_pf,median_year_pf,assets_pf_gt_1,total_assets,worst_asset_pf,median_asset_pf,months_pf_gt_1,total_months,median_month_pf,basic_discovery_gate
HIGH_FUNDING_SHORT,30,1636,-0.0005691521377683934,-0.0005322461195924801,-0.0005609186618358673,0.44559902200489,0.7251610550954065,0,3,0.7130416077461426,0.7332462024924179,0,4,0.5575034312074114,0.6827754064969876,10,26,0.8361156168325834,False
HIGH_FUNDING_SHORT,60,1636,-0.0006247453761947048,-0.0006258828482978612,-0.0006090247692553307,0.4394865525672372,0.7611073701250387,0,3,0.7253732121720433,0.744374268215565,0,4,0.6014104502072866,0.7566138481707575,10,26,0.7959676495259427,False
HIGH_FUNDING_SHORT,240,1636,-0.0006590161371249989,-0.000708723934780915,-0.0007166572296074617,0.4743276283618582,0.8604240163336229,0,3,0.8226181002164992,0.8391564698157808,0,4,0.8301542767328227,0.8572328080890403,11,26,0.9081132272082596,False
LOW_FUNDING_LONG,30,1258,-0.0004303665295944444,-0.0003927050847274054,-0.00036539281194130805,0.4411764705882353,0.7965079721179604,0,3,0.7020458976903311,0.7565986249672774,0,4,0.6701124230583156,0.7512256807197465,12,29,0.8112141772004019,False
LOW_FUNDING_LONG,60,1258,-0.00033475232022688115,-0.00021850558611190223,-0.00026721224883114223,0.4769475357710652,0.8770790416794843,1,3,0.792020910358175,0.8175543383717112,0,4,0.8244576313275027,0.8725882995121832,12,29,0.8995369018682895,False
LOW_FUNDING_LONG,240,1258,-0.0010891989918125054,-0.0006143782494882328,-0.0007913306939195454,0.4825119236883943,0.7981016477221221,0,3,0.7620969535172543,0.7804471118293093,1,4,0.5954167489176997,0.8327262520991727,11,29,0.793159631593162,False
HIGH_FUNDING_LONG,30,1636,-0.0006308478622316066,-0.0006677538804075205,-0.0006390813381641325,0.3991442542787286,0.7036065184708724,0,3,0.5679350354142705,0.6657581747765946,0,4,0.6284366380463071,0.6943590853743149,4,26,0.6311398567593175,False
HIGH_FUNDING_LONG,60,1636,-0.0005752546238052953,-0.0005741171517021396,-0.0005909752307446693,0.44559902200489,0.7774603834354168,0,3,0.6867711978688231,0.6965248751984511,0,4,0.7225567075599069,0.7419599024962924,7,26,0.6536661232755028,False
HIGH_FUNDING_LONG,240,1636,-0.0005409838628750022,-0.0004912760652190854,-0.00048334277039253893,0.4712713936430318,0.8840392285926251,0,3,0.8247976958300626,0.8520537653299697,0,4,0.8249481807651544,0.8807019577653408,9,26,0.823393263711251,False
LOW_FUNDING_SHORT,30,1258,-0.0007696334704055555,-0.0008072949152725945,-0.0008346071880586923,0.4069952305246423,0.6658705023620366,0,3,0.4881334138510178,0.7387279105011546,0,4,0.5883576219570076,0.6510548622543513,8,29,0.5841247778611607,False
LOW_FUNDING_SHORT,60,1258,-0.0008652476797731191,-0.000981494413888099,-0.0009327877511688579,0.40540540540540543,0.7143453425953737,0,3,0.5278937238350941,0.7907033253115887,0,4,0.563495807365882,0.7227301456059911,8,29,0.6839607916308844,False
LOW_FUNDING_SHORT,240,1258,-0.00011080100818749548,-0.0005856217505117679,-0.0004086693060804561,0.4626391096979332,0.9774707925323489,2,3,0.8587379754158706,1.0288613282311179,2,4,0.6869190152524834,0.94705258038812,12,29,0.9532388309616564,False
