breakout_window,trend_ema_span,stop_atr_multiple,split,symbol,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade,max_compounded_drawdown
24,100,1.5,development,BNBUSDT,317,-0.00013629220540112828,-0.010977958851227609,0.30914826498422715,0.9861209829082515,17,-0.019287412443120953,0.03369188873275225,-0.03907296522322186,0.08127313188212164,0.3336309535587012
24,100,1.5,development,BTCUSDT,289,8.598281548241316e-05,-0.010030753418421922,0.3217993079584775,1.0100432831218207,9,-0.016567208014782665,0.029452021061422386,-0.031794336609079446,0.05931908835799919,0.21510725264915087
24,100,1.5,development,ETHUSDT,299,0.00024499089872688024,-0.012246856757552726,0.3210702341137124,1.0234526216728408,12,-0.019943466921807505,0.03734774246100609,-0.04045388169640936,0.06723489072789095,0.26419716267895266
24,100,1.5,development,SOLUSDT,297,-0.00033869201969950627,-0.01716073404931413,0.2996632996632997,0.9780045015623416,14,-0.02779747113345643,0.05098919480009659,-0.054986487963342004,0.13003577555650864,0.45021521283350685
24,100,1.5,validation,BNBUSDT,350,-0.00042800116548885126,-0.0087826202794123,0.3028571428571429,0.9512408158234257,15,-0.017621404683500697,0.030877541509909984,-0.0475841343699573,0.08326690362986204,0.3806786012354282
24,100,1.5,validation,BTCUSDT,329,-0.001230039282081744,-0.007819826666346907,0.2917933130699088,0.8326106069777036,14,-0.014441400163807837,0.022338252390275072,-0.024885390807863072,0.0553346230299379,0.4004380026609169
24,100,1.5,validation,ETHUSDT,306,0.000677095396628031,-0.013484732082382721,0.3235294117647059,1.0573099853688828,10,-0.022853544366228617,0.041509747762323954,-0.039839931835985734,0.10502774400076957,0.23483758826052903
24,100,1.5,validation,SOLUSDT,323,-0.0021444913808308062,-0.016450622441551554,0.28173374613003094,0.8527952278087728,18,-0.027147269262337414,0.0457254350192913,-0.04662784806927596,0.11048229089306442,0.6819530778329042
24,100,1.5,confirmation,BNBUSDT,191,0.0004401606310825743,-0.008188698553609885,0.3036649214659686,1.0609364522843698,14,-0.013645847751376183,0.026738028243553803,-0.03384816292676114,0.06493048727415644,0.19014045034287552
24,100,1.5,confirmation,BTCUSDT,183,-0.00018866243514690785,-0.008635277272266161,0.3114754098360656,0.9751516717034825,11,-0.014530294704498136,0.02603988308409804,-0.030899413302771194,0.06117658720953727,0.2580772626597212
