symbol,period,year,era,strategy,cost,samples,mean_return,median_return,win_rate,profit_factor,profit_factor_clean
BNBUSDT,2024-01,2024,HIST_2024_2025,ATR_080_100,0.0,21,-0.0015408575385660846,-0.0032510202669986388,0.42857142857142855,0.5271218855554244,0.5271218855554244
BNBUSDT,2024-01,2024,HIST_2024_2025,ATR_080_100,0.0002,21,-0.0017408575385660843,-0.003451020266998639,0.38095238095238093,0.4850602426267684,0.4850602426267684
BNBUSDT,2024-01,2024,HIST_2024_2025,ATR_080_100,0.0004,21,-0.0019408575385660841,-0.003651020266998639,0.38095238095238093,0.44618304739790027,0.44618304739790027
BNBUSDT,2024-01,2024,HIST_2024_2025,ATR_080_100,0.0006,21,-0.0021408575385660853,-0.0038510202669986386,0.3333333333333333,0.4108927931123958,0.4108927931123958
BNBUSDT,2024-01,2024,HIST_2024_2025,ATR_080_100,0.0008,21,-0.0023408575385660854,-0.004051020266998639,0.3333333333333333,0.3786551156596823,0.3786551156596823
BNBUSDT,2024-01,2024,HIST_2024_2025,BASE_SHORT,0.0,94,-0.0012452697765332294,-0.0015700825516672956,0.43617021276595747,0.6628147002935079,0.6628147002935079
BNBUSDT,2024-01,2024,HIST_2024_2025,BASE_SHORT,0.0002,94,-0.0014452697765332295,-0.0017700825516672957,0.4148936170212766,0.6204713351116451,0.6204713351116451
BNBUSDT,2024-01,2024,HIST_2024_2025,BASE_SHORT,0.0004,94,-0.0016452697765332296,-0.0019700825516672958,0.39361702127659576,0.5810391703998089,0.5810391703998089
BNBUSDT,2024-01,2024,HIST_2024_2025,BASE_SHORT,0.0006,94,-0.0018452697765332295,-0.0021700825516672954,0.3723404255319149,0.5444810346290944,0.5444810346290944
BNBUSDT,2024-01,2024,HIST_2024_2025,BASE_SHORT,0.0008,94,-0.0020452697765332294,-0.0023700825516672955,0.3723404255319149,0.5102850428410521,0.5102850428410521
BNBUSDT,2024-02,2024,HIST_2024_2025,ATR_080_100,0.0,14,-0.0001758216209289874,-0.000358192448849326,0.42857142857142855,0.8800071886301498,0.8800071886301498
BNBUSDT,2024-02,2024,HIST_2024_2025,ATR_080_100,0.0002,14,-0.0003758216209289875,-0.000558192448849326,0.42857142857142855,0.7620710020601703,0.7620710020601703
BNBUSDT,2024-02,2024,HIST_2024_2025,ATR_080_100,0.0004,14,-0.0005758216209289875,-0.000758192448849326,0.35714285714285715,0.6610218828778138,0.6610218828778138
BNBUSDT,2024-02,2024,HIST_2024_2025,ATR_080_100,0.0006,14,-0.0007758216209289873,-0.0009581924488493258,0.35714285714285715,0.575420354435541,0.575420354435541
BNBUSDT,2024-02,2024,HIST_2024_2025,ATR_080_100,0.0008,14,-0.0009758216209289874,-0.001158192448849326,0.35714285714285715,0.5010732262839356,0.5010732262839356
BNBUSDT,2024-02,2024,HIST_2024_2025,BASE_SHORT,0.0,55,-0.0014308927400705409,-0.0018775603095129156,0.38181818181818183,0.4605647455642942,0.4605647455642942
BNBUSDT,2024-02,2024,HIST_2024_2025,BASE_SHORT,0.0002,55,-0.0016308927400705416,-0.0020775603095129157,0.36363636363636365,0.41254987853689673,0.41254987853689673
BNBUSDT,2024-02,2024,HIST_2024_2025,BASE_SHORT,0.0004,55,-0.0018308927400705406,-0.002277560309512916,0.34545454545454546,0.36968637777971947,0.36968637777971947
BNBUSDT,2024-02,2024,HIST_2024_2025,BASE_SHORT,0.0006,55,-0.002030892740070541,-0.0024775603095129155,0.3090909090909091,0.3320319934613038,0.3320319934613038
BNBUSDT,2024-02,2024,HIST_2024_2025,BASE_SHORT,0.0008,55,-0.0022308927400705404,-0.0026775603095129156,0.3090909090909091,0.29814932822227547,0.29814932822227547
BNBUSDT,2024-03,2024,HIST_2024_2025,ATR_080_100,0.0,17,-0.0015955039892388719,-0.002548911545880439,0.4117647058823529,0.7103258379196192,0.7103258379196192
BNBUSDT,2024-03,2024,HIST_2024_2025,ATR_080_100,0.0002,17,-0.0017955039892388722,-0.002748911545880439,0.35294117647058826,0.6812221635490844,0.6812221635490844
BNBUSDT,2024-03,2024,HIST_2024_2025,ATR_080_100,0.0004,17,-0.001995503989238871,-0.002948911545880439,0.35294117647058826,0.6536709867285558,0.6536709867285558
BNBUSDT,2024-03,2024,HIST_2024_2025,ATR_080_100,0.0006,17,-0.002195503989238872,-0.003148911545880439,0.35294117647058826,0.6273302236658065,0.6273302236658065
BNBUSDT,2024-03,2024,HIST_2024_2025,ATR_080_100,0.0008,17,-0.0023955039892388725,-0.003348911545880439,0.35294117647058826,0.6021218227111294,0.6021218227111294
BNBUSDT,2024-03,2024,HIST_2024_2025,BASE_SHORT,0.0,75,-0.0017270289392931233,-0.002434890549282809,0.4,0.6780254025425225,0.6780254025425225
BNBUSDT,2024-03,2024,HIST_2024_2025,BASE_SHORT,0.0002,75,-0.0019270289392931232,-0.002634890549282809,0.4,0.648600355149511,0.648600355149511
BNBUSDT,2024-03,2024,HIST_2024_2025,BASE_SHORT,0.0004,75,-0.0021270289392931237,-0.002834890549282809,0.4,0.6204355109860779,0.6204355109860779
BNBUSDT,2024-03,2024,HIST_2024_2025,BASE_SHORT,0.0006,75,-0.002327028939293124,-0.0030348905492828086,0.37333333333333335,0.5935950305421892,0.5935950305421892
BNBUSDT,2024-03,2024,HIST_2024_2025,BASE_SHORT,0.0008,75,-0.002527028939293123,-0.0032348905492828087,0.36,0.5681500184928229,0.5681500184928229
BNBUSDT,2024-04,2024,HIST_2024_2025,ATR_080_100,0.0,22,0.003994201088324928,-0.0006417985196304765,0.45454545454545453,2.0885663071920764,2.0885663071920764
BNBUSDT,2024-04,2024,HIST_2024_2025,ATR_080_100,0.0002,22,0.0037942010883249264,-0.0008417985196304766,0.45454545454545453,2.004202743823438,2.004202743823438
BNBUSDT,2024-04,2024,HIST_2024_2025,ATR_080_100,0.0004,22,0.003594201088324929,-0.0010417985196304765,0.45454545454545453,1.9245741024104264,1.9245741024104264
BNBUSDT,2024-04,2024,HIST_2024_2025,ATR_080_100,0.0006,22,0.0033942010883249276,-0.0012417985196304764,0.45454545454545453,1.849292641321459,1.849292641321459
BNBUSDT,2024-04,2024,HIST_2024_2025,ATR_080_100,0.0008,22,0.00319420108832493,-0.0014417985196304764,0.45454545454545453,1.7780118300938739,1.7780118300938739
BNBUSDT,2024-04,2024,HIST_2024_2025,BASE_SHORT,0.0,91,-0.00013802772268066223,-0.0014220654150089995,0.42857142857142855,0.9672807797894889,0.9672807797894889
BNBUSDT,2024-04,2024,HIST_2024_2025,BASE_SHORT,0.0002,91,-0.00033802772268066246,-0.0016220654150089996,0.4175824175824176,0.9219912602510832,0.9219912602510832
BNBUSDT,2024-04,2024,HIST_2024_2025,BASE_SHORT,0.0004,91,-0.0005380277226806617,-0.0018220654150089995,0.4175824175824176,0.87908638205249,0.87908638205249
BNBUSDT,2024-04,2024,HIST_2024_2025,BASE_SHORT,0.0006,91,-0.0007380277226806625,-0.0020220654150089994,0.4175824175824176,0.8383705203838153,0.8383705203838153
BNBUSDT,2024-04,2024,HIST_2024_2025,BASE_SHORT,0.0008,91,-0.000938027722680662,-0.0022220654150089995,0.4175824175824176,0.7996803163750802,0.7996803163750802
BNBUSDT,2024-05,2024,HIST_2024_2025,ATR_080_100,0.0,25,-0.00048458763864872356,-0.0002766060438421647,0.4,0.6571186487186397,0.6571186487186397
BNBUSDT,2024-05,2024,HIST_2024_2025,ATR_080_100,0.0002,25,-0.0006845876386487235,-0.0004766060438421647,0.4,0.5535145108678826,0.5535145108678826
BNBUSDT,2024-05,2024,HIST_2024_2025,ATR_080_100,0.0004,25,-0.0008845876386487235,-0.0006766060438421647,0.36,0.4668224007558454,0.4668224007558454
BNBUSDT,2024-05,2024,HIST_2024_2025,ATR_080_100,0.0006,25,-0.0010845876386487235,-0.0008766060438421646,0.32,0.39378955429894047,0.39378955429894047
BNBUSDT,2024-05,2024,HIST_2024_2025,ATR_080_100,0.0008,25,-0.0012845876386487235,-0.0010766060438421646,0.32,0.3327258618725903,0.3327258618725903
BNBUSDT,2024-05,2024,HIST_2024_2025,BASE_SHORT,0.0,84,0.0003952611017206622,-0.00015993717280410324,0.47619047619047616,1.222428394074787,1.222428394074787
BNBUSDT,2024-05,2024,HIST_2024_2025,BASE_SHORT,0.0002,84,0.00019526110172066237,-0.00035993717280410323,0.4523809523809524,1.1036226132096987,1.1036226132096987
BNBUSDT,2024-05,2024,HIST_2024_2025,BASE_SHORT,0.0004,84,-4.738898279337685e-06,-0.0005599371728041032,0.39285714285714285,0.9976314523227647,0.9976314523227647
BNBUSDT,2024-05,2024,HIST_2024_2025,BASE_SHORT,0.0006,84,-0.00020473889827933808,-0.0007599371728041032,0.35714285714285715,0.9036540136089819,0.9036540136089819
BNBUSDT,2024-05,2024,HIST_2024_2025,BASE_SHORT,0.0008,84,-0.0004047388982793383,-0.0009599371728041032,0.35714285714285715,0.8204041644359832,0.8204041644359832
BNBUSDT,2024-06,2024,HIST_2024_2025,ATR_080_100,0.0,27,-0.0004967840374626637,-0.00017599746563656815,0.48148148148148145,0.7746276613115693,0.7746276613115693
BNBUSDT,2024-06,2024,HIST_2024_2025,ATR_080_100,0.0002,27,-0.0006967840374626636,-0.00037599746563656813,0.48148148148148145,0.6980985454255627,0.6980985454255627
BNBUSDT,2024-06,2024,HIST_2024_2025,ATR_080_100,0.0004,27,-0.000896784037462664,-0.0005759974656365681,0.48148148148148145,0.6281510025677398,0.6281510025677398
BNBUSDT,2024-06,2024,HIST_2024_2025,ATR_080_100,0.0006,27,-0.0010967840374626636,-0.0007759974656365681,0.4444444444444444,0.5650674290169494,0.5650674290169494
BNBUSDT,2024-06,2024,HIST_2024_2025,ATR_080_100,0.0008,27,-0.0012967840374626643,-0.0009759974656365682,0.37037037037037035,0.5090780496702156,0.5090780496702156
BNBUSDT,2024-06,2024,HIST_2024_2025,BASE_SHORT,0.0,93,-1.7522071749598897e-05,-0.0003338579672820252,0.46236559139784944,0.993680743767281,0.993680743767281
BNBUSDT,2024-06,2024,HIST_2024_2025,BASE_SHORT,0.0002,93,-0.00021752207174959866,-0.0005338579672820252,0.46236559139784944,0.9244802323669553,0.9244802323669553
BNBUSDT,2024-06,2024,HIST_2024_2025,BASE_SHORT,0.0004,93,-0.00041752207174959886,-0.0007338579672820252,0.46236559139784944,0.8602604869553734,0.8602604869553734
BNBUSDT,2024-06,2024,HIST_2024_2025,BASE_SHORT,0.0006,93,-0.0006175220717495988,-0.0009338579672820252,0.43010752688172044,0.800846448163892,0.800846448163892
BNBUSDT,2024-06,2024,HIST_2024_2025,BASE_SHORT,0.0008,93,-0.0008175220717495989,-0.0011338579672820251,0.40860215053763443,0.7458927883646063,0.7458927883646063
BNBUSDT,2024-07,2024,HIST_2024_2025,ATR_080_100,0.0,21,0.0008534894123566762,-0.0013734086947334578,0.42857142857142855,1.4456005343319096,1.4456005343319096
BNBUSDT,2024-07,2024,HIST_2024_2025,ATR_080_100,0.0002,21,0.0006534894123566761,-0.001573408694733458,0.42857142857142855,1.3219707445029196,1.3219707445029196
BNBUSDT,2024-07,2024,HIST_2024_2025,ATR_080_100,0.0004,21,0.0004534894123566763,-0.0017734086947334578,0.42857142857142855,1.2115214695834962,1.2115214695834962
BNBUSDT,2024-07,2024,HIST_2024_2025,ATR_080_100,0.0006,21,0.00025348941235667634,-0.0019734086947334577,0.42857142857142855,1.11225156639056,1.11225156639056
BNBUSDT,2024-07,2024,HIST_2024_2025,ATR_080_100,0.0008,21,5.348941235667595e-05,-0.0021734086947334578,0.38095238095238093,1.0225014604579439,1.0225014604579439
BNBUSDT,2024-07,2024,HIST_2024_2025,BASE_SHORT,0.0,87,0.0005759852097403028,-0.0006786677751573489,0.4827586206896552,1.1971780709104727,1.1971780709104727
BNBUSDT,2024-07,2024,HIST_2024_2025,BASE_SHORT,0.0002,87,0.00037598520974030294,-0.0008786677751573489,0.47126436781609193,1.124287990869631,1.124287990869631
BNBUSDT,2024-07,2024,HIST_2024_2025,BASE_SHORT,0.0004,87,0.0001759852097403033,-0.0010786677751573488,0.47126436781609193,1.0562098611506074,1.0562098611506074
BNBUSDT,2024-07,2024,HIST_2024_2025,BASE_SHORT,0.0006,87,-2.4014790259697485e-05,-0.0012786677751573487,0.45977011494252873,0.9925828743544152,0.9925828743544152
BNBUSDT,2024-07,2024,HIST_2024_2025,BASE_SHORT,0.0008,87,-0.00022401479025969712,-0.0014786677751573488,0.45977011494252873,0.9330458680934756,0.9330458680934756
BNBUSDT,2024-08,2024,HIST_2024_2025,ATR_080_100,0.0,18,-0.0025757187491250878,-0.0009466609889435817,0.3888888888888889,0.4403280460552345,0.4403280460552345
BNBUSDT,2024-08,2024,HIST_2024_2025,ATR_080_100,0.0002,18,-0.0027757187491250874,-0.0011466609889435818,0.3888888888888889,0.4124736717132697,0.4124736717132697
BNBUSDT,2024-08,2024,HIST_2024_2025,ATR_080_100,0.0004,18,-0.0029757187491250866,-0.0013466609889435817,0.3888888888888889,0.38602415716005406,0.38602415716005406
BNBUSDT,2024-08,2024,HIST_2024_2025,ATR_080_100,0.0006,18,-0.0031757187491250876,-0.0015466609889435816,0.3888888888888889,0.3608758337037209,0.3608758337037209
BNBUSDT,2024-08,2024,HIST_2024_2025,ATR_080_100,0.0008,18,-0.0033757187491250886,-0.0017466609889435817,0.3888888888888889,0.33693498779859177,0.33693498779859177
BNBUSDT,2024-08,2024,HIST_2024_2025,BASE_SHORT,0.0,81,0.0009480203045110282,-0.0003205188634777256,0.48148148148148145,1.2850448397241392,1.2850448397241392
BNBUSDT,2024-08,2024,HIST_2024_2025,BASE_SHORT,0.0002,81,0.0007480203045110287,-0.0005205188634777256,0.4691358024691358,1.217966204151471,1.217966204151471
BNBUSDT,2024-08,2024,HIST_2024_2025,BASE_SHORT,0.0004,81,0.0005480203045110286,-0.0007205188634777256,0.4444444444444444,1.15486075961577,1.15486075961577
BNBUSDT,2024-08,2024,HIST_2024_2025,BASE_SHORT,0.0006,81,0.00034802030451102804,-0.0009205188634777256,0.4444444444444444,1.0953505112437323,1.0953505112437323
BNBUSDT,2024-08,2024,HIST_2024_2025,BASE_SHORT,0.0008,81,0.0001480203045110277,-0.0011205188634777256,0.4444444444444444,1.0393564668353703,1.0393564668353703
BNBUSDT,2024-09,2024,HIST_2024_2025,ATR_080_100,0.0,24,-0.00012022763676632538,-0.0013392038280996554,0.4583333333333333,0.9473318597762097,0.9473318597762097
BNBUSDT,2024-09,2024,HIST_2024_2025,ATR_080_100,0.0002,24,-0.0003202276367663252,-0.0015392038280996555,0.4583333333333333,0.8660736507476668,0.8660736507476668
BNBUSDT,2024-09,2024,HIST_2024_2025,ATR_080_100,0.0004,24,-0.0005202276367663254,-0.0017392038280996554,0.4583333333333333,0.7918594934232971,0.7918594934232971
BNBUSDT,2024-09,2024,HIST_2024_2025,ATR_080_100,0.0006,24,-0.0007202276367663253,-0.0019392038280996553,0.4166666666666667,0.7244769104347302,0.7244769104347302
BNBUSDT,2024-09,2024,HIST_2024_2025,ATR_080_100,0.0008,24,-0.0009202276367663251,-0.0021392038280996554,0.4166666666666667,0.6630071792630171,0.6630071792630171
BNBUSDT,2024-09,2024,HIST_2024_2025,BASE_SHORT,0.0,83,-0.0010144013080818802,-0.0012847305491794359,0.39759036144578314,0.627029098530392,0.627029098530392
BNBUSDT,2024-09,2024,HIST_2024_2025,BASE_SHORT,0.0002,83,-0.00121440130808188,-0.001484730549179436,0.3855421686746988,0.5727645278782963,0.5727645278782963
BNBUSDT,2024-09,2024,HIST_2024_2025,BASE_SHORT,0.0004,83,-0.00141440130808188,-0.0016847305491794358,0.3855421686746988,0.5230246647217945,0.5230246647217945
BNBUSDT,2024-09,2024,HIST_2024_2025,BASE_SHORT,0.0006,83,-0.0016144013080818798,-0.0018847305491794357,0.3614457831325301,0.47769246343988453,0.47769246343988453
BNBUSDT,2024-09,2024,HIST_2024_2025,BASE_SHORT,0.0008,83,-0.0018144013080818799,-0.002084730549179436,0.3493975903614458,0.4363786201032356,0.4363786201032356
BNBUSDT,2024-10,2024,HIST_2024_2025,ATR_080_100,0.0,25,0.0007991362480040775,0.0012958811992154207,0.68,1.6501043424466488,1.6501043424466488
BNBUSDT,2024-10,2024,HIST_2024_2025,ATR_080_100,0.0002,25,0.0005991362480040778,0.0010958811992154206,0.64,1.4622858664706049,1.4622858664706049
BNBUSDT,2024-10,2024,HIST_2024_2025,ATR_080_100,0.0004,25,0.00039913624800407737,0.0008958811992154207,0.6,1.2905795940964864,1.2905795940964864
BNBUSDT,2024-10,2024,HIST_2024_2025,ATR_080_100,0.0006,25,0.00019913624800407774,0.0006958811992154207,0.56,1.136330270163044,1.136330270163044
BNBUSDT,2024-10,2024,HIST_2024_2025,ATR_080_100,0.0008,25,-8.637519959221047e-07,0.0004958811992154206,0.56,0.9994422692375441,0.9994422692375441
BNBUSDT,2024-10,2024,HIST_2024_2025,BASE_SHORT,0.0,91,-7.76036894928907e-05,-0.00018344951802806708,0.4835164835164835,0.9572519462359415,0.9572519462359415
BNBUSDT,2024-10,2024,HIST_2024_2025,BASE_SHORT,0.0002,91,-0.0002776036894928904,-0.00038344951802806706,0.4725274725274725,0.8553722542499865,0.8553722542499865
BNBUSDT,2024-10,2024,HIST_2024_2025,BASE_SHORT,0.0004,91,-0.00047760368949289073,-0.000583449518028067,0.46153846153846156,0.764315905961206,0.764315905961206
BNBUSDT,2024-10,2024,HIST_2024_2025,BASE_SHORT,0.0006,91,-0.000677603689492891,-0.000783449518028067,0.42857142857142855,0.683041425413609,0.683041425413609
BNBUSDT,2024-10,2024,HIST_2024_2025,BASE_SHORT,0.0008,91,-0.0008776036894928908,-0.000983449518028067,0.4065934065934066,0.6108395933566877,0.6108395933566877
BNBUSDT,2024-11,2024,HIST_2024_2025,ATR_080_100,0.0,24,-8.52057163710183e-05,-0.000503654115485419,0.5,0.9667204101229168,0.9667204101229168
BNBUSDT,2024-11,2024,HIST_2024_2025,ATR_080_100,0.0002,24,-0.0002852057163710182,-0.0007036541154854191,0.5,0.8927918757131815,0.8927918757131815
BNBUSDT,2024-11,2024,HIST_2024_2025,ATR_080_100,0.0004,24,-0.00048520571637101817,-0.000903654115485419,0.5,0.8242199002692737,0.8242199002692737
BNBUSDT,2024-11,2024,HIST_2024_2025,ATR_080_100,0.0006,24,-0.0006852057163710181,-0.0011036541154854189,0.4583333333333333,0.760894277853004,0.760894277853004
BNBUSDT,2024-11,2024,HIST_2024_2025,ATR_080_100,0.0008,24,-0.0008852057163710184,-0.001303654115485419,0.4583333333333333,0.7023553339996821,0.7023553339996821
BNBUSDT,2024-11,2024,HIST_2024_2025,BASE_SHORT,0.0,85,0.00024703246029087465,3.233786602430122e-05,0.5176470588235295,1.0922743693125943,1.0922743693125943
BNBUSDT,2024-11,2024,HIST_2024_2025,BASE_SHORT,0.0002,85,4.703246029087502e-05,-0.0001676621339756988,0.49411764705882355,1.0169318146082067,1.0169318146082067
BNBUSDT,2024-11,2024,HIST_2024_2025,BASE_SHORT,0.0004,85,-0.0001529675397091254,-0.0003676621339756988,0.4588235294117647,0.9469581962521855,0.9469581962521855
BNBUSDT,2024-11,2024,HIST_2024_2025,BASE_SHORT,0.0006,85,-0.0003529675397091252,-0.0005676621339756987,0.4470588235294118,0.882042887812026,0.882042887812026
BNBUSDT,2024-11,2024,HIST_2024_2025,BASE_SHORT,0.0008,85,-0.0005529675397091255,-0.0007676621339756988,0.4470588235294118,0.821791588948096,0.821791588948096
