event,symbol,samples
HIGH_BASIS_NARROWING,BNBUSDT,1066
HIGH_BASIS_NARROWING,BTCUSDT,1085
HIGH_BASIS_NARROWING,ETHUSDT,891
HIGH_BASIS_NARROWING,SOLUSDT,923
HIGH_BASIS_WIDENING,BNBUSDT,7586
HIGH_BASIS_WIDENING,BTCUSDT,10893
HIGH_BASIS_WIDENING,ETHUSDT,11657
HIGH_BASIS_WIDENING,SOLUSDT,10500
LOW_BASIS_NARROWING,BNBUSDT,1848
LOW_BASIS_NARROWING,BTCUSDT,558
LOW_BASIS_NARROWING,ETHUSDT,551
LOW_BASIS_NARROWING,SOLUSDT,715
LOW_BASIS_WIDENING,BNBUSDT,8294
LOW_BASIS_WIDENING,BTCUSDT,9977
LOW_BASIS_WIDENING,ETHUSDT,10441
LOW_BASIS_WIDENING,SOLUSDT,9034
