hypothesis,minutes,samples,mean_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,years_pf_gt_1,total_years,worst_year_pf,median_year_pf,assets_pf_gt_1,total_assets,worst_asset_pf,median_asset_pf,months_pf_gt_1,total_months,median_month_pf,basic_discovery_gate
HIGH_WIDEN_CONTINUE_LONG,30,40636,-0.0006646816571610846,-0.0006904292405472032,-0.0006853817743241107,0.41815139285362735,0.7179841961125377,0,3,0.6338312942607615,0.709027508153622,0,4,0.6274300633743685,0.7009153549109766,2,31,0.715238192805518,False
HIGH_WIDEN_CONTINUE_LONG,60,40636,-0.0006825563930101298,-0.000700852902699013,-0.0006990711551632785,0.43892115365685597,0.77953240345607,0,3,0.7132662773011904,0.7506105885726402,0,4,0.707264471041853,0.7687900036230416,2,31,0.7645526672001899,False
HIGH_WIDEN_CONTINUE_LONG,120,40636,-0.0006850050943246432,-0.0007213744145643191,-0.000727890448682011,0.45944482724677627,0.8336590106278466,0,3,0.7592284558317923,0.8092742762038572,0,4,0.7588178224934838,0.8292112860365781,5,31,0.8025214477236291,False
HIGH_WIDEN_REVERT_SHORT,30,40636,-0.0005353183428389151,-0.0005095707594527971,-0.0005146182256758889,0.44155428683925585,0.7649552839047394,0,3,0.7305094725644768,0.7749989002399815,0,4,0.7106176348461055,0.7482783720924149,2,31,0.7573707656415274,False
HIGH_WIDEN_REVERT_SHORT,60,40636,-0.0005174436069898702,-0.0004991470973009871,-0.0005009288448367213,0.4595678708534305,0.8275673281571468,0,3,0.7819610258608982,0.8371666122305601,0,4,0.7875281048687646,0.8046736739624003,4,31,0.8165935712965271,False
HIGH_WIDEN_REVERT_SHORT,120,40636,-0.0005149949056753575,-0.0004786255854356826,-0.00047210955131798927,0.46606457328477213,0.872204474350654,0,3,0.8262213036818061,0.9051545583450824,0,4,0.8303585595312964,0.8570445380811498,8,31,0.8646399131064164,False
HIGH_NARROW_REVERT_SHORT,30,3965,-0.00048640920661077177,-0.0005632573482230784,-0.0005201863977448234,0.4221941992433796,0.7922214677729718,0,3,0.7711331503852402,0.7879686762297907,0,4,0.6002617028148818,0.7983056020336248,10,31,0.8226914208387857,False
HIGH_NARROW_REVERT_SHORT,60,3965,-0.0005695760424639071,-0.0005353149991366967,-0.0005370315373951533,0.44993694829760406,0.8155798187551813,1,3,0.7508426449260746,0.8734295981841993,0,4,0.6273117217982376,0.8579435104045403,10,31,0.7785269993215362,False
HIGH_NARROW_REVERT_SHORT,120,3965,-0.0008232634245955296,-0.0008077140753722847,-0.0008567512321600256,0.4433795712484237,0.8043533751032992,0,3,0.7244903246401471,0.8934646938741817,0,4,0.6692404333988189,0.7902709605108666,9,31,0.8528633652839892,False
HIGH_NARROW_CONTINUE_LONG,30,3965,-0.0007135907933892285,-0.0006367426517769228,-0.0006798136022551768,0.4398486759142497,0.7080600954445514,0,3,0.5890492971075171,0.7137528493395998,0,4,0.6863244008764522,0.6943399688589671,4,31,0.6283593638908391,False
HIGH_NARROW_CONTINUE_LONG,60,3965,-0.0006304239575360933,-0.0006646850008633047,-0.0006629684626048473,0.45598991172761666,0.7974904921358669,0,3,0.5952759429196318,0.7638131563784685,0,4,0.641297512391934,0.8243106362805233,5,31,0.7228579722295642,False
