feature,pre_median,july_median,robust_shift,abs_shift
bear_breadth,0.6666666666666666,1.0,1.0,1.0
market_bear_pressure,0.75,0.8333333333333333,0.33333333333333304,0.33333333333333304
mean_return_6h,-0.007091847453667606,-0.005809873523768864,0.09583946816354527,0.09583946816354527
mean_return_24h,-0.00656724961144491,-0.005036009646041302,0.04454100309045857,0.04454100309045857
mean_return_1h,-0.0036799130464745624,-0.0034960351282667577,0.04241805246988952,0.04241805246988952
dispersion_1h,0.0011511669078409035,0.0011907231441182537,0.034317752984480865,0.034317752984480865
down_6h_breadth,1.0,1.0,0.0,0.0
strong_breadth,0.6666666666666666,0.6666666666666666,0.0,0.0
down_24h_breadth,0.6666666666666666,0.6666666666666666,0.0,0.0
vol_breadth,0.0,0.0,0.0,0.0
down_1h_breadth,1.0,1.0,,
