fast_span,slow_span,adx_threshold,hold_bars,split,symbol,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade
24,96,20,48,development,BNBUSDT,1318,-0.0009263446932889844,-0.0008205581653621502,0.44537177541729894,0.8060097227539789,9,-0.013998370484297673,0.01239584968605476,-0.07860049800796805,0.10409379169421233
24,96,20,48,development,BTCUSDT,1303,-0.0005702656730411892,-0.0011594699898627818,0.42824251726784346,0.8636140495167605,9,-0.011529644154734408,0.012072452095698584,-0.050788684247286955,0.10357751272173026
24,96,20,48,development,ETHUSDT,1319,-0.0009196249263281042,-0.0011191717843797681,0.4313874147081122,0.8101147111293187,9,-0.013634559196200068,0.012447115946073709,-0.07806212707952527,0.0785054852320675
24,96,20,48,development,SOLUSDT,1332,-0.0012580633841025749,-0.001307756804421311,0.46396396396396394,0.8277993288992477,15,-0.02221432694701724,0.019900208811037646,-0.11602238405186267,0.09309123246914845
24,96,20,48,validation,BNBUSDT,1319,-0.00046963254831110945,-0.0007804164010537068,0.4586808188021228,0.8864889030915755,13,-0.012260380551551474,0.010560991437313687,-0.08207339925970943,0.09899803849334025
24,96,20,48,validation,BTCUSDT,1304,-0.0005711606073026918,-0.0007141885007178711,0.4447852760736196,0.8394464410997777,15,-0.010489209232461416,0.009118792161176927,-0.056018517079691146,0.05873791806105559
24,96,20,48,validation,ETHUSDT,1341,-0.0006729286420752357,-0.0009198090692124733,0.46308724832214765,0.8756500604989476,11,-0.015404987387874613,0.015566656411002123,-0.11139623654700921,0.07393017998293609
24,96,20,48,validation,SOLUSDT,1321,-0.000873193195337653,-0.0006680596202271566,0.4708554125662377,0.8727785950976154,10,-0.020311176510847972,0.019759019264448275,-0.10732959805115723,0.1268160255207355
24,96,20,48,confirmation,BNBUSDT,778,-0.0008521041396246495,-0.0008814371016980898,0.442159383033419,0.7692118172085576,11,-0.011322909248062707,0.009857723085730009,-0.047426543700985604,0.06593549811507786
24,96,20,48,confirmation,BTCUSDT,766,-0.0012604330901422054,-0.0012413161457718418,0.40600522193211486,0.6865654575460086,11,-0.011458692912481649,0.0088266484865419,-0.05320156201414601,0.05446568362012698
24,96,20,48,confirmation,ETHUSDT,770,-0.00037642300846817643,-0.0009685008124910127,0.44545454545454544,0.9149915131839539,8,-0.014087778041252517,0.012755962672139427,-0.048609690873405345,0.06776172059223144
24,96,20,48,confirmation,SOLUSDT,767,-0.0010109642220317776,-0.0009149110376319264,0.4511082138200782,0.8079777021975701,9,-0.016709663912299864,0.013196130709320618,-0.06157898230088506,0.06360798065296251
24,96,20,96,development,BNBUSDT,761,-0.0017503404464883996,-0.0018316832400514065,0.4520367936925099,0.7514877600475857,15,-0.019537005115268635,0.01773228577414614,-0.10155068217613235,0.1037483454784374
24,96,20,96,development,BTCUSDT,769,-0.0010333302887563295,-0.0005149825281891112,0.4759427828348505,0.8282886567401087,8,-0.018526140861003768,0.016134739854089985,-0.08821836819873137,0.09065522686543907
24,96,20,96,development,ETHUSDT,772,-0.0016024170850301935,-0.0005059007724980241,0.4792746113989637,0.7872905444846928,7,-0.021735662219555328,0.019348465330967856,-0.11430163277331869,0.12791234777976718
24,96,20,96,development,SOLUSDT,772,-0.0007635979745661593,-0.0017055195815992123,0.45984455958549225,0.9236051494856408,14,-0.029045271822050522,0.028863136630357934,-0.1417750424860405,0.17258220984953937
24,96,20,96,validation,BNBUSDT,766,-0.00019847242399350756,-0.0006636699313828481,0.47911227154047,0.9662046498906082,10,-0.01721583053536103,0.017161102910537563,-0.061462401696427874,0.11375254161259833
24,96,20,96,validation,BTCUSDT,767,-0.0006945521478540742,-0.0011120503124156349,0.455019556714472,0.8626910401147871,9,-0.014687496063698544,0.014560435563131689,-0.08637150612013651,0.07065298473044838
24,96,20,96,validation,ETHUSDT,767,-0.0009934729231329323,-0.00031034927505342255,0.4915254237288136,0.8772931514918823,11,-0.023765737339492228,0.023275506719906257,-0.14513941775234945,0.15810163286831908
24,96,20,96,validation,SOLUSDT,767,-0.0007294332917446253,-0.0006574712643677255,0.4863102998696219,0.9264996388105988,10,-0.02983858127652661,0.02946052484956423,-0.14808201438848928,0.1897008406864446
24,96,20,96,confirmation,BNBUSDT,452,0.00025907820751792736,-0.001142726381221492,0.4557522123893805,1.0554483228554317,8,-0.013773776482689725,0.015923657997147123,-0.0491908024552495,0.0863777344096514
24,96,20,96,confirmation,BTCUSDT,452,-0.00039746542538806804,-0.0005622638208832681,0.47123893805309736,0.9208900977484206,10,-0.0148698828189893,0.014583715546850052,-0.053668309965458974,0.0641579188645746
24,96,20,96,confirmation,ETHUSDT,446,-0.0006209343421387467,-0.0023217453907866774,0.4282511210762332,0.9056589391393339,13,-0.019503634071950503,0.018654380805117266,-0.05479503098226786,0.08536488654864398
24,96,20,96,confirmation,SOLUSDT,463,0.0006879264627293941,0.00020645161290315853,0.5053995680345572,1.1061632915899335,6,-0.019409482641991826,0.02336536343953917,-0.10181681415929218,0.06341528723277194
24,96,25,48,development,BNBUSDT,1134,-0.0004704889208549199,-0.001065028880651974,0.4417989417989418,0.8995014856904865,13,-0.013487211038375111,0.013177641690992175,-0.08029188004993999,0.11755281734591187
24,96,25,48,development,BTCUSDT,1113,-0.0006599267491144953,-0.001177340282141736,0.4393530997304582,0.8467063447105726,14,-0.011585007547679925,0.01294816990668435,-0.06739256603841388,0.07370220993568959
24,96,25,48,development,ETHUSDT,1177,-0.0008021504437676327,-0.0014921998663395934,0.4205607476635514,0.836405699775334,11,-0.013787297376297868,0.013309459131652428,-0.07806212707952527,0.13814298940621378
24,96,25,48,development,SOLUSDT,1159,-0.001517378736546908,-0.0012353117840709464,0.453839516824849,0.7978342506174345,10,-0.020944251114535947,0.019793462626222596,-0.17001373022787908,0.09954532717245494
24,96,25,48,validation,BNBUSDT,1152,-0.000615628298725056,-0.0008035791900183991,0.4548611111111111,0.8593527540556769,10,-0.01242225299802978,0.010874370345271375,-0.08047171866576348,0.09634603447705396
