feature,folds,mean_coefficient,median_coefficient,positive_sign_rate,mean_abs_coefficient
asset_price_vs_sma7d,4,0.6093868429794529,0.603953143803067,0.75,0.6587651556917697
asset_sma1d_vs_7d,4,-0.64123288196074,-0.6354680937503863,0.0,0.6412328819607401
breadth_down_30d,4,0.22127294491382615,0.23042012135169088,1.0,0.22127294491382615
btc_ret_7d,4,-0.18134184871643202,-0.19591227142232998,0.0,0.181341848716432
asset_ret_1d,4,-0.03827360658050402,0.0529549175923218,0.5,0.16768348177577833
asset_rv_7d,4,-0.14604868125261544,-0.1476523615422629,0.0,0.14604868125261544
btc_ret_30d,4,0.12690078064992064,0.1404519273645879,0.75,0.13318824368139506
dispersion_7d,4,0.1308086324914251,0.12694476091075063,1.0,0.1308086324914251
market_rv_1d,4,-0.11067898273655308,-0.1460454208350448,0.25,0.11303805158196659
market_mean_1d,4,-0.07071999011970961,-0.10502835591229943,0.25,0.1071882563415911
asset_ret_7d,4,0.06928930793160966,0.08359422570992472,0.75,0.100813053008413
market_mean_30d,4,-0.009676172184865613,-0.014261943630782536,0.5,0.09417949483655605
breadth_down_7d,4,-0.015138876111942545,0.04874634445820358,0.75,0.09098547689466736
market_mean_7d,4,0.05857204508954383,0.03203634531350154,0.5,0.08504701053939358
asset_ret_3d,4,-0.03219112124928459,-0.0344690206604388,0.25,0.08394381054414271
asset_ret_30d,4,0.06447934214295688,0.05810609001317417,1.0,0.06447934214295688
market_mean_3d,4,-2.5795531343485167e-05,0.00802491080359254,0.5,0.0628225548468409
market_rv_7d,4,0.024528899671611978,0.04865522500929199,0.75,0.06227404220061554
asset_rv_1d,4,0.014026345111572932,0.030872714330935486,0.75,0.056074215529359824
