hypothesis,minutes,symbol,cost,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
HIGH_6H_CONTINUE_LONG,5,BNBUSDT,0.0,7900,3.904102658875135e-05,-3.967660852410848e-05,-5.7184982731363015e-06,1.885722680769626e-05,0.4831645569620253,1.057729327110894,-0.00204996458862281,0.0021821984374565066
HIGH_6H_CONTINUE_LONG,5,BNBUSDT,0.0004,7900,-0.0003609589734112487,-0.0004396766085241085,-0.0004057184982731363,-0.00038114277319230375,0.3640506329113924,0.6023299045353635,-0.00244996458862281,0.0017821984374565066
HIGH_6H_CONTINUE_LONG,5,BNBUSDT,0.0006,7900,-0.0005609589734112486,-0.0006396766085241084,-0.0006057184982731361,-0.0005811427731923036,0.30886075949367087,0.46099090207450255,-0.0026499645886228097,0.0015821984374565067
HIGH_6H_CONTINUE_LONG,5,BTCUSDT,0.0,6270,-8.923731111736723e-05,-0.00019697706547328053,-0.0001326886143104223,-0.00010492270679438416,0.4376395534290271,0.8838994926913502,-0.0022039516306238014,0.002188577735331166
HIGH_6H_CONTINUE_LONG,5,BTCUSDT,0.0004,6270,-0.0004892373111173672,-0.0005969770654732805,-0.0005326886143104224,-0.0005049227067943842,0.32567783094098884,0.5188032008426557,-0.0026039516306238016,0.001788577735331166
HIGH_6H_CONTINUE_LONG,5,BTCUSDT,0.0006,6270,-0.0006892373111173671,-0.0007969770654732805,-0.0007326886143104222,-0.000704922706794384,0.2781499202551834,0.4039930196820251,-0.0028039516306238013,0.001588577735331166
HIGH_6H_CONTINUE_LONG,5,ETHUSDT,0.0,5476,-7.713438369144397e-05,-0.0003365151029168789,-0.00017875988847075464,-0.00012159685523776221,0.4338933528122717,0.9299175437384598,-0.0031611625716379543,0.003369246589143615
HIGH_6H_CONTINUE_LONG,5,ETHUSDT,0.0004,5476,-0.00047713438369144406,-0.0007365151029168789,-0.0005787598884707548,-0.0005215968552377623,0.36066471877282685,0.6443722502958331,-0.0035611625716379545,0.002969246589143615
HIGH_6H_CONTINUE_LONG,5,ETHUSDT,0.0006,5476,-0.0006771343836914439,-0.0009365151029168789,-0.0007787598884707546,-0.000721596855237762,0.3281592403214025,0.5402424873216498,-0.003761162571637954,0.0027692465891436154
HIGH_6H_CONTINUE_LONG,5,SOLUSDT,0.0,6524,-7.831324654801774e-05,-0.00030582525363664903,-0.0001507597162832631,-0.00010126799289397454,0.4440527283874923,0.9374185486501683,-0.0036341987324854273,0.0037881265505102617
HIGH_6H_CONTINUE_LONG,5,SOLUSDT,0.0004,6524,-0.0004783132465480178,-0.000705825253636649,-0.0005507597162832632,-0.0005012679928939746,0.387952176578786,0.6778657284667888,-0.0040341987324854275,0.0033881265505102615
HIGH_6H_CONTINUE_LONG,5,SOLUSDT,0.0006,6524,-0.0006783132465480177,-0.000905825253636649,-0.0007507597162832631,-0.0007012679928939743,0.3576026977314531,0.578745502505646,-0.004234198732485427,0.003188126550510262
HIGH_6H_CONTINUE_LONG,15,BNBUSDT,0.0,7900,1.2985960209481405e-05,-0.0001588954081966354,-8.870457815176652e-05,-4.1326842803139483e-05,0.4640506329113924,1.011290506851351,-0.0034021957608039275,0.00366875311688768
HIGH_6H_CONTINUE_LONG,15,BNBUSDT,0.0004,7900,-0.0003870140397905187,-0.0005588954081966354,-0.0004887045781517665,-0.00044132684280313953,0.3879746835443038,0.719475182485364,-0.0038021957608039276,0.0032687531168876798
HIGH_6H_CONTINUE_LONG,15,BNBUSDT,0.0006,7900,-0.0005870140397905184,-0.0007588954081966353,-0.0006887045781517666,-0.0006413268428031393,0.3540506329113924,0.6100321919905215,-0.004002195760803928,0.00306875311688768
HIGH_6H_CONTINUE_LONG,15,BTCUSDT,0.0,6270,-0.000165809912193651,-0.0003854252173363659,-0.00025620861258685896,-0.00020013302891496332,0.4256778309409888,0.8671629133945152,-0.003513939862102722,0.003464259990559818
HIGH_6H_CONTINUE_LONG,15,BTCUSDT,0.0004,6270,-0.000565809912193651,-0.0007854252173363659,-0.000656208612586859,-0.0006001330289149634,0.3547049441786284,0.6207233059831107,-0.003913939862102722,0.003064259990559818
HIGH_6H_CONTINUE_LONG,15,BTCUSDT,0.0006,6270,-0.0007658099121936509,-0.0009854252173363658,-0.0008562086125868586,-0.000800133028914963,0.3258373205741627,0.5284225132238468,-0.004113939862102721,0.0028642599905598183
HIGH_6H_CONTINUE_LONG,15,ETHUSDT,0.0,5476,-0.0001916985343631575,-0.000641848265095557,-0.0003572457075007217,-0.00025674974181006223,0.41070124178232287,0.8892280325271003,-0.0048880376847168505,0.005005524630975922
HIGH_6H_CONTINUE_LONG,15,ETHUSDT,0.0004,5476,-0.0005916985343631577,-0.001041848265095557,-0.0007572457075007219,-0.0006567497418100625,0.366691015339664,0.7003768722890127,-0.005288037684716851,0.004605524630975921
HIGH_6H_CONTINUE_LONG,15,ETHUSDT,0.0006,5476,-0.0007916985343631573,-0.0012418482650955569,-0.0009572457075007219,-0.0008567497418100621,0.3487947406866326,0.6235573659822776,-0.00548803768471685,0.004405524630975922
HIGH_6H_CONTINUE_LONG,15,SOLUSDT,0.0,6524,-0.0002893547259818578,-0.0006587870626693637,-0.000416573154077728,-0.00032576527225007957,0.4262722256284488,0.8621223491956951,-0.005982978859056253,0.005945133592109752
HIGH_6H_CONTINUE_LONG,15,SOLUSDT,0.0004,6524,-0.000689354725981858,-0.0010587870626693637,-0.0008165731540777278,-0.0007257652722500798,0.38994481912936846,0.7047492992610525,-0.006382978859056253,0.005545133592109752
HIGH_6H_CONTINUE_LONG,15,SOLUSDT,0.0006,6524,-0.0008893547259818578,-0.0012587870626693635,-0.0010165731540777287,-0.0009257652722500795,0.36863887185775596,0.6383363412586125,-0.006582978859056253,0.005345133592109752
HIGH_6H_CONTINUE_LONG,30,BNBUSDT,0.0,7900,3.9666633143719535e-06,-0.0002637407654820789,-0.0001341673022630703,-5.50929164907506e-05,0.4630379746835443,1.0025586357316771,-0.004504609739399379,0.0049628660797771
HIGH_6H_CONTINUE_LONG,30,BNBUSDT,0.0004,7900,-0.00039603333668562817,-0.0006637407654820789,-0.0005341673022630703,-0.0004550929164907508,0.4110126582278481,0.7768943438642212,-0.004904609739399379,0.0045628660797770995
HIGH_6H_CONTINUE_LONG,30,BNBUSDT,0.0006,7900,-0.0005960333366856279,-0.0008637407654820789,-0.0007341673022630706,-0.0006550929164907505,0.3845569620253165,0.6855470976218748,-0.005104609739399379,0.0043628660797771
HIGH_6H_CONTINUE_LONG,30,BTCUSDT,0.0,6270,-0.00019927185681621853,-0.0004599328472250086,-0.0002867286188770491,-0.00023469385951852787,0.4328548644338118,0.878574728620631,-0.004642050516148177,0.004623074462770444
HIGH_6H_CONTINUE_LONG,30,BTCUSDT,0.0004,6270,-0.0005992718568162186,-0.0008599328472250086,-0.000686728618877049,-0.000634693859518528,0.3802232854864434,0.6809932195836362,-0.005042050516148177,0.004223074462770444
HIGH_6H_CONTINUE_LONG,30,BTCUSDT,0.0006,6270,-0.0007992718568162183,-0.0010599328472250084,-0.0008867286188770493,-0.0008346938595185277,0.3526315789473684,0.6014007842295166,-0.005242050516148177,0.004023074462770444
HIGH_6H_CONTINUE_LONG,30,ETHUSDT,0.0,5476,-0.00019717681149096324,-0.0007131917268190513,-0.0004084520576802421,-0.0003120995583112294,0.42531044558071585,0.9126925426743118,-0.006355998795466056,0.006594919979183378
HIGH_6H_CONTINUE_LONG,30,ETHUSDT,0.0004,5476,-0.0005971768114909633,-0.0011131917268190513,-0.0008084520576802416,-0.0007120995583112295,0.38732651570489407,0.760728500304804,-0.006755998795466056,0.006194919979183378
HIGH_6H_CONTINUE_LONG,30,ETHUSDT,0.0006,5476,-0.0007971768114909631,-0.0013131917268190511,-0.0010084520576802425,-0.0009120995583112293,0.37070854638422207,0.6957182845974182,-0.006955998795466056,0.005994919979183378
HIGH_6H_CONTINUE_LONG,30,SOLUSDT,0.0,6524,-0.0003004217636693123,-0.0007464933895591774,-0.0004757430885557732,-0.00038943775626047104,0.43730839975475166,0.8924070951362961,-0.008127314422412968,0.008000175180716806
HIGH_6H_CONTINUE_LONG,30,SOLUSDT,0.0004,6524,-0.0007004217636693123,-0.0011464933895591774,-0.0008757430885557731,-0.0007894377562604712,0.4118638871857756,0.7682195205651341,-0.008527314422412967,0.007600175180716806
HIGH_6H_CONTINUE_LONG,30,SOLUSDT,0.0006,6524,-0.0009004217636693125,-0.0013464933895591773,-0.0010757430885557737,-0.000989437756260471,0.398068669527897,0.7133283795290322,-0.008727314422412967,0.007400175180716806
HIGH_6H_CONTINUE_LONG,60,BNBUSDT,0.0,7900,5.1787242192532404e-05,-0.00021806344931918353,-9.972699945002257e-05,-3.205482775433305e-05,0.4772151898734177,1.0250889890022352,-0.006213528349594199,0.006519291801464583
HIGH_6H_CONTINUE_LONG,60,BNBUSDT,0.0004,7900,-0.0003482127578074675,-0.0006180634493191835,-0.0004997269994500222,-0.00043205482775433303,0.43240506329113926,0.8474154665860736,-0.0066135283495941995,0.006119291801464583
HIGH_6H_CONTINUE_LONG,60,BNBUSDT,0.0006,7900,-0.0005482127578074677,-0.0008180634493191835,-0.0006997269994500231,-0.0006320548277543329,0.4111392405063291,0.77136822042322,-0.006813528349594199,0.005919291801464583
HIGH_6H_CONTINUE_LONG,60,BTCUSDT,0.0,6270,-0.00021032385166046538,-0.0005145282743370672,-0.0003415293788981623,-0.00024988463058789464,0.43859649122807015,0.903268662901454,-0.006166214910386103,0.006335682747213389
HIGH_6H_CONTINUE_LONG,60,BTCUSDT,0.0004,6270,-0.0006103238516604655,-0.0009145282743370671,-0.0007415293788981618,-0.0006498846305878946,0.3939393939393939,0.7465387395469317,-0.006566214910386103,0.005935682747213389
HIGH_6H_CONTINUE_LONG,60,BTCUSDT,0.0006,6270,-0.0008103238516604654,-0.001114528274337067,-0.0009415293788981624,-0.0008498846305878945,0.3722488038277512,0.679853536599545,-0.006766214910386103,0.005735682747213389
HIGH_6H_CONTINUE_LONG,60,ETHUSDT,0.0,5476,-0.00031709568561813327,-0.0009058271391242934,-0.0005520726935120461,-0.0004109831950827945,0.4357195032870709,0.893702138495964,-0.008355982560199315,0.008521782910478226
HIGH_6H_CONTINUE_LONG,60,ETHUSDT,0.0004,5476,-0.0007170956856181332,-0.0013058271391242933,-0.0009520726935120457,-0.0008109831950827946,0.40138787436084733,0.7769890280853992,-0.008755982560199315,0.008121782910478227
HIGH_6H_CONTINUE_LONG,60,ETHUSDT,0.0006,5476,-0.0009170956856181333,-0.0015058271391242932,-0.0011520726935120467,-0.0010109831950827943,0.38403944485025565,0.7251711927553134,-0.008955982560199315,0.007921782910478226
HIGH_6H_CONTINUE_LONG,60,SOLUSDT,0.0,6524,-0.0003415174633287156,-0.0009865809012974958,-0.0005761516291397107,-0.0004309651333389355,0.4409871244635193,0.9081418356936205,-0.010640799150438451,0.010838914662273534
HIGH_6H_CONTINUE_LONG,60,SOLUSDT,0.0004,6524,-0.0007415174633287154,-0.0013865809012974957,-0.0009761516291397099,-0.0008309651333389353,0.41998773758430413,0.8120489522609394,-0.01104079915043845,0.010438914662273535
HIGH_6H_CONTINUE_LONG,60,SOLUSDT,0.0006,6524,-0.000941517463328716,-0.0015865809012974956,-0.0011761516291397113,-0.0010309651333389354,0.4083384426732066,0.7682390403244381,-0.01124079915043845,0.010238914662273535
HIGH_6H_CONTINUE_LONG,120,BNBUSDT,0.0,7900,0.00016181837309507682,-0.0002534836921939676,-8.806042421658096e-05,1.7575211076051992e-05,0.47810126582278484,1.057052516897838,-0.00848059964032517,0.009090852214175407
HIGH_6H_CONTINUE_LONG,120,BNBUSDT,0.0004,7900,-0.00023818162690492314,-0.0006534836921939676,-0.00048806042421658066,-0.00038242478892394784,0.44924050632911394,0.921936137066483,-0.008880599640325169,0.008690852214175407
HIGH_6H_CONTINUE_LONG,120,BNBUSDT,0.0006,7900,-0.00043818162690492337,-0.0008534836921939675,-0.000688060424216582,-0.0005824247889239481,0.4340506329113924,0.8614536389699686,-0.00908059964032517,0.008490852214175407
HIGH_6H_CONTINUE_LONG,120,BTCUSDT,0.0,6270,-0.0003123451980344245,-0.0006969455957926418,-0.00046759124886502646,-0.00036903134095724906,0.4398724082934609,0.8900505371036622,-0.008087721042879904,0.008022669759524327
HIGH_6H_CONTINUE_LONG,120,BTCUSDT,0.0004,6270,-0.0007123451980344244,-0.0010969455957926418,-0.0008675912488650262,-0.000769031340957249,0.40574162679425835,0.7681006586747579,-0.008487721042879903,0.0076226697595243266
HIGH_6H_CONTINUE_LONG,120,BTCUSDT,0.0006,6270,-0.0009123451980344246,-0.0012969455957926417,-0.001067591248865027,-0.000969031340957249,0.391866028708134,0.7141849638224197,-0.008687721042879903,0.007422669759524327
HIGH_6H_CONTINUE_LONG,120,ETHUSDT,0.0,5476,-0.00039373291767323,-0.0010666171963703008,-0.0006437600602815467,-0.0005077241152536075,0.4351716581446311,0.9008667387609554,-0.011604044250506651,0.011732792897789834
HIGH_6H_CONTINUE_LONG,120,ETHUSDT,0.0004,5476,-0.0007937329176732298,-0.0014666171963703008,-0.0010437600602815466,-0.0009077241152536076,0.4130752373995617,0.8111060012922738,-0.01200404425050665,0.011332792897789835
HIGH_6H_CONTINUE_LONG,120,ETHUSDT,0.0006,5476,-0.0009937329176732301,-0.0016666171963703007,-0.0012437600602815465,-0.0011077241152536075,0.40321402483564645,0.7699970546218292,-0.01220404425050665,0.011132792897789835
HIGH_6H_CONTINUE_LONG,120,SOLUSDT,0.0,6524,-0.0005549728142079961,-0.0009196791604783594,-0.0008238335563820927,-0.0007100091650280423,0.4541692213366033,0.8872896657076255,-0.014754322734012336,0.013445276930188377
HIGH_6H_CONTINUE_LONG,120,SOLUSDT,0.0004,6524,-0.0009549728142079957,-0.0013196791604783594,-0.0012238335563820929,-0.0011100091650280421,0.437614960147149,0.8144004939918452,-0.015154322734012335,0.013045276930188377
HIGH_6H_CONTINUE_LONG,120,SOLUSDT,0.0006,6524,-0.0011549728142079966,-0.0015196791604783592,-0.0014238335563820932,-0.0013100091650280424,0.43056407112201106,0.7803568340394652,-0.015354322734012335,0.012845276930188377
HIGH_6H_REVERSE_SHORT,5,BNBUSDT,0.0,7900,-3.904102658875135e-05,3.967660852410848e-05,5.718498273136363e-06,-1.8857226807696443e-05,0.51,0.9454214555357207,-0.002182198437456506,0.002049964588622811
HIGH_6H_REVERSE_SHORT,5,BNBUSDT,0.0004,7900,-0.00043904102658875137,-0.00036032339147589154,-0.0003942815017268637,-0.0004188572268076965,0.38253164556962027,0.5314632841692825,-0.0025821984374565063,0.001649964588622811
HIGH_6H_REVERSE_SHORT,5,BNBUSDT,0.0006,7900,-0.0006390410265887512,-0.0005603233914758915,-0.0005942815017268636,-0.0006188572268076963,0.330506329113924,0.40056451533026405,-0.002782198437456506,0.001449964588622811
HIGH_6H_REVERSE_SHORT,5,BTCUSDT,0.0,6270,8.923731111736723e-05,0.00019697706547328053,0.0001326886143104223,0.00010492270679438381,0.5618819776714513,1.1313503495234962,-0.002188577735331165,0.0022039516306238023
HIGH_6H_REVERSE_SHORT,5,BTCUSDT,0.0004,6270,-0.0003107626888826328,-0.0002030229345267195,-0.00026731138568957777,-0.00029507729320561623,0.4317384370015949,0.6471175236693912,-0.002588577735331165,0.0018039516306238026
HIGH_6H_REVERSE_SHORT,5,BTCUSDT,0.0006,6270,-0.0005107626888826326,-0.0004030229345267194,-0.0004673113856895775,-0.000495077293205616,0.372408293460925,0.48934415336169873,-0.002788577735331165,0.0016039516306238027
HIGH_6H_REVERSE_SHORT,5,ETHUSDT,0.0,5476,7.713438369144397e-05,0.0003365151029168789,0.00017875988847075472,0.00012159685523776221,0.5653761869978087,1.075364161837182,-0.003369246589143615,0.0031611625716379543
HIGH_6H_REVERSE_SHORT,5,ETHUSDT,0.0004,5476,-0.0003228656163085561,-6.34848970831211e-05,-0.00022124011152924527,-0.0002784031447622379,0.4864864864864865,0.7337656340506085,-0.0037692465891436154,0.002761162571637954
