hypothesis,minutes,period,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
HIGH_6H_CONTINUE_LONG,5,2024-01,875,-0.0005940039955301242,-0.0006099622430986823,-0.0005626766157056516,-0.000510602599905827,0.3485714285714286,0.5631013603898574,-0.0033918211710863835,0.0024684607023528725
HIGH_6H_CONTINUE_LONG,5,2024-02,995,-0.0004432011384272064,-0.0005372568703728258,-0.00045821135649596007,-0.00043133655950723546,0.35577889447236183,0.5993351736315821,-0.003130055665586439,0.0023655262601604008
HIGH_6H_CONTINUE_LONG,5,2024-03,1058,-0.0004096713970608136,-0.0007743048524844859,-0.0004611650761943885,-0.00039336382221243934,0.3941398865784499,0.7297347290586357,-0.003908910488864569,0.0037606817073518014
HIGH_6H_CONTINUE_LONG,5,2024-04,728,-0.0004940068208680473,-0.0008429162211180502,-0.0005898637512914383,-0.0005276838182414512,0.3626373626373626,0.6315838545110061,-0.003510592019481561,0.0029547987975089307
HIGH_6H_CONTINUE_LONG,5,2024-05,858,-0.0006282915882916706,-0.0007673225048913207,-0.0007302695112237732,-0.0007083404749347796,0.331002331002331,0.5336610471929345,-0.0037438742898892254,0.002356169619579564
HIGH_6H_CONTINUE_LONG,5,2024-06,741,-0.0008130818198915304,-0.0008299679612818295,-0.0008260294974856059,-0.0008149902549421921,0.2739541160593792,0.3618411011710409,-0.0031654016582628,0.001774077638755301
HIGH_6H_CONTINUE_LONG,5,2024-07,857,-0.0007821710434336222,-0.000982138773545093,-0.0008559654375555301,-0.0008114911554028875,0.3103850641773629,0.43367920519953257,-0.0034185028738993976,0.002090888829074822
HIGH_6H_CONTINUE_LONG,5,2024-08,773,-0.0009385142260265485,-0.0009128013971794851,-0.0009131278658188328,-0.0008895391231476767,0.3078913324708926,0.4311493264104902,-0.004380498302982105,0.0023031501997097504
HIGH_6H_CONTINUE_LONG,5,2024-09,840,-0.000656103799539757,-0.0009569287253615271,-0.0007208803180926109,-0.0006753305008770683,0.3273809523809524,0.4998342022475603,-0.0032025590574711873,0.0024169304553314243
HIGH_6H_CONTINUE_LONG,5,2024-10,912,-0.0005336304548226182,-0.0006838592402860327,-0.0005857406663447965,-0.0005476410464766713,0.3355263157894737,0.4920462723367749,-0.0027255489316743366,0.0018390171434967237
HIGH_6H_CONTINUE_LONG,5,2024-11,1154,-0.0005815079027876736,-0.0007405215534258652,-0.0006246621566692728,-0.0005597827681242957,0.3752166377816291,0.6007887775756041,-0.00395833244184629,0.003400138489967365
HIGH_6H_CONTINUE_LONG,5,2024-12,1032,-0.000527284359211183,-0.0006897793686825409,-0.000583495263283203,-0.0005417888442671725,0.36724806201550386,0.5887723563036648,-0.0033580939798966807,0.0026290702165381544
HIGH_6H_CONTINUE_LONG,5,2025-01,1060,-0.0005351471021838379,-0.0006515076396172542,-0.0006163921499354108,-0.0005701266972013006,0.3433962264150943,0.6041484888332591,-0.0034183524992274943,0.0024556242443211094
HIGH_6H_CONTINUE_LONG,5,2025-02,697,-0.000686814612746162,-0.0009048548128952166,-0.0008010553050588243,-0.0007411333903229501,0.31563845050215206,0.5209941684970024,-0.00390092907271895,0.0024734100313368096
HIGH_6H_CONTINUE_LONG,5,2025-03,814,-0.0006941552449891424,-0.0009392121120386337,-0.0008594905928937869,-0.0008080489275325446,0.3144963144963145,0.5495773217111646,-0.0036158644749915694,0.0021095620946193668
HIGH_6H_CONTINUE_LONG,5,2025-04,774,-0.0009682618304364784,-0.0009627355822793387,-0.001010357015945785,-0.0009943995883353162,0.2739018087855297,0.3861584612090543,-0.003698957563009141,0.001398469231320255
HIGH_6H_CONTINUE_LONG,5,2025-05,1004,-0.000628207148018456,-0.0007244347053457883,-0.0007013179239173826,-0.0006620811474089392,0.301792828685259,0.5048888252251096,-0.00317691752834469,0.001975433288429444
HIGH_6H_CONTINUE_LONG,5,2025-06,958,-0.0006217081863072876,-0.0006736889958234399,-0.0006716902494011125,-0.0006554169711988631,0.2954070981210856,0.4133411481803982,-0.002653825429928968,0.001378464230837319
HIGH_6H_CONTINUE_LONG,5,2025-07,1083,-0.0005652741111563803,-0.000646070918500507,-0.0006191203636405893,-0.0005944689509682353,0.3047091412742382,0.4741517588391066,-0.0028009161420165622,0.0017660954792312349
HIGH_6H_CONTINUE_LONG,5,2025-08,1047,-0.0005749886432319469,-0.0007387062823017259,-0.0006796136601396218,-0.0006377033279383757,0.29608404966571156,0.4992151895896973,-0.002830419902552971,0.0017262104990133365
HIGH_6H_CONTINUE_LONG,5,2025-09,886,-0.0005611359296927207,-0.000625309706290777,-0.0005789563852145227,-0.0005647214176199643,0.3126410835214447,0.41591967669459157,-0.002462290662799193,0.0015331137169968707
HIGH_6H_CONTINUE_LONG,5,2025-10,879,-0.000729766753361588,-0.0009518498423252802,-0.0008273517309597992,-0.0007748120242762867,0.3037542662116041,0.485098314675254,-0.0036166706758288918,0.002314196907337277
HIGH_6H_CONTINUE_LONG,5,2025-11,724,-0.0007570680432969302,-0.0008520377466451728,-0.0008384502419692655,-0.0008078408153145094,0.32734806629834257,0.4433875620171691,-0.0037362314598527006,0.0020578535840685176
HIGH_6H_CONTINUE_LONG,5,2025-12,763,-0.0006593634141610061,-0.0008370979214415536,-0.0006885039359973894,-0.0006606010021893079,0.3132372214941022,0.5142881711471775,-0.0036684460838041213,0.00249254921097515
HIGH_6H_CONTINUE_LONG,5,2026-01,740,-0.0005918252863576575,-0.0007375971397365449,-0.0006795800390106513,-0.0006540941301682802,0.2702702702702703,0.42493559940937625,-0.0026550876087742753,0.0012173545994011337
HIGH_6H_CONTINUE_LONG,5,2026-02,615,-0.0009119881901730189,-0.0011147259888369503,-0.0010073224123790213,-0.0009806213200637547,0.2813008130081301,0.41908687356810403,-0.0038381293366189333,0.002275674163962174
HIGH_6H_CONTINUE_LONG,5,2026-03,580,-0.0008361372763673356,-0.0009521566538248199,-0.0009375047570362747,-0.0008743405491953948,0.2913793103448276,0.5024449289328207,-0.004593572364831243,0.0030158150183723603
HIGH_6H_CONTINUE_LONG,5,2026-04,643,-0.000661800651909424,-0.0007642305797340259,-0.0006978287615824383,-0.0006665140978295252,0.29704510108864696,0.4604551326325976,-0.0031351041424074956,0.002115001202307255
HIGH_6H_CONTINUE_LONG,5,2026-05,789,-0.0005627640264523745,-0.0007130071194483939,-0.0006548030377626299,-0.0006207018739404723,0.27122940430925224,0.4291778140771823,-0.0023510531047030705,0.0011376276111323199
HIGH_6H_CONTINUE_LONG,5,2026-06,575,-0.000665236590806139,-0.0008814522938361374,-0.0007296308435694399,-0.0007006918611587801,0.3165217391304348,0.5110949409047443,-0.0035461605106378072,0.0027220860215605
HIGH_6H_CONTINUE_LONG,5,2026-07,716,-0.0008597121967245749,-0.0008568502187532684,-0.0008886656312141501,-0.0008824178365441633,0.2276536312849162,0.2473092718513641,-0.0027054794746239168,0.0008697531585611268
HIGH_6H_CONTINUE_LONG,15,2024-01,875,-0.0008060305561724409,-0.0009948144805804297,-0.0008089994265906239,-0.0007350974237239424,0.3862857142857143,0.6196889475781548,-0.005611390899473733,0.0040608422048590736
HIGH_6H_CONTINUE_LONG,15,2024-02,995,-0.00027469880046587206,-0.0006,-0.00030224735132419625,-0.00022408655067826085,0.4100502512562814,0.8379290467699644,-0.0048028487868428055,0.004874885151043597
HIGH_6H_CONTINUE_LONG,15,2024-03,1058,-0.0003164991983754637,-0.0008889988485983985,-0.0004869878211120875,-0.0003469474752097814,0.4158790170132325,0.8626306672099764,-0.006752359021638831,0.007133929932954299
HIGH_6H_CONTINUE_LONG,15,2024-04,728,-0.00048703008340844026,-0.0013071120247719718,-0.0007097896072696942,-0.0005827450644620881,0.3708791208791209,0.7620403266074568,-0.005337661365735501,0.005505161342267474
HIGH_6H_CONTINUE_LONG,15,2024-05,858,-0.0006757896534388387,-0.0011843671142113925,-0.0009149365979764265,-0.0008240086968337916,0.34032634032634035,0.6576754025364414,-0.005454813873670605,0.004443074498722973
HIGH_6H_CONTINUE_LONG,15,2024-06,741,-0.0011286154536237628,-0.0010889607703012498,-0.0011097261271828195,-0.001098421611615156,0.31713900134952766,0.39517122051173914,-0.004977604991834705,0.002954652429293759
HIGH_6H_CONTINUE_LONG,15,2024-07,857,-0.0009579226234108709,-0.001165707820482153,-0.001081619735283533,-0.0010148763273401097,0.3442240373395566,0.5280840281515493,-0.005456484266780936,0.0036574105978158795
HIGH_6H_CONTINUE_LONG,15,2024-08,773,-0.0011621127416577635,-0.001369513214534001,-0.0012572225063227367,-0.0012001890122989892,0.32729624838292365,0.5025720383352598,-0.006264198014825761,0.004017349885792615
HIGH_6H_CONTINUE_LONG,15,2024-09,840,-0.0006389941185188612,-0.0009572690571264081,-0.0007616697995884337,-0.0006790657269992754,0.3678571428571429,0.6242283800512478,-0.004571763001128036,0.0038489359501734186
HIGH_6H_CONTINUE_LONG,15,2024-10,912,-0.0007372822168024753,-0.0009682630830228461,-0.0008421847131412112,-0.0007914172700111586,0.33223684210526316,0.544489046863264,-0.004303702102896211,0.0030486699763761843
HIGH_6H_CONTINUE_LONG,15,2024-11,1154,-0.0004784679012884637,-0.000827296346899497,-0.0006521719408928902,-0.0005532912981986941,0.40121317157712305,0.785782957012428,-0.006313052936370466,0.0056614450087839625
HIGH_6H_CONTINUE_LONG,15,2024-12,1032,-0.0007038729804590751,-0.0010063432281711242,-0.0008120943677865486,-0.0007403346416804397,0.375,0.6538469522119389,-0.0054672997715786145,0.0045942287593750296
HIGH_6H_CONTINUE_LONG,15,2025-01,1060,-0.0004811770702962107,-0.0008489063288937942,-0.0007174494077442934,-0.0006168875694118728,0.3745283018867924,0.7630832577846691,-0.005157494742198786,0.0044344128810911675
HIGH_6H_CONTINUE_LONG,15,2025-02,697,-0.0011849499985556963,-0.0014126909823809035,-0.0011802382175048229,-0.0011118392946665827,0.3285509325681492,0.5023751307881091,-0.0058205741263121155,0.004411461896818181
HIGH_6H_CONTINUE_LONG,15,2025-03,814,-0.0011004934944837824,-0.0013310794430629984,-0.001267139681606819,-0.0012433161206687575,0.33783783783783783,0.5173374581846133,-0.006047609407922513,0.003498424759317766
HIGH_6H_CONTINUE_LONG,15,2025-04,774,-0.0014329652753280373,-0.0011501748281751538,-0.0012731035774066575,-0.0012768894567805808,0.30361757105943155,0.37044287677292803,-0.005505519790898127,0.0023758857316878335
HIGH_6H_CONTINUE_LONG,15,2025-05,1004,-0.0008441646418932873,-0.0010136986524722606,-0.000911036853026598,-0.0008614095263857767,0.3296812749003984,0.5422860966968926,-0.004699505203518006,0.0031246034409946814
HIGH_6H_CONTINUE_LONG,15,2025-06,958,-0.0006103598316807452,-0.0008093829655228085,-0.000737460000111524,-0.0006775509276173628,0.31941544885177453,0.5847974781508872,-0.0039028229273721177,0.0028067685214306945
HIGH_6H_CONTINUE_LONG,15,2025-07,1083,-0.0005611325343999178,-0.0007222755479474146,-0.0006633553524923676,-0.0006131810426521034,0.3573407202216066,0.6337197157529081,-0.00410428108246521,0.0032125758638227773
HIGH_6H_CONTINUE_LONG,15,2025-08,1047,-0.0005979622700358773,-0.0007931881846106708,-0.0007386412889793441,-0.0007156792508501489,0.3600764087870105,0.6167596121068861,-0.004387485761948051,0.0030653884574239013
HIGH_6H_CONTINUE_LONG,15,2025-09,886,-0.0004103147014851542,-0.0006765147243212416,-0.00045764356886841,-0.0004130812660572872,0.3747178329571106,0.6673791718300043,-0.003334941795910328,0.002972265629623983
HIGH_6H_CONTINUE_LONG,15,2025-10,879,-0.0008387506659332925,-0.0010762523271419903,-0.0009827873609723255,-0.0009612983845836966,0.3503981797497156,0.5755103647308513,-0.005273076589607294,0.0038337100961344742
HIGH_6H_CONTINUE_LONG,15,2025-11,724,-0.0009463741223755759,-0.001132489937402014,-0.0010475623889989957,-0.0010089517896554117,0.356353591160221,0.5244872894603063,-0.005367520210503906,0.003575659940813749
HIGH_6H_CONTINUE_LONG,15,2025-12,763,-0.0004340700568693792,-0.0009186659395389979,-0.0005909778639468604,-0.0004948609453892185,0.36041939711664484,0.7478646393867068,-0.00486170576515632,0.004844999628790021
HIGH_6H_CONTINUE_LONG,15,2026-01,740,-0.000992423276966377,-0.0010841410982331372,-0.001087943859723631,-0.0010832140001125355,0.2797297297297297,0.38330232842113987,-0.0038802585074048093,0.0018263562553119134
HIGH_6H_CONTINUE_LONG,15,2026-02,615,-0.0012113980050519329,-0.0013978012310576597,-0.0012498152519575536,-0.0012379204007993481,0.31382113821138213,0.4574059904975764,-0.005559895598505026,0.0037324481271301625
HIGH_6H_CONTINUE_LONG,15,2026-03,580,-0.001231720455249478,-0.0016830915648340487,-0.0015262842448025087,-0.001344037257432363,0.2775862068965517,0.5405439682792763,-0.007070824539260367,0.005028993750621559
HIGH_6H_CONTINUE_LONG,15,2026-04,643,-0.0007919480222835895,-0.0009515350363253455,-0.0008167691813123204,-0.0008160377231642967,0.3359253499222395,0.5181562851588035,-0.004353908997498034,0.00297509068786808
HIGH_6H_CONTINUE_LONG,15,2026-05,789,-0.0005655234018625962,-0.000895101318119384,-0.0006916483592043993,-0.0006097082161741335,0.33460076045627374,0.5780311197672483,-0.0031081038151202327,0.0024725106076139355
HIGH_6H_CONTINUE_LONG,15,2026-06,575,-0.000643834897880456,-0.0009616138308680794,-0.0007208225339336259,-0.000612548033978383,0.35478260869565215,0.6574868531492901,-0.0051171142278746634,0.004851321272084854
