hypothesis,minutes,samples,mean_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,years_pf_gt_1,total_years,worst_year_pf,median_year_pf,assets_pf_gt_1,total_assets,worst_asset_pf,median_asset_pf,months_pf_gt_1,total_months,median_month_pf,basic_discovery_gate
HIGH_6H_CONTINUE_LONG,5,26170,-0.0006452578271390282,-0.0007082496865787466,-0.0006719135907675185,0.3176920137562094,0.5039638652908779,0,3,0.42891621714607797,0.48900365056444756,0,4,0.4039930196820251,0.5006166946980761,0,31,0.4992151895896973,False
HIGH_6H_CONTINUE_LONG,15,26170,-0.000748052367989208,-0.0008638757616360514,-0.0007974370916741998,0.34982804738249906,0.6055773622514764,0,3,0.5043085144169945,0.5848115966565676,0,4,0.5284225132238468,0.6167947789863996,0,31,0.5780311197672483,False
HIGH_6H_CONTINUE_LONG,30,26170,-0.000762697352233751,-0.0009034318822326195,-0.0008337212632805667,0.3773786778754299,0.680053163880354,0,3,0.6036214400028899,0.681730005590695,0,4,0.6014007842295166,0.6906326911096465,1,31,0.6867650473300915,False
HIGH_6H_CONTINUE_LONG,60,26170,-0.0007862471242564598,-0.0009645189045051899,-0.0008639592845350482,0.39545280855941917,0.741471693102013,0,3,0.6551743506494546,0.7398574379601045,0,4,0.679853536599545,0.7467051165398757,1,31,0.7329106125471585,False
HIGH_6H_CONTINUE_LONG,120,26170,-0.0008467238571378034,-0.001058930081005689,-0.0009682183144586542,0.4166220863584257,0.7847927582995233,0,3,0.6732979716536678,0.767624291817881,0,4,0.7141849638224197,0.7751769443306472,3,31,0.7449307864829299,False
HIGH_6H_REVERSE_SHORT,5,26170,-0.0005547421728609715,-0.0004917503134212533,-0.0005280864092324814,0.3918609094382881,0.5395737683375642,0,3,0.5350395274024766,0.5405317108005011,0,4,0.40056451533026405,0.5466115043835145,0,31,0.551782964571125,False
HIGH_6H_REVERSE_SHORT,15,26170,-0.00045194763201079164,-0.0003361242383639486,-0.00040256290832580007,0.46901031715705005,0.7299332354179398,0,3,0.7174970430369375,0.7253959482751237,0,4,0.5852259488149764,0.7289332999813893,3,31,0.7096624599753799,False
HIGH_6H_REVERSE_SHORT,30,26170,-0.00043730264776624915,-0.00029656811776738117,-0.0003662787367194335,0.48467711119602597,0.7970139984556296,0,3,0.7713917749677537,0.8094855888813155,0,4,0.6749635094204613,0.7978657637626712,4,31,0.8061948816070073,False
HIGH_6H_REVERSE_SHORT,60,26170,-0.0004137528757435404,-0.00023548109549481123,-0.00033604071546495173,0.4968666411922048,0.8519656106757704,0,3,0.795753102631383,0.8853342217305168,0,4,0.730745210273757,0.8652114619190893,8,31,0.8217732462584529,False
HIGH_6H_REVERSE_SHORT,120,26170,-0.00035327614286219714,-0.00014106991899431287,-0.00023178168554134631,0.5042414978983569,0.9027762764854549,1,3,0.8241920572299376,0.94508341776979,0,4,0.7691210760871311,0.9219810605884897,10,31,0.909525624839982,False
LOW_6H_CONTINUE_SHORT,5,23395,-0.0006949761210543174,-0.0007338379185654572,-0.0007148978155813366,0.3340457362684334,0.5420367544096412,0,3,0.5178454443221489,0.554871716735452,0,4,0.4510696536902364,0.5456498047808656,0,31,0.5349535318540329,False
LOW_6H_CONTINUE_SHORT,15,23395,-0.0007139683302535546,-0.0008293608923661966,-0.0007828630341852032,0.3702073092541141,0.675340329886138,0,3,0.6612173441305952,0.6686539633863784,0,4,0.5942332572525868,0.6709884197970354,2,31,0.6165470689967559,False
LOW_6H_CONTINUE_SHORT,30,23395,-0.000794202540797274,-0.0009372962260212769,-0.0008331002756669352,0.3840136781363539,0.7192829672593846,0,3,0.671952400125251,0.6977518266440722,0,4,0.6507697777102964,0.7088972167924773,5,31,0.6564580841225992,False
LOW_6H_CONTINUE_SHORT,60,23395,-0.0009500620767598431,-0.0010938516772545227,-0.0009865501785499204,0.3952126522761274,0.7405600019032137,0,3,0.7087147295168711,0.7158475595167967,0,4,0.7032322861259218,0.724276284492839,5,31,0.6754294035722341,False
LOW_6H_CONTINUE_SHORT,120,23395,-0.0010154598355562826,-0.0011759734715663518,-0.001033903172887592,0.4101303697371233,0.7823555567843954,0,3,0.7106622618659143,0.7137222044791343,0,4,0.7315585504094683,0.766895987353819,5,31,0.7296245331757316,False
LOW_6H_REVERSE_LONG,5,23395,-0.0005050238789456824,-0.0004661620814345426,-0.00048510218441866307,0.4009403718743321,0.6332470672108802,0,3,0.5306507304954658,0.5839723552720466,0,4,0.5386130114117019,0.6074460078771802,1,31,0.6251774261976493,False
LOW_6H_REVERSE_LONG,15,23395,-0.0004860316697464452,-0.00037063910763380375,-0.0004171369658147966,0.46715110066253474,0.7597853486368465,0,3,0.7132479238591359,0.7146168110742456,0,4,0.6926317107787201,0.719276939585479,5,31,0.7866167934295929,False
LOW_6H_REVERSE_LONG,30,23395,-0.000405797459202726,-0.00026270377397872387,-0.0003668997243330652,0.4958751870057705,0.8418692100920099,0,3,0.7782697097500048,0.8379865148237987,0,4,0.7867181398150983,0.7963894452445424,9,31,0.8848914394453217,False
LOW_6H_REVERSE_LONG,60,23395,-0.0002499379232401571,-0.00010614832274547825,-0.0002134498214500797,0.5134002992092327,0.9228799672946005,1,3,0.851786069381846,0.9025041601538983,1,4,0.8570991693231812,0.8979852350189979,13,31,0.934201987435328,False
LOW_6H_REVERSE_LONG,120,23395,-0.00018454016444371802,-2.402652843364889e-05,-0.00016609682711240902,0.5213507159649498,0.9558778292589527,2,3,0.841223658801161,1.0087650342575105,1,4,0.8872869279460923,0.9485422535339108,15,31,0.981333771333508,False
HIGH_24H_CONTINUE_LONG,5,10984,-0.0006358688427697108,-0.0007105461810216956,-0.0006669017785090747,0.34459213401310995,0.5596590893435305,0,3,0.4602772746845617,0.5637318417212358,0,4,0.4338530739181173,0.5648477945227319,0,31,0.5466119021457428,False
HIGH_24H_CONTINUE_LONG,15,10984,-0.0006925831248638959,-0.0008234454700294842,-0.0007494727370379353,0.37354333576110704,0.6712892709775923,0,3,0.5508787024448243,0.6890328329352763,0,4,0.5914999787149208,0.6858985912230612,1,31,0.6452661856446532,False
HIGH_24H_CONTINUE_LONG,30,10984,-0.0007076267372897447,-0.000864374950934071,-0.0007698039030446423,0.3966678805535324,0.7337497123254868,0,3,0.690020621925849,0.7421405613365979,0,4,0.6329551047675936,0.753302633932266,2,31,0.7316698603627206,False
HIGH_24H_CONTINUE_LONG,60,10984,-0.0007957398262907709,-0.0009657677882812313,-0.0008529777664827497,0.4075018208302986,0.7669910216333788,0,3,0.7020246664703877,0.8012422417079149,0,4,0.704695201681209,0.7558369675521226,3,31,0.7934827972977254,False
