hypothesis,minutes,samples,mean_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,years_pf_gt_1,total_years,worst_year_pf,median_year_pf,assets_pf_gt_1,total_assets,worst_asset_pf,median_asset_pf,months_pf_gt_1,total_months,median_month_pf,basic_discovery_gate
HIGH_PREMIUM_REVERT_SHORT,30,124973,-0.0005817236627964535,-0.0005645283878822526,-0.0005673727468702279,0.4274283245180959,0.7189707895109128,0,3,0.7125765917572776,0.7213272195749043,0,4,0.6466629446406319,0.7107247208942371,0,31,0.7106142270585476,False
HIGH_PREMIUM_REVERT_SHORT,60,124973,-0.0006130755024049763,-0.0005886925374777917,-0.0005882323569385667,0.44528818224736544,0.7778652401886931,0,3,0.75618247295026,0.7786216931072467,0,4,0.709651209356306,0.7769587656580933,1,31,0.7704448579068481,False
HIGH_PREMIUM_REVERT_SHORT,120,124973,-0.0005939537751754863,-0.0005672967010353014,-0.0005611080208544708,0.45662663135237214,0.8401210600753958,0,3,0.8209786815523813,0.8244762012902722,0,4,0.786897509267102,0.8361269070749492,5,31,0.8378512806603426,False
HIGH_PREMIUM_CONTINUE_LONG,30,124973,-0.0006182763372035464,-0.000635471612117748,-0.0006326272531297724,0.4168420378801821,0.7048679444309557,0,3,0.6269575264655354,0.7181333827224133,0,4,0.6194942442706451,0.6891164412768538,0,31,0.6932036506717651,False
HIGH_PREMIUM_CONTINUE_LONG,60,124973,-0.0005869244975950241,-0.00061130746252221,-0.0006117676430614349,0.44149536299840764,0.7864913387468258,0,3,0.6851405461128378,0.7990456146568673,0,4,0.70049118296027,0.7811213129124998,0,31,0.7881633633468478,False
HIGH_PREMIUM_CONTINUE_LONG,120,124973,-0.0006060462248245146,-0.0006327032989646992,-0.0006388919791455311,0.46241988269466205,0.8369827677806826,0,3,0.7222342002635553,0.8603450977482671,0,4,0.766530189397554,0.8399517649247269,3,31,0.8475617125564375,False
LOW_PREMIUM_REVERT_LONG,30,126848,-0.0005258254009859059,-0.0005066953862264464,-0.0005193656415102436,0.43946297931382444,0.753877315996784,0,3,0.7439809432617217,0.7548742293986347,0,4,0.7122215555033149,0.7376427003257255,0,31,0.7426576677134563,False
LOW_PREMIUM_REVERT_LONG,60,126848,-0.0005078935986679127,-0.00046554430568789684,-0.0004888710780172112,0.46051179364278505,0.8218785930953962,0,3,0.7870339030101432,0.8263212975464098,0,4,0.8003606133209739,0.811364232394004,2,31,0.8359250202335783,False
LOW_PREMIUM_REVERT_LONG,120,126848,-0.0004066007136891185,-0.00036013808188120654,-0.00038401898960335556,0.4811191347124117,0.8927044347475253,0,3,0.8449988413026251,0.898607067291232,0,4,0.8582166093681999,0.8975864001166765,8,31,0.9150713725204893,False
LOW_PREMIUM_CONTINUE_SHORT,30,126848,-0.0006741745990140941,-0.0006933046137735548,-0.0006806343584897564,0.409663534308779,0.6975552081259422,0,3,0.6365789802018835,0.7062077178177416,0,4,0.5972358176949468,0.6890256875295726,0,31,0.6887954714251852,False
LOW_PREMIUM_CONTINUE_SHORT,60,126848,-0.0006921064013320877,-0.000734455694312105,-0.000711128921982789,0.42984516902119074,0.7663498170473383,0,3,0.7124103613421346,0.7555601451532995,0,4,0.6710799786536547,0.759273002155487,0,31,0.7387158043778892,False
LOW_PREMIUM_CONTINUE_SHORT,120,126848,-0.0007933992863108824,-0.0008398619181187943,-0.000815981010396646,0.43999905398587286,0.802051104528675,0,3,0.7571662809100473,0.7796765878079241,0,4,0.7070500006458338,0.8075865618008453,3,31,0.7491929512119067,False
