experiment,windows,total_samples,median_samples,positive_windows,positive_window_rate,pf_above_1_rate,median_profit_factor,median_mean_return,median_win_rate,worst_mean_return,best_mean_return
ADX_FALLING,24,400,16.5,13,0.5416666666666666,0.5416666666666666,1.093844872425631,0.00014502782258064053,0.513157894736842,-0.0024726457765008223,0.002411508659515258
ADX_RISING,24,2010,83.0,8,0.3333333333333333,0.3333333333333333,0.926432498781556,-0.00016410769206665288,0.4226475279106858,-0.0016469158461329724,0.0005237036473046535
ATR_CONTRACTING,24,574,24.0,19,0.7916666666666666,0.7916666666666666,1.3523515101090504,0.0006329456334668969,0.4583333333333333,-0.0023074812535811918,0.003337287558786353
ATR_EXPANDING,24,1768,71.5,9,0.375,0.375,0.8569458797115657,-0.0002885403306489548,0.4330845771144278,-0.001927676846941423,0.0004883092890532268
BASE_SHORT,24,2097,87.0,11,0.4583333333333333,0.4583333333333333,0.9907495174881928,-3.3805880912800176e-05,0.4352130865260439,-0.0015746676511496473,0.0005277014108466205
BEAR_ACCELERATION,24,1646,66.0,10,0.4166666666666667,0.4166666666666667,0.9597455571092715,-9.868830359507622e-05,0.43712680014049876,-0.0016756015826921483,0.0011483764184128007
BEAR_CANDLE_PRESSURE,24,1410,57.0,9,0.375,0.375,0.944186747963166,-9.628039858705157e-05,0.4274004683840749,-0.002490480595319539,0.0010485723636528234
BEAR_DECELERATION,24,1589,64.5,5,0.20833333333333334,0.20833333333333334,0.8137695540559357,-0.0005058009084544221,0.4570147679324894,-0.0013712007537994343,0.001295784550663941
BEAR_DI_DOMINANCE,24,2090,87.0,10,0.4166666666666667,0.4166666666666667,0.9907495174881928,-3.3805880912800176e-05,0.4340579710144927,-0.0015746676511496473,0.0005388065701635649
BEAR_SPREAD_NARROWING,24,714,30.0,13,0.5416666666666666,0.5416666666666666,1.030187757311483,8.384040658016882e-05,0.4864864864864865,-0.0019802683854252857,0.003568995956131586
BEAR_SPREAD_WIDENING,24,1949,78.0,11,0.4583333333333333,0.4583333333333333,0.9179561130311363,-0.0001914341585130378,0.4285954301075269,-0.00161920237321368,0.000735238201532323
BULL_CANDLE_PRESSURE,24,1257,52.0,5,0.20833333333333334,0.20833333333333334,0.8439611616169176,-0.0004452911430690438,0.4581224114127934,-0.0019435306013553656,0.0009677723371114799
DYNAMIC_BEAR_CONFIRMATION,24,1629,66.5,8,0.3333333333333333,0.3333333333333333,0.8051380634146047,-0.00034198909056882773,0.41843501326259946,-0.0021617788813642442,0.0007487574581924217
VOLUME_ACCELERATING,24,1981,83.0,10,0.4166666666666667,0.4166666666666667,0.91844532403513,-0.0002193143776060679,0.4160802251935257,-0.0016924127594532892,0.0013904440031471234
VOLUME_DECELERATING,24,1086,45.5,8,0.3333333333333333,0.3333333333333333,0.8443058949423734,-0.00039064512838814626,0.45141065830721006,-0.004326514730991011,0.002073974668900517
