beta_window_days,residual_lookback_days,split,cost,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade,max_compounded_drawdown,mean_turnover,mean_abs_market_beta
28,1,development,0.0006,275,-0.0005317241944738269,-0.0005218498224670321,0.45454545454545453,0.886497367487195,7,-0.013833430249940836,0.014316952290916543,-0.04837682206273468,0.04691986394137452,0.31022524786485894,1.4872727272727273,0.10505875843789853
28,1,development,0.0014,275,-0.0011266332853829175,-0.0011848229079663391,0.43636363636363634,0.7755773925866968,7,-0.014355393222693953,0.013716119371446987,-0.04887682206273468,0.046319863941374516,0.38039824585326454,1.4872727272727273,0.10505875843789853
28,1,validation,0.0006,365,-0.000570551041488322,0.00012066257285491325,0.5068493150684932,0.8662264641824,9,-0.011791545577086407,0.011033098789768157,-0.11056939144909486,0.057839942169324116,0.2244378217303019,1.4767123287671233,0.14198150686920338
28,1,validation,0.0014,365,-0.0011612359729951712,-0.0004375320220790836,0.4794520547945205,0.746010989778583,12,-0.012491545577086408,0.010513550351724977,-0.11116939144909485,0.057139942169324116,0.36842572372184623,1.4767123287671233,0.14198150686920338
28,1,confirmation,0.0006,211,-0.0006171409809919006,-0.0006849280244802743,0.4786729857819905,0.8378110391314434,8,-0.010594775342773583,0.009998626338628039,-0.04858608061385067,0.026213622037470713,0.2173844761285978,1.4703791469194314,0.08953016626474508
28,1,confirmation,0.0014,211,-0.0012052926397596731,-0.001309831928887741,0.43601895734597157,0.7072252103023858,8,-0.011196602655336129,0.009498626338628038,-0.04888608061385066,0.025713622037470713,0.27009486299637664,1.4703791469194314,0.08953016626474508
28,3,development,0.0006,275,-0.0005738457221412379,-0.0006534389287440709,0.4727272727272727,0.8760244020308807,8,-0.012192855475988897,0.012305431699021785,-0.07337309796319282,0.038599324590013834,0.30679352779863855,0.87,0.10503224713778264
28,3,development,0.0014,275,-0.0009218457221412379,-0.0009534389287440709,0.4509090909090909,0.8086169682757361,8,-0.012807162544403413,0.011912480425752324,-0.07387309796319282,0.03839932459001383,0.3610278583703812,0.87,0.10503224713778264
28,3,validation,0.0006,365,0.001174544641822612,0.0012318625648760216,0.5753424657534246,1.3500080085044412,5,-0.010005183532715662,0.013064182848006863,-0.1097105238015258,0.054971313104406484,0.1097105238015258,0.8986301369863013,0.1429168517217173
28,3,validation,0.0014,365,0.0008150925870280916,0.0007865109544205475,0.547945205479452,1.2317444491808955,8,-0.010157330965337738,0.012636460017623223,-0.11001052380152579,0.05437131310440648,0.11001052380152576,0.8986301369863013,0.1429168517217173
