beta_window_days,residual_lookback_days,rebalance_time,entry_time,exit_time,gross_return,turnover,estimated_market_beta,long_count,short_count
28,1,2024-04-01 00:00:00+00:00,2024-04-01 04:00:00+00:00,2024-04-02 04:00:00+00:00,0.017118539725787696,1.0,-0.15072999875290768,4,4
28,1,2024-04-02 00:00:00+00:00,2024-04-02 04:00:00+00:00,2024-04-03 04:00:00+00:00,0.01833458322347191,1.75,0.011177943212778096,4,4
28,1,2024-04-03 00:00:00+00:00,2024-04-03 04:00:00+00:00,2024-04-04 04:00:00+00:00,0.009806268580069319,1.75,0.01441024909487748,4,4
28,1,2024-04-04 00:00:00+00:00,2024-04-04 04:00:00+00:00,2024-04-05 04:00:00+00:00,-0.01468863095749448,1.5,0.03730332440334409,4,4
28,1,2024-04-05 00:00:00+00:00,2024-04-05 04:00:00+00:00,2024-04-06 04:00:00+00:00,0.006458805144869212,1.25,0.12360345931355064,4,4
28,1,2024-04-06 00:00:00+00:00,2024-04-06 04:00:00+00:00,2024-04-07 04:00:00+00:00,0.004800171148919022,1.5,-0.022119724878946256,4,4
28,1,2024-04-07 00:00:00+00:00,2024-04-07 04:00:00+00:00,2024-04-08 04:00:00+00:00,-0.002127156961851645,2.0,0.05743988629167712,4,4
28,1,2024-04-08 00:00:00+00:00,2024-04-08 04:00:00+00:00,2024-04-09 04:00:00+00:00,-0.013310096894466217,1.25,-0.039233795576506886,4,4
28,1,2024-04-09 00:00:00+00:00,2024-04-09 04:00:00+00:00,2024-04-10 04:00:00+00:00,0.005033281028197112,1.25,0.08086597216373279,4,4
28,1,2024-04-10 00:00:00+00:00,2024-04-10 04:00:00+00:00,2024-04-11 04:00:00+00:00,-0.00709251827777628,1.5,-0.005765696545534285,4,4
28,1,2024-04-11 00:00:00+00:00,2024-04-11 04:00:00+00:00,2024-04-12 04:00:00+00:00,-0.010076726163068372,1.5,-0.008558505463440197,4,4
28,1,2024-04-12 00:00:00+00:00,2024-04-12 04:00:00+00:00,2024-04-13 04:00:00+00:00,-0.0283838189508685,1.25,0.06391155936487687,4,4
28,1,2024-04-13 00:00:00+00:00,2024-04-13 04:00:00+00:00,2024-04-14 04:00:00+00:00,-0.013352251133625745,1.0,0.058471890512309166,4,4
28,1,2024-04-14 00:00:00+00:00,2024-04-14 04:00:00+00:00,2024-04-15 04:00:00+00:00,0.005154448405131989,1.0,0.06360148280338608,4,4
28,1,2024-04-15 00:00:00+00:00,2024-04-15 04:00:00+00:00,2024-04-16 04:00:00+00:00,0.0021885057430450217,2.0,-0.11954140829676668,4,4
28,1,2024-04-16 00:00:00+00:00,2024-04-16 04:00:00+00:00,2024-04-17 04:00:00+00:00,0.00782621968141542,2.0,0.007530543878583484,4,4
28,1,2024-04-17 00:00:00+00:00,2024-04-17 04:00:00+00:00,2024-04-18 04:00:00+00:00,-0.014595357106574794,1.5,0.0012707587913462215,4,4
28,1,2024-04-18 00:00:00+00:00,2024-04-18 04:00:00+00:00,2024-04-19 04:00:00+00:00,-0.006978172703209107,1.0,0.03332420889569675,4,4
28,1,2024-04-19 00:00:00+00:00,2024-04-19 04:00:00+00:00,2024-04-20 04:00:00+00:00,0.009924419080728525,1.5,0.06198874664465384,4,4
28,1,2024-04-20 00:00:00+00:00,2024-04-20 04:00:00+00:00,2024-04-21 04:00:00+00:00,0.015333205268358296,1.75,-0.035376567900136324,4,4
28,1,2024-04-21 00:00:00+00:00,2024-04-21 04:00:00+00:00,2024-04-22 04:00:00+00:00,-0.002629265639413861,1.75,-0.1843788363051016,4,4
28,1,2024-04-22 00:00:00+00:00,2024-04-22 04:00:00+00:00,2024-04-23 04:00:00+00:00,-0.01111681261835247,1.5,0.2152571573308351,4,4
28,1,2024-04-23 00:00:00+00:00,2024-04-23 04:00:00+00:00,2024-04-24 04:00:00+00:00,-0.00014862780314732482,0.75,0.18257789033578517,4,4
28,1,2024-04-24 00:00:00+00:00,2024-04-24 04:00:00+00:00,2024-04-25 04:00:00+00:00,-0.011408124075524481,1.25,0.13897646966954064,4,4
28,1,2024-04-25 00:00:00+00:00,2024-04-25 04:00:00+00:00,2024-04-26 04:00:00+00:00,-0.012229703146274168,1.0,0.02294286527770048,4,4
28,1,2024-04-26 00:00:00+00:00,2024-04-26 04:00:00+00:00,2024-04-27 04:00:00+00:00,-0.013937320464949915,1.0,0.2614700667092167,4,4
28,1,2024-04-27 00:00:00+00:00,2024-04-27 04:00:00+00:00,2024-04-28 04:00:00+00:00,0.02499298151114554,1.5,0.09048785212965715,4,4
28,1,2024-04-28 00:00:00+00:00,2024-04-28 04:00:00+00:00,2024-04-29 04:00:00+00:00,0.010858060721538873,2.0,-0.11083266818421184,4,4
28,1,2024-04-29 00:00:00+00:00,2024-04-29 04:00:00+00:00,2024-04-30 04:00:00+00:00,0.003098697197897668,1.0,0.06899834561659318,4,4
28,1,2024-04-30 00:00:00+00:00,2024-04-30 04:00:00+00:00,2024-05-01 04:00:00+00:00,-0.0009961767058333931,1.75,0.2081300221857536,4,4
28,1,2024-05-01 00:00:00+00:00,2024-05-01 04:00:00+00:00,2024-05-02 04:00:00+00:00,-0.022257277671899334,1.75,-0.16143207057493447,4,4
28,1,2024-05-02 00:00:00+00:00,2024-05-02 04:00:00+00:00,2024-05-03 04:00:00+00:00,-0.010532729429119536,1.0,-0.25321369553749795,4,4
