feature,folds,mean_coefficient,median_coefficient,positive_sign_rate,mean_abs_coefficient
asset_sma1d_vs_7d,4,-0.002909368987161433,-0.002727739253103526,0.0,0.0029093689871614327
breadth_down_30d,4,0.002382023713032388,0.0019988564594975535,1.0,0.002382023713032388
btc_ret_7d,4,0.0017982395720875424,0.0013811998446280425,1.0,0.0017982395720875424
market_mean_7d,4,-0.0013859575089922628,-0.0009764039761998391,0.0,0.0013859575089922628
asset_price_vs_sma7d,4,0.0013696977172788154,0.0015263691211830168,1.0,0.0013696977172788154
dispersion_7d,4,0.0012221828679494387,0.0009030131809894099,1.0,0.0012221828679494387
market_mean_30d,4,0.0011433897547098865,0.0010170792913386114,1.0,0.0011433897547098865
asset_ret_30d,4,0.0009445712792620855,0.0008051683784480507,1.0,0.0009445712792620854
market_mean_1d,4,-0.0007495213011221897,-0.0009588104370560359,0.25,0.0009167028264528661
asset_ret_1d,4,0.0008039160150192972,0.0010879346031228234,0.75,0.0009044166174563544
market_rv_1d,4,-0.0008444712878272817,-0.0005826618552724734,0.0,0.0008444712878272816
market_rv_7d,4,-0.0006199215585904854,-0.0005351941573427397,0.0,0.0006199215585904853
btc_ret_30d,4,0.000530331846966322,0.00031780510633756175,0.5,0.0005745069430160372
asset_rv_7d,4,-0.00046421196290995714,-0.0003057652125699494,0.25,0.0005123396882370236
asset_ret_7d,4,0.00011389111294162659,4.575760662100721e-05,0.5,0.00034990929104607583
asset_rv_1d,4,-0.00013013658157628782,-9.889615190667273e-05,0.25,0.00019354820805692746
market_mean_3d,4,-0.00011722010736812728,-0.00015273453810427383,0.25,0.0001925132883514758
asset_ret_3d,4,9.257011348011267e-05,-6.129859156330947e-06,0.5,0.00018529120191804308
breadth_down_7d,4,2.857354115051553e-05,7.13233074279331e-05,0.75,0.00012784483773119963
