fold,strategy,cost,samples,mean_return,median_return,win_rate,profit_factor,q90,q95
2024_H2,BASE,0.0,551,5.504380248849515e-05,-0.0006824916740845,0.4591651542649728,1.0210678798433976,0.0083575343872852,0.01203806423476445
2024_H2,BASE,0.0004,551,-0.0003449561975115049,-0.0010824916740845001,0.42286751361161523,0.8784176365233697,0.007957534387285201,0.011638064234764451
2024_H2,BASE,0.0008,551,-0.000744956197511505,-0.0014824916740845,0.38656987295825773,0.7577946870160832,0.0075575343872852,0.01123806423476445
2024_H2,RIDGE_SELECTED,0.0,137,0.0008759612431506951,0.0003517607485739,0.5182481751824818,1.3806454616987438,0.006876722104609045,0.010464016227590514
2024_H2,RIDGE_SELECTED,0.0004,137,0.00047596124315069517,-4.823925142610004e-05,0.49635036496350365,1.1904756011739952,0.006476722104609045,0.010064016227590514
2024_H2,RIDGE_SELECTED,0.0008,137,7.596124315069504e-05,-0.00044823925142610006,0.46715328467153283,1.0280543331989775,0.006076722104609045,0.009664016227590513
2025_H1,BASE,0.0,564,-0.00048008607079488976,-0.00050426358271075,0.4698581560283688,0.8229847526786627,0.006667088177459387,0.010900304427285965
2025_H1,BASE,0.0004,564,-0.0008800860707948898,-0.00090426358271075,0.4308510638297872,0.6997671848768442,0.006267088177459387,0.010500304427285966
2025_H1,BASE,0.0008,564,-0.0012800860707948899,-0.00130426358271075,0.3971631205673759,0.5956634424624486,0.005867088177459387,0.010100304427285964
2025_H1,RIDGE_SELECTED,0.0,226,0.00013528396419361242,1.4575179491826962e-05,0.5,1.0625839615839852,0.0075006876395472995,0.01337127922775895
2025_H1,RIDGE_SELECTED,0.0004,226,-0.0002647160358063877,-0.00038542482050817306,0.4336283185840708,0.8884989315895503,0.0071006876395473,0.012971279227758951
2025_H1,RIDGE_SELECTED,0.0008,226,-0.0006647160358063878,-0.0007854248205081731,0.3938053097345133,0.7451863581764396,0.006700687639547299,0.01257127922775895
2025_H2,BASE,0.0,553,-0.0005737238700412879,-0.0006446093081584,0.4104882459312839,0.7762590922916317,0.006705693226161022,0.010090986534554697
2025_H2,BASE,0.0004,553,-0.0009737238700412879,-0.0010446093081584,0.379746835443038,0.65290240962057,0.006305693226161022,0.009690986534554698
2025_H2,BASE,0.0008,553,-0.001373723870041288,-0.0014446093081584002,0.3399638336347197,0.5512382810783784,0.005905693226161021,0.009290986534554697
2025_H2,RIDGE_SELECTED,0.0,113,-6.966574136023514e-05,-0.0006141860242805,0.4424778761061947,0.9604224405277063,0.006069872288364979,0.007462376674996917
2025_H2,RIDGE_SELECTED,0.0004,113,-0.0004696657413602352,-0.0010141860242805,0.40707964601769914,0.76334240552197,0.005669872288364979,0.007062376674996916
2025_H2,RIDGE_SELECTED,0.0008,113,-0.0008696657413602352,-0.0014141860242805,0.336283185840708,0.6111951648598953,0.005269872288364979,0.006662376674996916
2026_DEV,BASE,0.0,650,0.0006599679439859825,-0.00021415223490545,0.4753846153846154,1.370530436423809,0.007538816554890893,0.011948643915022018
2026_DEV,BASE,0.0004,650,0.00025996794398598254,-0.00061415223490545,0.4430769230769231,1.1303309960635175,0.007138816554890893,0.011548643915022019
2026_DEV,BASE,0.0008,650,-0.00014003205601401754,-0.00101415223490545,0.39692307692307693,0.9371576897574414,0.006738816554890893,0.011148643915022018
2026_DEV,RIDGE_SELECTED,0.0,143,0.0005610909146227659,-1.7346956476482767e-05,0.48951048951048953,1.3753991099631557,0.00595322415246346,0.010071220508320211
2026_DEV,RIDGE_SELECTED,0.0004,143,0.00016109091462276583,-0.0004173469564764828,0.42657342657342656,1.0942465534536978,0.00555322415246346,0.009671220508320212
2026_DEV,RIDGE_SELECTED,0.0008,143,-0.00023890908537723427,-0.0008173469564764828,0.3706293706293706,0.8775194059487159,0.00515322415246346,0.00927122050832021
