hypothesis,minutes,hour,samples,mean_return,median_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,q10,q90
PRE_UP_CONTINUE_LONG,30,0,350,-0.00045815067279728614,-0.0008004691947010694,-0.0004646003709885403,-0.00038058087944723627,0.4257142857142857,0.796415610452412,-0.00582702246955652,0.006009620678034479
PRE_UP_CONTINUE_LONG,30,8,366,-0.00031837175169372616,-0.0005661719349483002,-0.0004132218962938608,-0.00031201882880941217,0.4426229508196721,0.8492054666906317,-0.005442174807632382,0.005488752497350747
PRE_UP_CONTINUE_LONG,30,16,726,-0.00035159995487362924,-0.0009966312376766921,-0.0005270058173902866,-0.0004373406707174612,0.41597796143250687,0.8582230750659252,-0.006692955234910602,0.006574308414903408
PRE_UP_CONTINUE_LONG,60,0,350,-0.0004173339916512661,-0.0008249304127192042,-0.0005051652784200508,-0.0005009557821734952,0.4514285714285714,0.8680653591725329,-0.010324599691990122,0.008385156231369227
PRE_UP_CONTINUE_LONG,60,8,366,4.846000311237545e-05,-0.0008457458202262396,-0.00026497221643414907,9.411567080818583e-05,0.41530054644808745,1.0170364990522223,-0.007656947814324754,0.009096096312415303
PRE_UP_CONTINUE_LONG,60,16,726,-0.00012368437352552485,-0.0005899030694668899,-0.0003446901874290251,-0.00032345456089060185,0.4641873278236915,0.9595365025304836,-0.008579047913009685,0.008932652033624967
PRE_UP_CONTINUE_LONG,120,0,350,-0.0009708147757976763,-0.001166415232923889,-0.0010328779309556285,-0.0010644168377885628,0.43714285714285717,0.7731321174395701,-0.012131844454120265,0.010112166236411516
PRE_UP_CONTINUE_LONG,120,8,366,-0.00038337973393108517,-0.0012796727755680186,-0.0006744986076547455,-0.0004196830952586579,0.4180327868852459,0.8946747652745951,-0.010068576220676428,0.011134734718873319
PRE_UP_CONTINUE_LONG,120,16,726,0.0002946512211830722,0.00018311580019829746,-5.8976866668297865e-06,9.985052356415721e-05,0.5055096418732782,1.0738128496540196,-0.011690300833066946,0.012241139838697058
PRE_UP_REVERSE_SHORT,30,0,350,-0.0007418493272027136,-0.00039953080529893045,-0.0007353996290114602,-0.0008194191205527635,0.4685714285714286,0.6868784673842031,-0.0072096206780344774,0.004627022469556525
PRE_UP_REVERSE_SHORT,30,8,366,-0.000881628248306274,-0.0006338280650516997,-0.0007867781037061392,-0.0008879811711905877,0.4562841530054645,0.6319414195658852,-0.006688752497350747,0.0042421748076323824
PRE_UP_REVERSE_SHORT,30,16,726,-0.0008484000451263707,-0.00020336876232330766,-0.0006729941826097145,-0.0007626593292825385,0.4903581267217631,0.6846438620449958,-0.007774308414903407,0.005492955234910602
PRE_UP_REVERSE_SHORT,60,0,350,-0.000782666008348734,-0.00037506958728079573,-0.0006948347215799505,-0.0006990442178265042,0.4714285714285714,0.7651111659457451,-0.009585156231369218,0.009124599691990122
PRE_UP_REVERSE_SHORT,60,8,366,-0.001248460003112376,-0.00035425417977376025,-0.0009350277835658529,-0.0012941156708081863,0.4781420765027322,0.6398916229357092,-0.010296096312415303,0.0064569478143247545
PRE_UP_REVERSE_SHORT,60,16,726,-0.0010763156264744754,-0.00061009693053311,-0.0008553098125709765,-0.0008765454391093983,0.4559228650137741,0.6954278942766231,-0.010132652033624966,0.007379047913009685
PRE_UP_REVERSE_SHORT,120,0,350,-0.0002291852242023244,-3.358476707611077e-05,-0.00016712206904437345,-0.00013558316221143666,0.49714285714285716,0.9408472198929395,-0.011312166236411514,0.010931844454120269
PRE_UP_REVERSE_SHORT,120,8,366,-0.000816620266068916,7.96727755680188e-05,-0.0005255013923452563,-0.0007803169047413429,0.5027322404371585,0.7851810586762425,-0.012334734718873318,0.008868576220676428
PRE_UP_REVERSE_SHORT,120,16,726,-0.0014946512211830732,-0.0013831158001982972,-0.0011941023133331715,-0.0012998505235641575,0.44077134986225897,0.6964561070851618,-0.013441139838697058,0.010490300833066946
PRE_DOWN_CONTINUE_SHORT,30,0,385,-0.0006457026966003014,-0.0009134569478937532,-0.0009795037607873984,-0.0008763851485307175,0.4025974025974026,0.7941027989971001,-0.008374255568864685,0.006610498977693447
PRE_DOWN_CONTINUE_SHORT,30,8,431,-0.0010694836333770895,-0.0015083792687301083,-0.0012494471042657112,-0.0011544614284781673,0.31786542923433875,0.5657826813200864,-0.006221590141591248,0.004574764501735263
PRE_DOWN_CONTINUE_SHORT,30,16,727,-0.0008364610068810802,-0.001368352815677442,-0.001121923768300307,-0.0009699525927861981,0.37551581843191195,0.7013405335154101,-0.007480967245227865,0.006728202505118496
PRE_DOWN_CONTINUE_SHORT,60,0,385,-0.0004306982849973968,-0.0009772974721067966,-0.0009016893435425293,-0.0007355106237548934,0.412987012987013,0.8794452360434677,-0.009046236487906234,0.00903946850508391
PRE_DOWN_CONTINUE_SHORT,60,8,431,-0.0006986256155297938,-0.001730370098181954,-0.0009851306678637067,-0.0008560663804421833,0.3689095127610209,0.7560622711887987,-0.0071480674508895385,0.008067329137683533
PRE_DOWN_CONTINUE_SHORT,60,16,727,-0.0007818766975570224,-0.0014127603372953816,-0.000876351817801188,-0.0007387809255257992,0.40440165061898214,0.780412772297982,-0.009764440516256355,0.010392003329358569
PRE_DOWN_CONTINUE_SHORT,120,0,385,-0.001063288059897041,-0.0023608394532577785,-0.0019081153067764197,-0.0015825192219886862,0.36363636363636365,0.8012790687152218,-0.014314945808541401,0.012021899134306053
