year,macro_regime,samples,mean_return,median_return,win_rate,profit_factor
2024,7D_DOWN__30D_DOWN,236.0,0.0007948053167103826,-5.896216548123556e-05,0.5,1.2358594061455714
2024,7D_DOWN__30D_UP,197.0,-0.0011914551581351251,-0.0018892330040437555,0.3756345177664975,0.6594326208473648
2024,7D_UP__30D_DOWN,147.0,-0.0001123025867969401,-0.00018608196240543773,0.46258503401360546,0.9414037794015481
2024,7D_UP__30D_UP,390.0,-0.00012062575149737386,-0.0008203115714032205,0.4256410256410256,0.9548284630707775
2025,7D_DOWN__30D_DOWN,428.0,-0.00025535250508698984,-0.0002872995532516853,0.48130841121495327,0.9195144462038414
2025,7D_DOWN__30D_UP,176.0,-0.0008209701989429093,-0.000735565576756636,0.3977272727272727,0.6673538428765836
2025,7D_UP__30D_DOWN,200.0,-0.0003698900002679284,-0.0005939121186661067,0.44,0.8120868324900665
2025,7D_UP__30D_UP,313.0,-0.0008315597981354191,-0.0006694536830637032,0.40894568690095845,0.6582980157260249
2026,7D_DOWN__30D_DOWN,240.0,0.001347008145351298,0.0004280071746386449,0.5375,1.627361088783223
2026,7D_DOWN__30D_UP,128.0,-0.00016661592905300136,-0.0011146103555700893,0.3984375,0.912298142844948
2026,7D_UP__30D_DOWN,89.0,0.00026448628173810114,0.0,0.4943820224719101,1.1492780436235073
2026,7D_UP__30D_UP,193.0,0.0005361905106252292,-0.0003752238340198888,0.44041450777202074,1.4283715062933964
