feature,samples,pearson,spearman,abs_spearman
asset_rv_7d,2737,-0.03425247873725179,-0.07665151700033263,0.07665151700033263
asset_rv_1d,2737,-0.04370741016777011,-0.05371957643188356,0.05371957643188356
asset_ret_1d,2737,0.06432230042758519,0.05281614353212872,0.05281614353212872
market_mean_1d,2737,0.022185918150820334,0.04519183741815648,0.04519183741815648
breadth_down_30d,2737,0.036561163113777634,0.04213556055389559,0.04213556055389559
btc_ret_30d,2737,-0.019758340319386263,-0.04130079885623206,0.04130079885623206
asset_ret_30d,2737,-0.012190633342141946,-0.039593434142916994,0.039593434142916994
market_mean_30d,2737,-0.021142047422202662,-0.03760979605505986,0.03760979605505986
btc_ret_7d,2737,-0.021240561071562362,-0.03276083013651846,0.03276083013651846
market_rv_7d,2737,-0.028578058963317714,-0.024861683987898637,0.024861683987898637
asset_ret_3d,2737,0.0007824364450222282,0.02423436198716055,0.02423436198716055
breadth_down_7d,2737,0.02049280153092687,0.019682308292776195,0.019682308292776195
market_mean_7d,2737,-0.023861295825499423,-0.019338478655599654,0.019338478655599654
market_rv_1d,2737,-0.045509869062001065,-0.016780170120076182,0.016780170120076182
asset_sma1d_vs_7d,2737,-0.03323822093383781,-0.014184483260201866,0.014184483260201866
asset_price_vs_sma7d,2737,-0.0026520224505013593,0.011760765955885155,0.011760765955885155
asset_ret_7d,2737,-0.01791457561194644,-0.010981978779379759,0.010981978779379759
market_mean_3d,2737,-0.01325962636989633,0.0023854242015902125,0.0023854242015902125
dispersion_7d,2737,0.006308869017519482,0.002281121908640799,0.002281121908640799
