speed_set,split,cost,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade,max_compounded_drawdown,mean_turnover,mean_abs_net_exposure
7_28,development,0.0006,275,0.00014821142025171405,-0.0003,0.4690909090909091,1.0157177469547842,10,-0.03163630716987363,0.029799422513570463,-0.11373808197616912,0.17768542722369918,0.4423047745066445,0.43498036007551255,0.6589710243429516
7_28,development,0.0014,275,-2.5780723778490975e-05,-0.0006999999999999999,0.4618181818181818,0.9972927428291893,10,-0.03190506413377001,0.029715665060283756,-0.11374113953700968,0.17740437926250716,0.46253812174899855,0.43498036007551255,0.6589710243429516
7_28,validation,0.0006,365,-0.0007651890621836306,-8.52656401330764e-05,0.4849315068493151,0.9302767555959722,10,-0.03417608618791404,0.03137105810091871,-0.14615426119714914,0.2162527819437217,0.5304768238865636,0.41421704949198784,0.6748142064392962
7_28,validation,0.0014,365,-0.0009308758819804252,-0.00017622614311423165,0.473972602739726,0.915834633494205,10,-0.03444335379151569,0.03125629899400524,-0.14628054403418328,0.21614157677384535,0.5458448979678581,0.41421704949198784,0.6748142064392962
7_28,confirmation,0.0006,211,4.219992739614974e-05,0.0006465297872491329,0.5071090047393365,1.005605324547848,5,-0.025535415245907214,0.0225679892367857,-0.11247401979671919,0.13078761837991085,0.29914012236089516,0.46029512175314446,0.6425475946708193
7_28,confirmation,0.0014,211,-0.00014191812130510837,0.0005665297872491328,0.5071090047393365,0.9813839678656008,5,-0.025631568404885462,0.022565711880713813,-0.11248572890918518,0.1307834855574825,0.3109826468332748,0.46029512175314446,0.6425475946708193
14_56,development,0.0006,275,0.00033124183534248314,-2.9999999999999997e-05,0.4727272727272727,1.0357442105717354,8,-0.029618847533414063,0.030144971539064452,-0.1199224919373497,0.16732422592169238,0.46030384633256427,0.285729929519063,0.6425562898385004
14_56,development,0.0014,275,0.0002169498635348574,-0.0001273758572254878,0.46545454545454545,1.023257797994639,10,-0.029684667773889336,0.03006318681624167,-0.11992580649808507,0.16731913644058086,0.4740947131833667,0.285729929519063,0.6425562898385004
14_56,validation,0.0006,365,0.00016440837573559772,0.0,0.4931506849315068,1.0152656428734714,7,-0.03283920042768436,0.036993218351115645,-0.14611954906937352,0.2135733663712248,0.5531207733880916,0.3036538761353615,0.6952447157314341
14_56,validation,0.0014,365,4.294682528145332e-05,0.0,0.4931506849315068,1.0039669747399549,7,-0.033023514721012816,0.03683809479112244,-0.14619954906937352,0.21347026526992396,0.5673829603378371,0.3036538761353615,0.6952447157314341
14_56,confirmation,0.0006,211,0.0011496863852846447,0.0,0.4928909952606635,1.162043963628593,6,-0.022425458187706578,0.02541163422001187,-0.11247401979671919,0.13078761837991085,0.2538644067751402,0.33061667463652744,0.6727392672786175
14_56,confirmation,0.0014,211,0.0010174397154300338,0.0,0.4881516587677725,1.1420842531444397,6,-0.02249812583555557,0.02540996132421117,-0.11248572890918518,0.1307834855574825,0.2620212537076906,0.33061667463652744,0.6727392672786175
7_28_56,development,0.0006,275,-0.0005377006894852469,-0.0007768559467733769,0.4690909090909091,0.9484236014572622,8,-0.031375530734041146,0.03121313068418913,-0.11373808197616912,0.16701980730230034,0.4982191740776398,0.38298472582485704,0.6722690820598252
7_28_56,development,0.0014,275,-0.0006908945798151896,-0.001020528933533805,0.4690909090909091,0.9342444733898377,8,-0.031495113299070183,0.03111390239260496,-0.11374113953700968,0.1668533503913571,0.5162499889215884,0.38298472582485704,0.6722690820598252
7_28_56,validation,0.0006,365,-0.00027849300158107077,-0.00029552949709771753,0.4931506849315068,0.9760333185766042,6,-0.03644131657587907,0.03519955837797792,-0.1386995197670261,0.1938707716574367,0.5479705058631467,0.35141002623336853,0.7516815186447421
7_28_56,validation,0.0014,365,-0.00041905701207441945,-0.0003676272750438922,0.4931506849315068,0.9641486797917881,6,-0.036505501763956165,0.0350749451734987,-0.1388079923032132,0.19379098091055358,0.5608972420772197,0.35141002623336853,0.7516815186447421
7_28_56,confirmation,0.0006,211,9.60596577757038e-05,-0.0002885580037845539,0.4976303317535545,1.0120669318005648,7,-0.02796754176756748,0.024818172237816606,-0.11247401979671919,0.13078761837991085,0.2736778292926412,0.3981200802604089,0.7042054013751503
7_28_56,confirmation,0.0014,211,-6.318837432845971e-05,-0.00043129458048711333,0.4881516587677725,0.9921456443007648,7,-0.028209353333961563,0.024614336426270103,-0.11248572890918518,0.1307834855574825,0.28315401350142466,0.3981200802604089,0.7042054013751503
28_56_84,development,0.0006,275,-0.00037007270995057163,0.0005567796788020211,0.5272727272727272,0.962659294605166,9,-0.03032036097417993,0.02604333990557567,-0.11373808197616912,0.15461832445444432,0.43460874003885475,0.25637373221907817,0.6634801319867905
28_56_84,development,0.0014,275,-0.0004726222028382031,0.0005422217499006921,0.5236363636363637,0.9525490202168808,9,-0.030424752776931855,0.02597265622908395,-0.11374113953700968,0.15434386227660235,0.4432981855399508,0.25637373221907817,0.6634801319867905
28_56_84,validation,0.0006,365,0.0010030553578168936,0.0013651827040859269,0.5397260273972603,1.0903069941323147,5,-0.032645604992218906,0.039027026574183,-0.12457294100650164,0.14370197985932548,0.43886537245326485,0.21412019023771742,0.7707368699676115
28_56_84,validation,0.0014,365,0.0009174072817218067,0.0013131174138858851,0.5397260273972603,1.08232801071833,5,-0.032828027637998185,0.038986353281731924,-0.12480055335294243,0.14353820088885155,0.44535006319871895,0.21412019023771742,0.7707368699676115
28_56_84,confirmation,0.0006,211,0.0009300276945727484,0.00019100595344473322,0.5023696682464455,1.110559599727978,7,-0.02788702164038797,0.02541163422001187,-0.11247401979671919,0.13078761837991085,0.22133305034875228,0.23989188712436046,0.8195323884508404
28_56_84,confirmation,0.0014,211,0.0008340709397230043,5.862195440039443e-05,0.5023696682464455,1.0985819983431162,7,-0.027896039167814832,0.02540996132421117,-0.11248572890918518,0.1307834855574825,0.2274145997578696,0.23989188712436046,0.8195323884508404
