event,symbol,samples
SPOT_BUY_FUT_SELL,BNBUSDT,18938
SPOT_BUY_FUT_SELL,BTCUSDT,16862
SPOT_BUY_FUT_SELL,ETHUSDT,17835
SPOT_BUY_FUT_SELL,SOLUSDT,17802
SPOT_BUY_LEADS,BNBUSDT,27577
SPOT_BUY_LEADS,BTCUSDT,27402
SPOT_BUY_LEADS,ETHUSDT,27523
SPOT_BUY_LEADS,SOLUSDT,27519
SPOT_SELL_FUT_BUY,BNBUSDT,17927
SPOT_SELL_FUT_BUY,BTCUSDT,17478
SPOT_SELL_FUT_BUY,ETHUSDT,17564
SPOT_SELL_FUT_BUY,SOLUSDT,16856
SPOT_SELL_LEADS,BNBUSDT,27472
SPOT_SELL_LEADS,BTCUSDT,27435
SPOT_SELL_LEADS,ETHUSDT,27474
SPOT_SELL_LEADS,SOLUSDT,27542
