event,symbol,samples
FUTURES_LEADS_DOWN,BNBUSDT,14968
FUTURES_LEADS_DOWN,BTCUSDT,15302
FUTURES_LEADS_DOWN,ETHUSDT,15429
FUTURES_LEADS_DOWN,SOLUSDT,14758
FUTURES_LEADS_UP,BNBUSDT,15182
FUTURES_LEADS_UP,BTCUSDT,15370
FUTURES_LEADS_UP,ETHUSDT,15623
FUTURES_LEADS_UP,SOLUSDT,14859
SPOT_LEADS_DOWN,BNBUSDT,13403
SPOT_LEADS_DOWN,BTCUSDT,13418
SPOT_LEADS_DOWN,ETHUSDT,12579
SPOT_LEADS_DOWN,SOLUSDT,13414
SPOT_LEADS_UP,BNBUSDT,13728
SPOT_LEADS_UP,BTCUSDT,13594
SPOT_LEADS_UP,ETHUSDT,12835
SPOT_LEADS_UP,SOLUSDT,13485
