symbol,event,side,horizon,minutes,samples,mean_return,median_return,win_rate,profit_factor
BTCUSDT,BREAKOUT_UP_1H,LONG,1,5,13615,-4.204869871543302e-05,-0.0001155349463839439,0.44686008079324274,0.923768168881487
BTCUSDT,BREAKOUT_UP_1H,LONG,3,15,13615,-8.225271494420629e-05,-0.0001951824899870669,0.44627249357326476,0.9099419854213192
BTCUSDT,BREAKOUT_UP_1H,LONG,6,30,13615,-9.616426662490474e-05,-0.00024045865771393782,0.45361733382298935,0.9227168758102051
BTCUSDT,BREAKOUT_UP_1H,LONG,12,60,13615,-0.00011127404356941935,-0.0002730477612191695,0.46265148733015055,0.9354445724512332
BTCUSDT,BREAKOUT_DOWN_1H,SHORT,1,5,13360,-3.5011181653316996e-05,-0.00010101735625728248,0.4528443113772455,0.9398481204377881
BTCUSDT,BREAKOUT_DOWN_1H,SHORT,3,15,13360,-8.912955026626163e-05,-0.00020071566309876054,0.44558383233532933,0.9092905159466693
BTCUSDT,BREAKOUT_DOWN_1H,SHORT,6,30,13359,-0.00011436946305809162,-0.0002768970008419913,0.44659031364623103,0.9154494109209198
BTCUSDT,BREAKOUT_DOWN_1H,SHORT,12,60,13359,-0.00012622065010148596,-0.0003689855357670302,0.4516056591062205,0.9322256123049901
BTCUSDT,BREAKOUT_UP_4H,LONG,1,5,5715,-4.912797106790961e-05,-0.0001590709069719809,0.43709536307961505,0.9270237926381759
BTCUSDT,BREAKOUT_UP_4H,LONG,3,15,5715,-0.00014010238426440577,-0.0003282628447491831,0.42957130358705164,0.8758577703377755
BTCUSDT,BREAKOUT_UP_4H,LONG,6,30,5715,-0.00012931443735823055,-0.0003810682952627431,0.43587051618547684,0.911895897981623
BTCUSDT,BREAKOUT_UP_4H,LONG,12,60,5715,-0.00013446590955563045,-0.00041152522775711464,0.44759405074365705,0.9315847586066077
BTCUSDT,BREAKOUT_DOWN_4H,SHORT,1,5,5452,-3.7723602500093515e-05,-0.00014761708632737847,0.4457079970652971,0.9494220853954323
BTCUSDT,BREAKOUT_DOWN_4H,SHORT,3,15,5452,-8.366418776655899e-05,-0.00027911315383172264,0.43506969919295674,0.9312132274607176
BTCUSDT,BREAKOUT_DOWN_4H,SHORT,6,30,5452,-0.0001221670578982973,-0.00037526733060677664,0.43782098312545853,0.925993626968781
BTCUSDT,BREAKOUT_DOWN_4H,SHORT,12,60,5452,-9.139701154430149e-05,-0.0004850009146027401,0.43983859134262654,0.9579897349824191
