event,side,horizon,minutes,total_samples,profitable_assets,median_asset_pf,median_asset_return,median_asset_win_rate
BREAKOUT_DOWN_1H,SHORT,1,5,51939,1,0.9803041035550957,-1.9380464712075642e-05,0.46001935465345756
BREAKOUT_DOWN_1H,SHORT,3,15,51939,0,0.9510512922838725,-6.73155173391164e-05,0.45163192225687154
BREAKOUT_DOWN_1H,SHORT,6,30,51938,0,0.968628728163345,-6.659486408613438e-05,0.4536486724942058
BREAKOUT_DOWN_1H,SHORT,12,60,51938,1,0.9662632457255022,-7.967332041154953e-05,0.4573493083531579
BREAKOUT_DOWN_4H,SHORT,1,5,21448,1,0.96713726635276,-2.7284453444962007e-05,0.45227202550213047
BREAKOUT_DOWN_4H,SHORT,3,15,21448,2,0.96580352684056,-4.154989477848366e-05,0.44168220896872945
BREAKOUT_DOWN_4H,SHORT,6,30,21448,1,0.9627510779108948,-6.154685974581614e-05,0.44167486345769025
BREAKOUT_DOWN_4H,SHORT,12,60,21448,1,0.9555687061870595,-0.0001055336265994315,0.44272243673777323
BREAKOUT_UP_1H,LONG,1,5,54100,2,0.9746776506549817,-1.8588625513507783e-05,0.45239043643622534
BREAKOUT_UP_1H,LONG,3,15,54100,0,0.9585266444036293,-6.127312206071147e-05,0.4489463277947332
BREAKOUT_UP_1H,LONG,6,30,54100,1,0.9594965054369493,-8.013475288659301e-05,0.4566691529600996
BREAKOUT_UP_1H,LONG,12,60,54100,1,0.9679320775749006,-8.535715520062887e-05,0.4703089237915553
BREAKOUT_UP_4H,LONG,1,5,23254,1,0.9470205482413214,-4.324779625330095e-05,0.4425113677337096
BREAKOUT_UP_4H,LONG,3,15,23254,1,0.9164057159029779,-0.0001315601139623192,0.43386752914878446
BREAKOUT_UP_4H,LONG,6,30,23254,1,0.9307455260376032,-0.0001160442708700594,0.4375310100625911
BREAKOUT_UP_4H,LONG,12,60,23254,1,0.9486743083651349,-0.00011999923716409777,0.45028952367839153
