hypothesis,minutes,samples,mean_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,years_pf_gt_1,total_years,worst_year_pf,median_year_pf,assets_pf_gt_1,total_assets,worst_asset_pf,median_asset_pf
BUY_CONTINUATION_LONG,5,11880,-0.0005616777828551464,-0.0005875428627926917,-0.0005845447744932326,0.25942760942760945,0.3297964949484571,0,3,0.2664847602358804,0.32980104130254834,0,4,0.22802805269882362,0.2943182262193605
BUY_CONTINUATION_LONG,15,11880,-0.0005644515982248125,-0.0006046232904553733,-0.0005964927578515908,0.3435185185185185,0.5147989260036929,0,3,0.46193978918455825,0.5246368318299433,0,4,0.37143522462698336,0.5088305429530219
BUY_CONTINUATION_LONG,30,11880,-0.0005320954484042031,-0.0005664681325765563,-0.0005552242316789808,0.38796296296296295,0.6421836231143748,0,3,0.5588138417518578,0.6452456928080875,0,4,0.5429026516645334,0.6252644453722127
BUY_CONTINUATION_LONG,60,11880,-0.0005319494537938202,-0.0005770923091949305,-0.0005766451440240264,0.4208754208754209,0.7290480691300679,0,3,0.645200704142855,0.6885902362984629,0,4,0.6635416848591437,0.7269333492245831
BUY_EXHAUSTION_SHORT,5,11880,-0.0006383222171448533,-0.0006124571372073082,-0.0006154552255067672,0.25681818181818183,0.273135129785391,0,3,0.22786258264028036,0.2540931038979501,0,4,0.16195983495563648,0.24804761676638154
BUY_EXHAUSTION_SHORT,15,11880,-0.0006355484017751873,-0.0005953767095446267,-0.0006035072421484089,0.3506734006734007,0.46707399299002383,0,3,0.3984501647083197,0.4704965949605441,0,4,0.32564063642342556,0.42870324353594047
BUY_EXHAUSTION_SHORT,30,11880,-0.0006679045515957967,-0.000633531867423444,-0.0006447757683210191,0.38585858585858585,0.5707093862282936,0,3,0.5442551187651535,0.5703124644131592,0,4,0.4129718267031236,0.5545090729352207
BUY_EXHAUSTION_SHORT,60,11880,-0.0006680505462061796,-0.0006229076908050698,-0.0006233548559759735,0.4169191919191919,0.6718270412193994,0,3,0.6355015387402634,0.6798256935604997,0,4,0.5323968001429884,0.6494283406223771
SELL_CONTINUATION_SHORT,5,11843,-0.0006194378148382698,-0.0006423675907250355,-0.0006337903313066865,0.24360381660052352,0.29534525117409616,0,3,0.26616039469617503,0.29349784669611895,0,4,0.1855779195520587,0.27850799054295494
SELL_CONTINUATION_SHORT,15,11843,-0.0006278564364555041,-0.0006507274361185586,-0.0006435757742370485,0.330912775479186,0.476114827171455,0,3,0.44835137015952975,0.47747574960748884,0,4,0.34068131932867907,0.4528323672057908
SELL_CONTINUATION_SHORT,30,11843,-0.0006580105965854092,-0.0006889719679493414,-0.0006682242040695447,0.3671367052267162,0.5724030772277094,0,3,0.5656358935922925,0.5706391667331081,0,4,0.4452187336288644,0.5517189174133859
SELL_CONTINUATION_SHORT,60,11843,-0.0007178044066759893,-0.0007547379666043573,-0.000744621376470091,0.39593008528244533,0.6521857878970053,0,3,0.634246627023893,0.6445397731331909,0,4,0.539384146923767,0.6459890211494919
SELL_EXHAUSTION_LONG,5,11843,-0.0005805621851617299,-0.0005576324092749643,-0.0005662096686933134,0.27341045343240733,0.3032014613627862,0,3,0.23859024676040094,0.3139089594115722,0,4,0.17122079455506223,0.2761397078977431
SELL_EXHAUSTION_LONG,15,11843,-0.0005721435635444957,-0.0005492725638814413,-0.0005564242257629513,0.3599594697289538,0.5032496241895686,0,3,0.4227673794862803,0.5056885559307894,0,4,0.3621978694099065,0.48875239247608804
SELL_EXHAUSTION_LONG,30,11843,-0.0005419894034145905,-0.0005110280320506586,-0.0005317757959304551,0.40842691885501986,0.6267745848871301,0,3,0.5441723496030051,0.6345923079412324,0,4,0.47131928636801484,0.6213539787159823
SELL_EXHAUSTION_LONG,60,11843,-0.0004821955933240106,-0.00044526203339564327,-0.0004553786235299095,0.4381491176222241,0.7490425860214984,0,3,0.6803348684913441,0.7554903121836726,0,4,0.6448363845224684,0.7310270455875374
