hypothesis,minutes,samples,mean_return,trimmed_mean_5,winsorized_mean_5,win_rate,profit_factor,years_pf_gt_1,total_years,worst_year_pf,median_year_pf,assets_pf_gt_1,total_assets,worst_asset_pf,median_asset_pf,months_pf_gt_1,total_months,median_month_pf,basic_discovery_gate
UP_ACCEL_CONTINUE_LONG,15,51962,-0.0005655874298820618,-0.0006794699886723647,-0.0006201807097774345,0.3853585312343636,0.6929975164056279,0,3,0.6279202122565294,0.672013935198657,0,4,0.6024101595322168,0.6922131814462436,0,31,0.6661537284294531,False
UP_ACCEL_CONTINUE_LONG,30,51962,-0.0005280287986625719,-0.0006612297874423305,-0.0005924109968005345,0.41430275970901814,0.7778208124352756,0,3,0.7147953933211945,0.7719919873158553,0,4,0.6900172493467466,0.7848724167309128,0,31,0.7766285494002899,False
UP_ACCEL_CONTINUE_LONG,60,51962,-0.00054562210315708,-0.0006462498010202972,-0.0005837082697095741,0.43893614564489436,0.829054747378238,0,3,0.770565768863168,0.834390218349574,0,4,0.7776010899525344,0.8233874611312557,0,31,0.8436896555303223,False
UP_ACCEL_CONTINUE_LONG,120,51962,-0.00045698758100611486,-0.0005306912990572535,-0.000460344452781274,0.460297910011162,0.8914192418975055,0,3,0.8011382243243492,0.9039103306537947,0,4,0.842037317305455,0.8981120868620902,6,31,0.8831809559812536,False
UP_ACCEL_REVERSE_SHORT,15,51962,-0.0006344125701179381,-0.0005205300113276354,-0.0005798192902225654,0.4401485701089258,0.6555319388246836,0,3,0.6204885421028045,0.6451512116253334,0,4,0.5771176091491118,0.6333812090181611,0,31,0.6454074228007349,False
UP_ACCEL_REVERSE_SHORT,30,51962,-0.0006719712013374282,-0.00053877021255767,-0.0006075890031994659,0.4567761056156422,0.7227210709739949,0,3,0.7123743745772498,0.7239879833998115,0,4,0.6477665088521968,0.7073498874058545,1,31,0.7019761097067378,False
UP_ACCEL_REVERSE_SHORT,60,51962,-0.0006543778968429205,-0.0005537501989797033,-0.0006162917302904263,0.46468573188098994,0.7974642580491651,0,3,0.7919500771653822,0.8001767459051164,0,4,0.7326028225827167,0.7916324191302724,1,31,0.7661762631908835,False
UP_ACCEL_REVERSE_SHORT,120,51962,-0.0007430124189938857,-0.0006693087009427473,-0.0007396555472187273,0.47145991301335594,0.8289744975872901,0,3,0.798591103375868,0.8367671137130676,0,4,0.7744029725258822,0.8125721709226328,4,31,0.8202964418902176,False
UP_DECEL_REVERSE_SHORT,15,54578,-0.0006707314687392371,-0.0006612961001035575,-0.0006612613092346608,0.4012422587855913,0.6204691070341224,0,3,0.5720326308515007,0.6119290325531668,0,4,0.5588522520072307,0.5990805710225998,0,31,0.5886107484838947,False
UP_DECEL_REVERSE_SHORT,30,54578,-0.0006990918284769946,-0.0006769323530119738,-0.0006787312697210118,0.42632562570999305,0.7006724871526743,0,3,0.6242164926360688,0.6980313277508352,0,4,0.6348364214405156,0.6833419831493326,1,31,0.6507922116656508,False
UP_DECEL_REVERSE_SHORT,60,54578,-0.0007122764820551974,-0.000717788293197237,-0.0007253392611834417,0.44580233793836344,0.770838063581778,0,3,0.7410131720379973,0.7621420975348174,0,4,0.7188919678353494,0.7421686087866555,2,31,0.7283762257559582,False
UP_DECEL_REVERSE_SHORT,120,54578,-0.0007387583218875733,-0.0007669836536400516,-0.0007819755225285162,0.45820660339330865,0.8244609178669343,0,3,0.8176326124650989,0.8258914474433441,0,4,0.7746154490199214,0.7977634240991618,6,31,0.7928847088208977,False
